1671
6
54 39 52 50 36 40
384

456 0 0 0 866 0 217 0 431 0 0 0 0 0 83 64 0 94 0 43 0 45 57 0 0 33 98 0 60 7 84 0 40 54 9 13 0 83 8 0 0 0 0 0 89 92 9 0 49 0 31 24 0 48
0 787 0 0 0 0 0 0 22 0 59 0 69 0 0 69 0 25 31 0 0 79 85 0 0 46 59 0 0 0 0 89 53 54 0 68 0 0 98
46 760 641 134 0 0 0 0 471 738 17 0 34 0 0 0 77 86 19 56 0 54 0 33 0 0 32 0 0 0 0 39 60 41 91 0 0 0 0 0 54 0 17 71 0 87 0 0 0 0 8 0
0 0 109 206 0 0 0 982 0 12 0 33 31 32 44 0 99 0 17 93 0 4 36 60 0 65 48 63 0 0 40 0 26 0 3 0 0 73 36 83 0 60 0 10 71 0 19 0 98 0
798 0 0 0 0 0 90 74 35 66 85 0 97 0 97 14 57 52 25 25 0 0 69 0 31 0 71 0 0 81 0 38 0 0 0 0
0 0 0 244 0 0 341 35 17 0 0 0 0 41 39 0 0 62 0 0 0 75 0 0 8 3 0 0 15 0 0 73 0 0 82 28 0 90 5 15

0 1 2
0 1 27
0 2 18
0 2 27
0 2 31
0 2 37
0 3 32
0 4 9
0 4 18
0 4 34
0 5 29
0 7 5
0 7 6
0 7 24
0 8 17
0 10 8
0 13 30
0 14 29
0 16 7
0 16 15
0 17 9
0 17 15
0 17 16
0 17 31
0 18 23
0 19 16
0 19 26
0 20 2
0 20 19
0 21 11
0 21 28
0 21 34
0 22 10
0 25 18
0 25 29
0 26 33
0 26 37
0 27 13
0 27 37
0 27 38
0 29 38
0 30 10
0 30 22
0 30 32
0 31 8
0 31 13
0 31 20
0 31 32
0 32 2
0 32 8
0 32 17
0 32 24
0 32 30
0 33 25
0 33 30
0 35 23
0 35 38
0 37 3
0 39 5
0 39 19
0 40 13
0 41 25
0 42 2
0 43 2
0 44 26
0 45 27
0 47 28
0 47 31
0 48 35
0 49 9
0 49 21
0 51 4
0 51 7
0 51 13
0 51 32
0 52 11
0 52 26
0 53 6
1 0 8
1 0 10
1 1 1
1 1 25
1 2 15
1 2 47
1 3 16
1 3 28
1 3 41
1 4 35
1 5 1
1 5 41
1 6 1
1 6 3
1 6 48
1 7 11
1 7 48
1 8 1
1 8 15
1 8 49
1 9 0
1 9 14
1 9 30
1 10 7
1 10 28
1 12 7
1 12 43
1 13 10
1 13 12
1 13 26
1 14 1
1 14 17
1 14 43
1 15 1
1 15 2
1 15 6
1 15 28
1 15 32
1 15 49
1 16 31
1 16 35
1 17 34
1 17 51
1 18 42
1 19 12
1 19 25
1 19 39
1 19 44
1 20 15
1 20 32
1 21 9
1 21 28
1 23 12
1 23 29
1 23 31
1 25 44
1 26 17
1 26 40
1 29 25
1 29 48
1 30 4
1 30 15
1 30 30
1 30 36
1 30 40
1 31 49
1 31 51
1 32 0
1 32 1
1 32 15
1 32 41
1 33 22
1 34 31
1 34 47
1 35 20
1 35 43
1 36 2
1 36 5
1 36 32
1 37 1
1 37 16
1 37 28
1 37 29
1 38 31
2 0 18
2 0 41
2 2 28
2 3 5
2 3 12
2 3 17
2 3 44
2 4 14
2 5 12
2 5 14
2 5 36
2 5 42
2 6 0
2 6 33
2 9 44
2 10 6
2 12 8
2 12 22
2 13 11
2 15 30
2 16 23
2 16 24
2 17 29
2 18 13
2 19 15
2 19 35
2 20 3
2 20 9
2 20 17
2 21 31
2 22 6
2 22 14
2 24 44
2 25 30
2 25 34
2 25 49
2 26 35
2 26 36
2 27 20
2 27 26
2 27 27
2 28 26
2 29 4
2 29 6
2 29 13
2 29 29
2 29 44
2 30 16
2 31 13
2 31 21
2 31 38
2 32 32
2 33 14
2 33 16
2 34 35
2 34 40
2 35 2
2 35 8
2 36 33
2 36 43
2 38 24
2 39 45
2 40 25
2 41 33
2 41 34
2 41 35
