405
9
31 27 26 26 28 31 32 47 46
417

0 116 0 0 0 364 0 0 26 0 0 61 41 0 0 65 57 56 6 89 0 0 0 99 0 19 0 0 82 0 91
1 0 0 447 0 0 0 84 0 97 9 0 18 16 0 92 0 0 88 24 0 58 40 37 0 30 37
299 402 911 0 690 36 97 0 0 0 72 49 0 0 0 91 0 0 93 0 0 31 0 0 50 0
367 120 767 0 0 39 0 48 57 11 0 0 20 0 0 0 73 0 0 0 89 0 72 0 0 0
0 155 0 0 247 263 0 98 25 92 0 0 35 69 59 58 0 52 0 67 0 87 24 0 0 4 14 0
0 0 0 659 373 176 53 78 75 68 0 89 0 72 38 65 0 52 81 0 35 19 0 65 0 0 62 87 62 72 0
506 0 812 246 0 409 61 43 0 27 69 43 0 0 21 45 55 71 0 0 0 0 0 24 0 59 97 0 48 61 0 37
0 859 169 0 409 0 0 0 720 73 96 60 12 0 0 0 92 45 0 32 0 0 0 89 25 9 94 8 0 13 0 0 0 96 0 0 16 0 14 40 0 0 2 69 0 0 0
968 0 0 919 0 0 0 682 829 41 0 0 95 27 0 0 79 69 0 67 0 0 0 0 51 0 0 12 54 21 0 23 0 0 0 0 0 0 0 0 0 0 0 9 55 0

0 1 2
0 1 20
0 3 18
0 3 20
0 5 9
0 5 11
0 6 26
0 7 13
0 8 19
0 10 5
0 10 7
0 11 3
0 12 13
0 12 20
0 12 24
0 13 5
0 13 13
0 13 21
0 14 2
0 14 21
0 16 0
0 16 14
0 16 22
0 17 7
0 17 16
0 17 21
0 18 0
0 18 10
0 18 17
0 18 18
0 19 11
0 19 15
0 20 13
0 20 20
0 21 6
0 23 15
0 24 2
0 24 11
0 25 25
0 26 10
0 27 9
0 28 1
0 28 14
0 30 19
1 0 8
1 1 21
1 1 22
1 2 25
1 3 3
1 3 13
1 3 21
1 4 9
1 4 11
1 6 0
1 7 7
1 7 8
1 8 19
1 11 13
1 13 7
1 13 13
1 13 20
1 13 23
1 15 13
1 15 14
1 17 3
1 17 17
1 18 14
1 18 19
1 18 23
1 18 25
1 21 16
1 22 9
1 22 15
1 24 5
1 24 10
1 24 20
1 25 10
1 26 10
2 1 19
2 1 20
2 2 12
2 3 24
2 4 14
2 5 2
2 5 12
2 6 4
2 6 9
2 7 3
2 7 12
2 7 19
2 7 21
2 8 6
2 8 15
2 10 14
2 10 25
2 11 16
2 11 18
2 12 6
2 12 19
2 13 5
2 14 12
2 14 25
2 15 2
2 15 17
2 15 19
2 16 1
2 18 23
2 19 8
2 19 16
2 20 0
2 20 11
2 21 12
2 23 13
2 24 2
2 24 25
2 25 22
3 0 1
3 0 26
3 1 18
3 1 20
3 3 1
3 3 5
3 3 26
3 4 9
3 6 5
3 6 10
3 6 14
3 7 10
3 7 14
3 8 19
3 9 9
3 9 27
3 10 24
3 11 4
3 11 8
3 11 18
3 11 27
3 12 21
3 13 14
3 13 16
3 14 21
3 16 4
3 16 27
3 17 10
3 18 0
3 18 10
3 18 16
3 18 19
3 19 0
3 20 4
3 23 26
3 25 1
3 25 8
3 25 14
3 25 18
3 25 20
4 0 16
4 2 16
4 2 20
4 3 8
4 3 16
4 3 18
4 4 2
4 4 4
4 5 21
4 6 6
4 6 12
4 6 20
4 7 0
4 7 21
4 9 2
4 9 4
4 9 26
4 10 27
4 11 1
4 11 8
4 11 12
4 14 7
4 14 14
4 14 15
4 15 9
4 15 24
4 16 0
4 17 1
4 19 14
4 19 21
4 20 4
4 21 1
4 21 27
4 22 21
4 24 1
4 24 3
4 24 28
4 25 12
4 25 25
4 26 13
4 26 26
4 27 14
5 0 3
5 0 11
5 1 7
5 2 4
5 2 14
5 4 19
5 4 21
5 5 9
5 8 20
5 10 4
5 10 27
5 10 30
5 12 3
5 13 30
5 15 1
5 15 11
5 15 29
5 16 7
5 17 28
5 17 29
