12339
8
59 44 52 38 40 55 43 53
1015

0 0 0 429 0 0 0 0 374 596 0 509 53 0 0 66 53 0 0 77 7 0 18 0 85 48 0 6 69 0 0 0 0 0 35 0 0 66 0 0 35 0 0 53 0 0 16 0 13 0 14 0 0 0 0 50 0 0 0
497 0 0 606 961 0 349 29 0 0 73 84 39 0 0 49 0 16 41 32 14 0 0 53 0 44 0 0 34 58 0 0 14 0 88 0 29 9 0 64 0 0 0 87
0 0 132 69 0 0 191 0 0 128 0 0 46 0 0 61 57 0 0 0 11 0 20 0 0 0 28 0 0 0 73 0 6 76 9 0 0 70 0 0 0 37 0 70 0 79 35 92 0 0 0 3
247 256 0 436 0 638 0 993 46 0 95 0 43 0 0 71 88 0 23 0 0 81 0 0 48 0 0 0 0 0 0 0 63 55 22 69 70 0
542 0 782 0 933 349 0 467 85 0 88 24 33 0 31 90 0 0 0 48 0 15 9 98 2 68 97 1 0 92 40 45 68 0 0 5 0 0 0 86
535 800 942 835 0 0 601 968 0 0 733 32 0 0 0 0 91 0 0 0 0 0 0 0 54 0 0 47 0 0 31 77 66 0 0 0 1 32 63 0 0 5 0 94 24 0 0 0 93 0 0 18 0 88 51
495 252 0 733 249 0 90 0 0 0 0 0 0 35 0 0 56 11 42 64 0 83 31 71 24 0 10 12 0 23 0 0 0 34 30 0 0 65 39 38 67 82 49
0 109 343 17 0 804 942 742 0 749 0 0 31 0 0 4 0 0 9 32 0 0 0 0 31 0 0 61 5 68 0 51 58 27 58 41 0 36 2 64 0 0 0 64 4 21 0 0 0 0 81 0 62

0 1 2
0 1 22
0 1 27
0 2 15
0 3 8
0 3 11
0 4 0
0 4 33
0 5 5
0 5 41
0 6 0
0 7 2
0 7 3
0 7 5
0 7 29
0 8 10
0 8 31
0 8 36
0 8 41
0 9 9
0 10 43
0 11 1
0 11 5
0 11 7
0 11 35
0 11 43
0 12 7
0 12 35
0 13 39
0 14 1
0 14 10
0 14 29
0 15 24
0 15 42
0 15 43
0 16 2
0 16 22
0 16 32
0 17 8
0 17 9
0 17 10
0 17 22
0 17 24
0 17 27
0 18 11
0 19 6
0 19 33
0 20 16
0 20 23
0 20 40
0 21 22
0 22 1
0 22 15
0 22 28
0 22 30
0 22 35
0 22 41
0 22 42
0 23 12
0 23 38
0 24 0
0 24 1
0 24 7
0 24 10
0 24 23
0 25 43
0 26 41
0 27 9
0 27 19
0 28 0
0 28 23
0 28 35
0 28 41
0 29 8
0 29 13
0 29 19
0 29 25
0 29 32
0 29 33
0 30 4
0 30 18
0 30 23
0 30 40
0 31 1
0 31 6
0 31 21
0 31 25
0 31 32
0 31 36
0 31 38
0 32 15
0 32 18
0 32 26
0 32 39
0 33 7
0 33 15
0 34 0
0 34 10
0 34 16
0 34 19
0 34 29
0 34 40
0 35 29
0 36 23
0 36 32
0 37 13
0 38 20
0 38 29
0 38 31
0 39 0
0 39 37
0 39 43
0 40 38
0 41 3
0 41 23
0 41 40
0 42 15
0 42 30
0 43 2
0 43 20
0 43 25
0 43 34
0 43 37
0 43 38
0 44 22
0 44 28
0 45 6
0 45 21
0 45 22
0 45 26
0 47 27
0 47 41
0 48 20
0 48 30
0 48 33
0 48 37
0 49 3
0 49 6
0 49 20
0 49 28
0 50 12
0 51 8
0 53 5
0 53 17
0 54 4
0 54 17
0 54 26
0 54 35
0 54 37
0 54 40
0 54 43
0 55 3
0 56 13
0 57 2
0 57 15
0 57 29
0 57 31
0 57 43
0 58 19
0 58 21
0 58 40
0 58 42
1 0 2
1 0 4
1 0 6
1 0 10
1 0 16
1 0 26
1 0 37
1 1 9
1 1 34
1 1 50
1 2 2
1 2 5
1 2 9
1 2 48
1 3 10
1 3 38
1 4 2
1 4 9
1 4 15
1 4 19
1 4 38
1 4 51
1 5 2
1 5 10
1 5 30
1 5 33
1 6 7
1 6 9
1 6 10
1 6 26
1 6 35
1 6 45
1 6 47
1 7 3
1 7 12
1 8 8
1 8 20
1 8 24
1 8 32
1 8 40
1 8 41
1 8 44
1 8 46
1 8 50
1 9 29
1 9 49
1 10 21
1 10 26
1 10 33
1 11 50
1 12 11
1 12 23
1 12 38
1 12 44
1 12 47
1 13 13
1 13 50
1 14 5
1 14 42
1 14 44
1 14 48
1 15 13
1 15 15
1 15 43
1 15 47
1 16 33
1 16 39
1 16 50
1 17 39
1 17 43
1 18 2
1 18 9
1 19 0
1 19 4
1 20 17
1 20 42
1 20 51
1 21 0
1 21 1
1 21 6
1 21 7
1 21 9
1 21 11
1 21 40
1 21 46
1 21 51
1 22 11
1 22 14
1 22 28
1 22 30
1 22 32
1 22 33
1 22 46
1 23 5
1 23 14
1 23 22
1 23 40
1 24 0
1 24 9
1 24 21
1 24 26
1 24 35
1 24 38
1 25 5
1 25 36
1 26 2
1 26 15
1 26 40
1 27 13
1 27 45
1 27 48
1 28 17
1 28 45
1 29 30
1 29 34
1 29 45
1 30 5
1 30 20
1 30 28
1 30 37
1 30 45
1 31 50
1 32 1
1 32 13
1 32 14
1 32 31
1 32 37
1 32 43
1 33 45
1 33 49
1 34 7
1 35 21
1 35 25
1 35 48
1 36 13
1 36 23
1 36 28
1 36 36
1 37 17
1 38 37
1 38 46
1 40 49
1 41 20
1 42 14
1 42 17
1 42 25
1 42 41
1 42 45
1 43 7
1 43 11
1 43 26
1 43 27
1 43 29
1 43 37
2 1 5
2 2 5
2 2 8
2 2 11
2 2 35
2 3 1
2 3 5
2 3 7
2 3 16
2 3 17
2 4 1
2 4 2
2 4 6
2 4 7
2 4 10
2 5 2
2 5 12
2 5 18
2 5 31
2 7 3
2 7 4
2 7 19
2 8 0
2 8 1
2 8 2
2 8 3
2 8 6
2 8 7
2 8 19
2 8 35
2 9 1
2 9 7
2 9 9
2 10 5
2 11 28
2 11 30
2 12 6
2 12 14
2 12 17
2 12 18
2 13 26
2 14 12
2 14 28
2 16 3
2 16 5
2 16 11
2 16 18
2 16 34
2 17 7
2 17 10
2 17 32
2 17 36
2 18 33
2 19 0
2 19 24
2 20 2
2 20 31
2 21 3
2 21 12
2 22 9
2 22 13
2 22 15
2 22 17
2 22 29
2 23 12
2 23 13
2 23 32
2 23 33
2 24 3
2 24 15
2 24 34
2 25 15
2 26 13
2 26 17
2 27 0
2 27 5
2 27 7
2 27 9
2 27 17
2 27 19
2 27 28
2 27 35
2 27 37
2 29 3
2 29 29
2 29 34
2 30 1
2 30 12
2 30 14
2 30 25
2 31 15
2 31 22
2 32 10
2 32 30
2 33 29
2 33 33
2 34 9
2 34 10
2 34 22
2 34 35
2 34 36
2 35 15
2 35 22
2 36 21
2 36 25
2 36 34
2 37 17
2 37 18
2 37 20
2 37 37
2 38 9
2 38 22
2 40 13
2 41 26
2 41 31
2 41 34
2 42 3
2 42 7
2 42 8
2 42 9
2 42 15
2 42 19
2 43 4
2 43 8
2 43 19
2 43 31
2 44 2
2 45 8
2 45 29
2 46 33
2 48 13
2 48 26
2 48 37
2 51 18
3 0 1
3 0 2
3 0 16
3 1 0
3 1 6
3 1 21
3 2 5
3 2 9
3 2 12
3 3 1
3 3 15
3 3 24
3 4 0
3 4 4
3 5 7
3 5 20
3 5 39
3 6 3
3 6 20
3 7 1
3 7 6
3 7 11
3 8 2
3 8 7
3 8 18
3 8 21
3 9 0
3 9 23
3 9 28
3 9 29
3 10 5
3 10 9
3 10 11
3 10 15
3 11 22
3 11 38
3 12 1
3 12 2
3 12 7
3 12 17
3 12 36
3 13 13
3 13 28
3 13 33
3 13 39
3 14 17
3 15 3
3 15 4
3 15 6
3 15 24
3 15 29
3 16 28
3 16 30
3 16 38
3 17 3
3 17 15
3 17 17
3 18 9
3 18 15
3 19 2
3 19 8
3 19 12
3 19 27
3 20 10
3 20 27
3 20 32
3 21 1
3 21 22
3 21 26
3 22 2
3 22 8
3 22 16
3 22 17
3 23 4
3 23 36
3 24 13
3 24 22
3 24 24
3 24 36
3 25 10
3 25 16
3 26 2
3 26 7
3 26 11
3 26 31
3 26 34
3 26 38
3 27 14
3 27 18
3 27 22
3 27 34
3 28 7
3 28 14
3 28 26
3 29 17
3 29 18
3 29 22
3 29 36
3 29 37
3 30 17
3 30 32
3 30 36
3 31 3
3 31 8
3 31 20
3 31 27
3 31 30
3 32 1
3 32 5
3 32 23
3 32 33
3 32 34
3 33 16
3 33 31
3 34 7
3 34 13
3 34 18
3 34 25
3 35 9
3 35 38
3 35 39
3 36 2
3 36 4
3 37 1
3 37 19
3 37 20
4 0 5
4 0 42
4 0 46
4 1 10
4 2 1
4 2 17
4 2 27
4 2 31
4 3 0
4 3 6
4 3 12
4 3 26
4 3 32
4 4 2
4 4 7
4 4 9
4 4 37
4 4 47
4 4 52
4 5 1
4 5 2
4 5 8
4 5 10
4 5 28
4 5 50
4 6 3
4 6 19
4 6 26
4 6 36
4 7 6
4 7 10
4 7 20
4 7 36
4 7 49
4 8 8
4 8 15
4 8 40
4 8 50
4 8 53
4 9 0
4 9 40
4 10 2
4 10 11
4 10 30
4 10 31
4 11 13
4 11 19
4 12 35
4 13 3
4 13 15
4 13 28
4 13 43
4 15 23
4 15 28
4 15 29
4 15 41
4 16 27
4 16 29
4 16 34
4 16 39
4 16 53
4 17 44
4 17 49
4 18 18
4 18 21
4 18 35
4 19 10
4 19 31
4 19 53
4 20 15
4 20 16
4 20 34
4 21 1
4 21 18
4 21 46
4 22 3
4 22 25
4 22 27
4 22 30
4 22 41
4 22 45
4 23 7
4 23 11
4 23 28
4 24 12
4 24 17
4 24 24
4 24 25
4 24 46
4 25 35
4 26 16
4 26 27
4 26 33
4 27 11
4 27 16
4 27 49
4 28 8
4 28 10
4 28 16
4 28 39
4 28 50
4 28 54
4 29 24
4 29 32
4 29 34
4 29 53
4 30 33
4 31 2
4 31 7
4 31 14
4 31 22
4 31 29
4 31 42
4 32 1
4 32 4
4 32 13
4 32 26
4 32 52
4 33 2
4 33 7
4 33 13
4 33 14
4 33 17
4 33 23
4 33 36
4 33 53
4 34 16
4 34 31
4 34 34
4 34 42
4 35 12
4 35 16
4 35 31
4 35 36
4 35 42
4 35 44
4 36 14
4 36 50
4 37 7
4 38 26
4 39 18
4 39 39
4 39 50
5 0 4
5 1 0
5 1 3
5 2 4
5 2 5
5 2 7
5 2 29
5 3 3
5 3 4
5 3 41
5 4 3
5 5 1
5 5 8
5 5 13
5 5 22
5 5 42
5 6 7
5 6 17
5 7 5
5 7 12
5 7 13
5 7 15
5 7 16
5 8 0
5 8 2
5 8 6
5 8 13
5 8 16
5 8 21
5 8 30
5 8 39
5 9 0
5 9 4
5 9 8
5 9 13
5 9 27
5 10 7
5 10 8
5 10 22
5 10 36
5 11 38
5 12 4
5 12 25
5 13 2
5 13 9
5 13 16
5 13 19
5 14 13
5 14 40
5 15 35
5 16 22
5 16 37
5 16 38
5 17 10
5 17 28
5 18 39
5 19 3
5 20 6
5 20 8
5 20 16
5 20 25
5 20 32
5 20 35
5 20 41
5 21 1
5 21 2
5 21 5
5 21 22
5 21 32
5 22 4
5 22 19
5 22 20
5 22 22
5 22 23
5 22 29
5 22 35
5 22 37
5 22 41
5 23 17
5 24 29
5 24 37
5 25 4
5 25 23
5 26 18
5 26 21
5 26 27
5 26 28
5 26 32
5 27 14
5 27 15
5 27 35
5 28 12
5 28 19
5 28 30
5 28 39
5 28 40
5 29 29
5 29 34
5 29 36
5 30 10
5 30 26
5 30 27
5 30 35
5 31 13
5 32 6
5 32 9
5 32 32
5 32 36
5 32 38
5 33 8
5 34 5
5 34 15
5 34 28
5 34 42
5 35 19
5 35 22
5 36 5
5 36 11
5 36 12
5 36 29
5 36 34
5 37 40
5 38 31
5 39 8
5 39 15
5 39 18
5 39 20
5 39 36
5 40 1
5 40 6
5 42 17
5 42 18
5 42 34
5 42 38
5 43 18
5 43 24
5 43 29
5 43 37
5 44 21
5 44 31
5 45 0
5 45 21
5 45 37
5 45 40
5 46 13
5 46 16
5 46 17
5 47 3
5 47 29
5 49 23
5 50 11
5 50 36
5 51 4
5 51 25
5 51 34
5 52 0
5 52 18
5 52 20
5 52 22
5 52 40
5 53 28
5 53 35
5 54 2
5 54 5
5 54 11
6 0 6
6 0 10
6 0 34
6 1 1
6 2 8
6 2 30
6 2 31
6 3 3
6 3 5
6 4 47
6 5 1
6 5 3
6 5 14
6 5 47
6 6 0
6 6 1
6 6 28
6 6 32
6 7 1
6 7 6
6 7 16
6 7 36
6 7 38
6 7 41
6 8 2
6 8 8
6 8 9
6 8 51
6 9 6
6 10 20
6 10 33
6 11 2
6 11 10
6 11 20
6 11 49
6 12 14
6 12 22
6 12 27
6 13 15
6 13 20
6 13 50
6 14 12
6 14 30
6 14 40
6 14 43
6 14 49
6 15 6
6 15 25
6 15 28
6 15 50
6 17 25
6 17 42
6 17 49
6 18 13
6 18 24
6 18 31
6 18 34
6 19 25
6 19 29
6 19 31
6 19 34
6 19 37
6 19 44
6 19 48
6 19 52
6 21 15
6 21 23
6 21 30
6 21 39
6 21 41
6 21 44
6 22 35
6 23 2
6 23 32
6 23 47
6 23 51
6 24 48
6 24 51
6 26 0
6 26 23
6 26 26
6 26 34
6 27 52
6 28 19
6 28 38
6 29 14
6 29 15
6 30 29
6 30 50
6 31 15
6 31 36
6 32 7
6 32 11
6 32 17
6 32 20
6 32 22
6 32 39
6 32 45
6 33 20
6 33 22
6 33 48
6 34 1
6 34 27
6 34 29
6 34 30
6 34 35
6 34 51
6 35 30
6 35 49
6 36 30
6 37 3
6 37 15
6 37 23
6 37 48
6 37 52
6 38 17
6 38 37
6 38 40
6 39 7
6 39 24
6 39 49
6 40 13
6 40 23
6 40 46
6 40 49
6 41 21
6 41 23
6 41 29
6 41 31
6 41 50
6 42 11
