2240
5
96 146 118 136 104
570

70 567 792 0 0 963 0 0 0 0 0 0 0 0 0 559 156 904 99 999 445 773 991 927 598 62 0 10 0 55 0 82 33 0 0 41 3 67 65 0 17 71 0 0 38 39 100 0 73 0 47 0 0 0 0 56 39 0 34 0 21 73 2 0 96 27 91 1 0 76 31 0 0 41 17 77 0 0 18 11 0 27 0 0 0 0 0 0 35 52 0 14 0 0 75 49
147 0 0 981 0 408 0 0 472 924 86 0 464 71 157 0 0 772 0 474 0 994 208 0 498 0 0 607 917 220 890 0 0 0 429 0 52 87 0 16 2 1 81 0 0 0 13 0 1 45 99 37 0 0 0 43 24 75 0 47 47 0 0 0 62 0 0 7 7 0 84 36 87 45 0 84 76 99 0 0 0 32 35 0 0 0 69 0 0 0 54 42 0 0 10 0 0 0 90 0 0 0 7 0 23 0 0 2 98 0 41 0 31 48 0 6 4 0 0 0 0 0 20 0 95 0 0 0 0 0 31 43 30 97 53 81 0 0 0 76 32 0 20 0 0 67
850 0 539 0 59 186 0 790 65 48 0 318 0 419 0 281 88 884 0 0 110 439 0 645 45 57 0 369 866 0 0 66 20 2 0 98 0 0 86 21 67 0 91 16 84 84 87 0 0 0 50 15 69 17 0 0 38 0 0 54 0 8 0 64 0 0 0 0 0 94 15 20 0 0 25 16 0 0 26 0 13 98 0 52 0 0 15 90 73 0 0 49 0 0 0 0 0 55 0 54 16 23 0 43 0 0 0 96 8 0 0 77 0 0 23 0 6 0
771 921 0 0 0 491 350 178 834 824 79 0 0 0 689 522 7 185 482 0 0 0 792 498 600 0 311 0 848 0 0 0 0 837 0 0 6 0 43 0 0 0 82 54 3 0 0 93 0 21 0 0 0 0 0 0 26 0 0 28 0 0 92 47 45 0 0 0 15 79 64 44 0 0 0 0 94 6 56 71 29 67 64 0 18 0 61 81 0 55 0 75 25 41 84 76 58 35 0 0 0 0 88 0 0 0 0 51 42 52 12 0 27 70 0 96 0 43 0 0 4 0 0 47 0 15 0 64 34 95 70 62 0 0 92 5
362 0 0 0 992 25 732 0 0 291 0 333 0 65 0 0 325 193 209 0 0 0 18 0 0 0 123 0 0 36 0 55 0 14 0 97 0 0 0 33 86 20 72 0 0 91 3 0 80 0 0 0 87 12 0 0 0 50 0 0 81 54 80 0 0 0 92 0 53 0 65 74 0 0 93 44 0 90 0 0 0 0 98 0 62 54 66 0 0 68 0 0 0 19 98 0 0 58 88 0 65 0 0 86

0 1 2
0 1 95
0 2 11
0 2 62
0 2 137
0 3 84
0 3 118
0 4 46
0 4 56
0 4 90
0 4 96
0 6 113
0 6 130
0 7 67
0 7 104
0 8 44
0 9 75
0 9 96
0 10 77
0 12 9
0 12 110
0 14 106
0 15 13
0 15 107
0 15 117
0 16 65
0 17 108
0 17 132
0 21 139
0 22 13
0 23 11
0 23 64
0 23 67
0 25 112
0 25 137
0 26 139
0 28 6
0 28 100
0 28 133
0 30 32
0 30 122
0 31 20
0 31 30
0 32 1
0 32 16
0 32 117
0 33 69
0 34 3
0 35 18
0 35 60
0 35 81
0 35 126
0 35 127
0 37 3
0 37 56
0 37 130
0 38 27
0 38 65
0 40 69
0 41 35
0 41 72
0 41 113
0 41 140
0 42 92
0 43 65
0 45 29
0 45 36
0 45 66
0 46 102
0 47 73
0 47 141
0 48 80
0 49 2
0 49 140
0 50 69
0 51 49
0 52 115
0 53 57
0 53 107
0 54 18
0 54 136
0 57 23
0 57 87
0 58 70
0 58 71
0 59 142
0 62 94
0 62 134
0 63 48
0 63 56
0 63 132
0 64 57
0 65 60
0 65 112
0 65 132
0 66 35
0 66 89
0 66 110
0 67 37
0 68 45
0 68 88
0 68 92
0 69 103
0 70 120
0 70 141
0 71 26
0 71 81
0 71 123
0 73 112
0 74 39
0 74 81
0 77 68
0 77 145
0 78 49
0 78 58
0 80 15
0 80 28
0 80 30
0 80 49
0 80 93
0 81 46
0 81 63
0 81 73
0 81 76
0 82 18
0 82 50
0 82 108
0 83 89
0 85 1
0 85 70
0 86 90
0 87 69
0 87 138
0 88 41
0 88 42
0 90 47
0 90 49
0 90 77
0 90 108
0 91 58
0 91 87
0 92 70
0 93 56
0 93 59
0 94 42
0 94 103
0 95 1
0 95 121
0 95 133
1 0 43
1 1 44
1 1 104
1 1 111
1 3 4
1 5 13
1 5 55
1 5 63
1 7 25
1 9 20
1 10 65
1 13 50
1 16 8
1 16 16
1 16 17
1 17 41
1 19 23
1 20 95
1 21 49
1 22 1
1 23 9
1 27 24
1 27 79
1 28 42
1 29 20
1 30 51
1 30 91
1 31 0
1 32 66
1 33 69
1 34 17
1 34 73
1 35 85
1 35 101
1 36 100
1 37 2
1 39 77
1 40 84
1 42 94
1 43 22
1 44 5
1 44 55
1 45 0
1 45 32
1 45 80
1 47 63
1 48 58
1 49 22
1 49 89
1 51 15
1 54 13
1 54 51
1 55 99
1 57 35
1 60 64
