2740
5
102 119 98 166 115
1396

0 0 0 117 774 0 0 0 380 0 0 124 0 0 152 0 0 396 0 361 83 824 0 914 0 0 0 0 0 0 0 61 56 41 66 0 32 37 0 5 0 6 45 38 48 90 67 0 10 0 94 47 64 59 22 72 0 0 0 0 91 35 0 0 33 93 84 0 0 90 0 0 0 46 97 0 0 0 0 21 0 95 28 0 7 93 94 87 0 97 0 0 61 0 95 0 57 0 82 0 0 0
0 0 69 0 0 0 0 339 0 196 0 432 204 0 0 0 0 470 717 0 213 479 370 962 0 0 433 746 832 890 13 89 0 54 79 95 78 9 2 73 94 32 0 41 0 20 0 0 14 14 72 54 71 98 33 100 13 94 0 96 74 0 0 4 71 67 82 40 75 45 28 78 0 77 0 0 0 0 31 0 0 0 100 0 0 0 0 0 0 0 50 0 38 0 94 43 0 93 0 78 45 0 9 0 39 79 96 100 77 33 48 0 52 0 32 65 0 40 0
462 461 0 81 669 0 532 445 0 0 481 548 0 0 0 0 0 0 0 677 0 0 0 0 0 0 98 0 98 0 81 0 0 0 67 0 0 0 0 0 0 0 93 85 0 65 0 31 48 0 41 91 69 67 0 0 0 0 0 32 86 32 61 17 0 6 53 87 32 2 24 89 87 0 0 51 0 0 25 0 99 43 28 0 0 81 19 82 0 0 1 84 0 0 0 40 13 0
373 0 355 47 0 0 14 16 950 339 651 0 0 0 939 795 107 457 630 0 145 0 260 875 0 348 0 0 568 620 0 96 403 0 0 621 0 0 0 964 0 827 0 23 0 0 89 0 55 15 44 58 0 0 0 0 0 0 8 15 65 0 40 0 22 2 0 0 30 0 32 47 43 22 0 0 0 0 0 20 89 0 0 0 0 53 21 0 0 0 0 40 0 59 0 47 98 0 70 0 0 3 0 0 0 0 0 0 78 27 66 0 72 0 59 83 35 0 0 8 90 0 1 10 64 69 0 0 70 0 41 13 0 94 0 44 0 79 88 72 0 0 0 31 0 0 0 0 11 0 5 0 38 14 36 89 82 0 0 0 0 0 30 0 0 56
166 112 0 34 0 331 198 794 897 0 42 0 353 367 0 195 497 0 0 448 0 0 0 0 921 0 367 71 0 0 15 12 77 0 89 0 89 5 0 0 0 63 0 47 1 73 0 0 72 0 0 85 0 79 0 35 0 0 0 32 42 50 0 0 0 65 0 11 38 48 0 53 0 63 0 0 96 34 52 3 53 34 0 0 99 72 0 0 0 46 21 74 0 0 67 71 0 0 45 23 0 48 0 0 50 87 32 0 8 97 0 0 98 23 0

0 1 2
0 1 11
0 2 55
0 2 67
0 2 103
0 3 12
0 3 25
0 3 95
0 3 101
0 4 40
0 4 41
0 4 55
0 4 83
0 5 7
0 5 43
0 6 2
0 6 17
0 6 49
0 6 61
0 6 62
0 6 89
0 6 90
0 7 115
0 8 8
0 8 71
0 9 79
0 10 39
0 10 84
0 10 85
0 11 33
0 11 40
0 11 42
0 11 45
0 11 48
0 11 53
0 11 71
0 11 74
0 12 112
0 13 19
0 13 32
0 13 81
0 15 30
0 15 50
0 16 94
0 16 112
0 17 43
0 17 57
0 17 80
0 17 95
0 18 14
0 18 17
0 18 26
0 18 76
0 19 16
0 19 53
0 19 77
0 19 96
0 19 100
0 19 113
0 19 117
0 20 53
0 20 67
0 20 75
0 20 91
0 20 117
0 21 32
0 21 50
0 21 78
0 21 107
0 22 97
0 22 103
0 22 117
0 23 1
0 23 53
0 23 105
0 23 118
0 24 9
0 24 24
0 24 60
0 24 65
0 24 91
0 25 2
0 25 35
0 26 21
0 26 58
0 26 110
0 27 19
0 27 107
0 28 11
0 28 15
0 28 64
0 29 4
0 29 13
0 29 21
0 30 0
0 30 9
0 30 41
0 30 62
0 30 116
0 31 39
0 31 40
0 31 43
0 32 1
0 32 10
0 32 43
0 32 57
0 32 97
0 32 113
0 33 11
0 33 27
0 33 61
0 34 79
0 34 101
0 35 26
0 35 35
0 35 80
0 35 103
0 35 114
0 36 45
0 37 5
0 37 28
0 37 36
0 37 68
0 37 91
0 38 7
0 38 29
0 38 65
0 39 7
0 39 19
0 39 112
0 40 46
0 40 90
0 41 61
0 42 68
0 42 81
0 42 83
0 42 101
0 42 111
0 43 8
0 43 34
0 43 64
0 43 91
0 43 94
0 44 102
0 46 17
0 46 87
0 47 16
0 47 37
0 47 111
0 48 22
0 48 118
0 49 0
0 49 6
0 50 26
0 50 29
0 50 31
0 50 46
0 50 48
0 50 79
0 50 100
0 51 84
0 52 40
0 52 61
0 53 37
0 53 78
0 54 46
0 54 62
0 54 82
0 55 30
0 56 28
0 56 69
0 56 100
0 56 101
0 56 110
0 57 45
0 57 76
0 57 84
0 57 102
0 58 20
0 59 51
0 59 80
0 59 106
0 60 36
0 60 40
0 60 58
0 61 33
0 61 81
0 61 88
0 61 91
0 61 104
0 62 39
0 62 40
0 62 115
0 63 4
0 63 27
0 63 99
0 65 3
0 65 19
0 65 27
0 65 44
0 66 19
0 66 52
0 66 63
0 66 101
0 66 107
0 67 9
0 67 117
0 68 7
0 69 10
0 70 105
0 71 5
0 71 35
0 71 57
0 72 26
0 72 49
0 72 80
0 72 91
0 73 9
0 73 12
0 73 53
0 73 56
0 74 107
0 75 47
0 75 74
0 75 115
0 76 80
0 77 33
0 77 38
0 77 86
0 77 103
0 78 9
0 79 2
0 79 75
0 79 88
0 79 104
0 79 111
0 79 112
0 80 37
0 80 70
0 81 28
0 81 46
0 82 30
0 82 47
0 83 11
0 83 80
0 83 103
0 84 60
0 84 69
0 84 102
0 85 100
0 86 25
0 86 45
0 86 49
0 87 1
0 87 37
0 88 35
0 88 88
0 89 54
0 90 40
0 90 75
0 91 74
0 91 83
0 91 97
0 92 28
0 93 6
0 93 32
0 93 63
0 93 65
0 93 70
0 93 111
0 94 63
0 94 69
0 94 89
0 94 106
0 95 10
0 95 77
0 96 1
0 96 11
0 96 70
0 96 89
0 97 44
0 97 110
0 98 12
0 98 26
0 98 28
0 98 48
0 98 74
0 99 7
0 99 59
0 99 108
0 100 27
0 100 41
0 100 85
0 101 3
0 101 4
0 101 48
0 101 75
1 0 7
1 0 24
1 0 39
1 1 19
1 1 47
1 1 57
1 2 42
1 2 59
1 2 69
1 2 97
1 3 76
1 4 18
1 4 35
1 4 89
1 5 86
1 7 97
1 8 10
1 8 49
1 10 23
1 10 57
1 10 64
1 10 96
1 11 16
1 11 50
1 11 62
1 11 87
1 12 16
1 12 33
1 12 37
1 12 89
1 13 87
1 14 54
1 15 25
1 15 43
1 16 12
1 16 69
1 17 24
1 18 21
1 18 52
1 19 15
1 19 44
1 19 52
1 19 59
1 20 16
1 20 17
1 20 88
1 20 92
1 21 5
1 21 14
1 21 15
1 21 91
1 22 3
1 22 61
1 22 86
1 23 85
1 24 38
1 24 71
1 25 18
1 25 33
1 25 43
1 25 68
1 26 1
1 26 41
1 27 1
1 27 68
1 28 0
1 28 14
1 28 31
1 28 42
1 28 87
1 29 53
1 29 63
1 30 69
1 31 53
1 31 58
1 31 77
1 31 79
1 31 88
1 32 39
1 32 43
1 32 57
1 32 76
1 33 61
1 33 74
1 33 84
1 34 2
1 34 70
1 34 76
1 34 77
1 34 89
1 35 32
1 35 58
1 35 91
1 36 9
1 36 38
1 37 23
1 37 35
1 38 44
1 39 18
1 39 22
1 39 45
1 39 50
1 39 61
1 39 66
1 40 20
1 41 42
1 41 72
1 42 19
1 42 65
1 42 90
1 42 97
1 43 77
1 44 24
1 44 44
1 44 48
1 45 28
