2473
6
43 43 43 43 43 43
779

783 125 0 715 218 654 0 0 617 795 0 0 0 0 0 697 913 0 14 87 0 0 7 64 38 0 25 49 0 0 0 0 77 0 0 96 0 0 91 0 0 0 66
688 0 0 0 435 550 791 0 799 0 0 0 0 0 0 0 305 765 0 58 82 0 0 33 37 0 5 65 0 2 41 0 84 76 2 0 92 0 61 61 0 0 54
493 639 0 0 503 0 601 0 340 0 0 0 147 0 0 453 0 0 0 6 0 0 0 0 56 0 0 0 0 56 30 0 0 0 76 49 28 0 0 0 0 0 68
992 452 846 0 523 712 30 0 0 885 880 821 0 569 0 314 0 0 0 0 0 0 22 0 0 26 3 77 0 0 95 0 2 0 0 24 0 0 23 83 65 0 0
88 350 33 382 428 0 0 0 17 88 0 966 17 549 0 0 0 156 39 0 0 0 30 0 0 36 87 0 2 0 0 24 0 0 56 9 0 0 0 53 0 55 31
0 679 0 0 428 876 548 652 0 0 46 23 27 418 0 399 907 0 0 0 0 0 0 0 66 73 0 4 70 67 0 0 21 0 98 63 0 0 71 54 34 53 0

0 1 2
0 1 4
0 1 10
0 1 11
0 1 16
0 1 20
0 1 23
0 1 37
0 2 8
0 2 11
0 2 14
0 2 16
0 2 18
0 2 29
0 2 41
0 3 1
0 3 9
0 3 21
0 4 1
0 4 5
0 4 27
0 4 33
0 5 6
0 5 17
0 5 24
0 6 9
0 6 31
0 6 37
0 7 3
0 7 22
0 7 23
0 7 34
0 8 0
0 8 14
0 8 16
0 8 17
0 8 35
0 8 39
0 9 17
0 10 11
0 10 12
0 10 13
0 10 17
0 11 9
0 11 13
0 11 26
0 11 27
0 12 1
0 12 3
0 12 9
0 12 13
0 12 17
0 12 41
0 13 6
0 13 8
0 13 11
0 13 16
0 13 28
0 13 31
0 14 15
0 14 16
0 15 9
0 15 13
0 15 14
0 15 17
0 15 20
0 16 5
0 16 6
0 16 11
0 16 12
0 16 35
0 17 1
0 17 16
0 17 22
0 18 8
0 18 10
0 18 17
0 19 20
0 20 15
0 20 20
0 21 13
0 21 17
0 22 4
0 22 7
0 22 9
0 22 13
0 23 10
0 23 15
0 23 30
0 23 40
0 25 1
0 25 38
0 26 27
0 26 41
0 27 8
0 27 20
0 28 40
0 29 1
0 30 13
0 30 21
0 30 31
0 31 1
0 31 4
0 31 10
0 32 27
0 32 33
0 33 3
0 33 42
0 34 7
0 34 20
0 34 22
0 34 33
0 35 9
0 35 11
0 36 7
0 36 12
0 36 17
0 36 36
0 37 1
0 37 2
0 37 14
0 37 25
0 38 27
0 39 1
0 39 9
0 40 12
0 40 16
0 40 28
0 40 32
0 41 8
0 41 15
0 41 31
0 41 33
0 42 15
0 42 26
1 0 1
1 0 5
1 0 7
1 0 12
