5609
5
21 20 20 20 21
344

0 207 544 221 0 821 0 391 0 49 52 0 0 0 93 84 60 8 83 23 74
61 528 366 0 0 0 799 0 0 0 57 0 70 52 94 38 0 0 50 0
0 318 0 321 0 382 978 464 0 30 5 0 24 0 0 31 88 96 28 3
40 0 345 0 0 938 284 0 589 3 69 15 15 0 0 0 0 43 0 68
0 0 198 474 24 484 0 319 478 0 0 0 0 0 0 0 0 97 0 50 0

0 1 2
0 1 9
0 1 12
0 1 14
0 1 17
0 2 5
0 2 15
0 2 19
0 3 4
0 3 9
0 3 10
0 3 15
0 4 13
0 4 14
0 4 15
0 5 8
0 5 11
0 6 2
0 6 4
0 7 0
0 7 4
0 7 5
0 7 7
0 8 13
0 8 16
0 9 2
0 9 4
0 9 5
0 9 10
0 9 11
0 9 13
0 9 14
0 9 16
0 9 17
0 9 18
0 9 19
0 10 10
0 10 13
0 10 17
0 11 5
0 11 8
0 11 9
0 11 12
0 12 0
0 12 7
0 12 10
0 12 18
0 13 8
0 13 10
0 14 0
0 14 3
0 14 4
0 14 11
0 14 16
0 15 2
0 15 3
0 15 5
0 15 11
0 15 17
0 15 19
0 16 2
0 16 8
0 16 10
0 16 13
0 16 14
0 16 17
0 17 6
0 17 11
0 18 0
0 18 1
0 18 5
0 18 6
0 18 9
0 18 10
0 18 12
0 18 13
0 18 17
0 19 0
0 19 2
0 19 6
0 19 11
0 20 5
0 20 9
0 20 12
0 20 15
0 20 17
0 20 19
1 0 4
1 0 6
1 0 9
1 0 13
1 0 16
1 0 18
1 1 2
1 1 7
1 1 10
1 1 11
1 2 0
1 2 1
1 2 9
1 4 0
1 4 2
1 4 3
1 4 5
1 4 10
1 4 11
1 4 14
1 4 16
1 4 18
1 5 0
1 5 5
1 5 7
1 5 8
1 5 12
1 5 19
1 6 1
1 6 2
1 6 13
1 7 3
1 7 10
1 7 14
1 8 2
1 8 10
1 8 15
1 9 8
1 9 17
1 10 0
1 10 7
1 10 15
1 10 16
1 11 2
1 11 7
1 11 8
1 11 10
1 11 11
1 11 12
1 11 15
1 11 16
1 11 17
1 11 18
1 12 4
1 12 10
1 13 9
1 13 13
1 13 17
1 14 1
1 14 3
1 14 6
1 14 7
1 14 13
1 14 17
1 14 19
1 15 3
1 15 12
1 15 14
1 15 19
1 16 1
1 16 3
1 16 10
1 16 19
1 17 7
1 17 9
1 17 11
1 17 17
1 18 0
1 18 5
1 18 10
1 18 16
1 19 1
1 19 2
1 19 3
1 19 7
1 19 8
1 19 11
1 19 15
1 19 19
2 0 7
2 0 17
2 0 19
2 1 3
2 1 5
2 1 7
2 1 14
2 1 16
2 1 17
2 1 18
2 2 0
2 2 9
2 2 13
2 2 15
2 2 18
2 2 19
2 3 7
2 3 10
2 4 1
2 4 3
2 4 4
2 4 6
2 4 16
2 5 11
2 6 6
2 6 13
2 6 16
2 7 2
2 7 16
2 8 1
2 8 8
2 8 13
2 8 15
2 8 17
2 9 2
2 9 6
2 9 7
2 9 13
2 9 18
2 9 19
2 10 6
2 10 9
2 10 15
2 10 19
2 11 5
2 11 8
2 11 9
2 11 12
2 12 1
2 12 6
2 12 7
2 12 14
2 12 15
2 12 17
2 12 19
2 13 10
2 13 12
2 13 14
2 13 18
2 14 4
2 14 5
2 14 9
2 14 11
2 14 13
2 15 0
2 15 2
2 15 8
2 15 13
2 15 15
2 15 16
2 15 18
2 16 7
2 16 18
2 17 1
2 17 8
2 17 13
2 17 18
2 18 10
2 18 14
2 18 16
2 19 5
2 19 6
2 19 7
2 19 8
2 19 10
2 19 11
2 19 14
2 19 19
3 0 4
3 0 6
3 0 18
3 1 13
3 1 19
3 1 20
3 2 2
3 2 3
3 2 5
3 2 9
3 2 10
3 3 2
3 3 18
3 4 6
3 4 18
3 5 9
3 5 16
3 6 6
3 6 10
3 6 12
3 6 17
3 7 6
3 7 12
3 7 13
3 7 17
3 8 1
3 8 7
3 9 0
3 9 11
3 9 12
3 9 17
3 9 19
3 10 3
3 10 4
3 10 6
3 10 9
3 10 18
3 10 19
3 11 4
3 11 5
3 11 12
3 11 16
3 12 5
3 12 8
3 12 16
3 13 1
3 13 6
3 13 8
3 13 13
3 13 15
3 13 17
3 14 0
3 14 6
3 14 14
3 14 18
3 14 19
3 15 1
3 15 15
3 15 16
3 15 20
3 16 2
3 16 8
3 16 9
3 16 16
3 16 17
3 16 18
3 17 7
3 17 8
3 17 14
3 17 15
3 18 2
3 18 14
3 18 16
3 19 1
3 19 2
3 19 5
3 19 7
3 19 9
3 19 10
3 19 14
