664
5
23 22 23 22 22
282

227 968 0 499 0 335 0 0 332 68 65 44 0 25 34 0 0 81 0 26 88 0 2
529 556 513 537 487 848 0 0 86 888 64 0 0 0 80 69 35 0 0 33 4 51
0 0 780 51 66 0 0 0 0 982 81 78 0 76 7 0 18 9 58 0 0 59 47
242 0 0 680 180 0 256 0 0 0 0 66 7 70 36 0 0 80 0 6 31 29
62 427 326 338 0 0 0 0 925 153 96 0 20 0 0 22 63 2 0 0 28 76

0 1 2
0 1 6
0 1 13
0 2 2
0 2 13
0 3 19
0 4 7
0 4 10
0 4 12
0 4 17
0 5 2
0 5 6
0 5 9
0 6 3
0 6 6
0 7 6
0 7 20
0 7 21
0 9 5
0 9 7
0 9 11
0 9 12
0 9 13
0 9 15
0 10 13
0 10 15
0 10 19
0 11 15
0 11 16
0 11 17
0 12 7
0 12 20
0 13 18
0 13 21
0 14 13
0 14 14
0 14 17
0 14 18
0 14 20
0 15 16
0 15 18
0 16 11
0 16 17
0 17 6
0 17 9
0 17 14
0 17 15
0 17 17
0 18 6
0 18 17
0 18 20
0 18 21
0 20 10
0 20 11
0 20 13
0 20 19
0 21 4
0 21 9
0 21 10
0 21 12
0 21 15
0 21 17
0 21 18
0 22 4
0 22 5
0 22 15
1 1 0
1 1 2
1 1 8
1 1 18
1 1 20
1 2 1
1 2 4
1 2 11
1 3 7
1 3 15
1 3 19
1 4 3
1 4 4
1 5 6
1 5 22
1 6 0
1 6 8
1 7 9
1 7 10
1 7 21
1 8 1
1 8 9
1 9 14
1 9 15
1 9 18
1 9 22
1 10 8
1 10 10
1 10 12
1 10 14
1 10 17
1 10 19
1 11 16
1 11 18
1 12 10
1 12 11
1 12 19
1 12 22
1 13 10
1 13 13
1 13 17
1 13 18
1 13 20
1 14 5
1 14 19
1 15 1
1 15 2
1 15 3
1 15 6
1 15 8
1 15 13
1 15 16
1 15 22
1 16 2
1 16 3
1 16 10
1 16 12
1 16 15
1 16 17
1 17 4
1 17 6
1 17 11
1 17 15
1 17 17
1 17 19
1 17 21
1 18 10
1 18 11
1 18 14
1 18 15
1 18 16
1 18 17
1 18 20
1 19 2
1 19 10
1 19 20
1 19 22
1 20 12
1 20 14
1 20 18
1 21 9
1 21 15
1 21 16
1 21 21
2 0 0
2 0 4
2 0 18
2 0 20
2 2 18
2 3 2
2 3 7
2 3 12
2 4 9
2 4 21
2 5 0
2 5 3
2 5 6
2 5 9
2 5 12
2 6 2
2 6 7
2 7 2
2 7 8
2 7 16
2 8 7
2 9 6
2 10 13
2 10 15
2 11 9
2 11 11
2 11 15
2 11 16
2 11 18
2 12 15
2 13 5
2 13 16
2 14 5
2 14 10
2 14 13
2 14 14
2 14 21
2 15 1
2 15 10
2 15 16
2 15 18
2 15 19
2 15 20
2 16 12
2 16 17
2 16 18
2 16 19
2 17 10
2 17 16
2 17 20
2 18 0
2 18 4
2 18 5
2 18 12
2 19 7
2 19 8
2 19 10
2 20 0
2 20 14
2 20 18
2 21 11
2 21 12
2 21 14
2 21 15
2 21 20
2 21 21
2 22 2
2 22 4
2 22 12
2 22 15
2 22 17
3 0 7
3 0 9
3 0 10
3 0 16
3 0 17
3 1 5
3 2 1
3 2 4
3 2 7
3 3 9
3 3 18
3 3 19
3 4 11
3 4 16
3 5 6
3 5 20
3 6 8
3 7 5
3 8 3
3 9 0
3 9 1
3 9 2
3 9 3
3 10 18
3 10 19
3 11 9
3 11 16
3 11 20
3 12 0
3 12 10
3 12 19
3 13 7
3 13 13
3 13 16
3 14 6
3 14 9
3 14 14
3 14 17
3 15 13
3 15 17
3 15 19
3 16 13
3 16 15
3 16 16
3 16 21
3 17 18
3 18 10
3 18 11
3 18 16
3 19 0
3 19 10
3 19 11
3 19 14
3 19 15
3 20 9
3 21 10
3 21 11
3 21 13
3 21 14
3 21 18
3 21 19
