6999
7
28 28 28 27 27 28 27
544

546 318 857 184 0 795 931 435 371 0 0 103 0 28 0 0 27 80 0 0 0 35 11 0 0 0 17 44
704 0 0 0 0 0 0 140 0 0 847 0 26 0 63 14 0 0 32 0 0 0 0 0 53 0 82 57
0 452 0 764 599 0 0 263 915 238 0 0 54 0 0 70 0 69 35 62 0 0 83 0 0 81 0 67
91 723 459 0 0 493 127 0 0 339 28 0 0 0 0 0 0 0 16 0 42 0 91 0 0 51 0
129 0 685 0 0 0 0 0 902 0 919 900 41 0 50 30 0 0 0 0 0 29 0 15 0 0 12
0 0 262 0 529 0 717 58 44 747 0 0 64 19 12 0 0 85 81 77 0 1 0 0 0 5 85 31
0 0 0 436 0 0 0 9 0 562 0 0 50 28 51 0 0 0 0 15 0 0 78 0 0 0 0

0 1 2
0 2 3
0 2 8
0 2 12
0 2 20
0 2 27
0 3 0
0 4 5
0 4 6
0 4 23
0 5 15
0 6 4
0 6 8
0 6 10
0 6 15
0 6 16
0 8 0
0 8 8
0 8 13
0 8 23
0 9 4
0 9 5
0 9 16
0 10 0
0 10 18
0 11 1
0 11 2
0 11 9
0 11 17
0 12 17
0 12 22
0 12 23
0 13 21
0 13 24
0 14 14
0 14 15
0 14 17
0 15 0
0 15 5
0 15 11
0 15 12
0 15 16
0 15 17
0 16 5
0 16 22
0 16 23
0 16 27
0 17 12
0 17 23
0 17 24
0 17 26
0 17 27
0 18 6
0 18 16
0 18 24
0 19 1
0 19 3
0 19 16
0 19 21
0 20 17
0 20 18
0 20 20
0 20 27
0 21 1
0 21 10
0 21 15
0 21 26
0 22 0
0 22 1
0 22 13
0 22 16
0 22 19
0 22 23
0 23 12
0 23 18
0 23 23
0 24 6
0 24 17
0 24 20
0 24 23
0 25 0
0 25 10
0 25 14
0 25 16
0 25 17
0 25 22
0 26 7
0 26 16
0 26 18
0 26 19
0 26 21
0 26 25
0 27 18
0 27 24
1 0 13
1 1 5
1 1 8
1 1 9
1 1 20
1 2 4
1 2 5
1 2 8
1 2 14
1 2 15
1 2 24
1 3 5
1 3 8
1 3 10
1 4 0
1 5 6
1 5 12
1 5 22
1 6 24
1 6 25
1 7 5
1 7 12
1 7 15
1 7 25
1 8 3
1 8 5
1 8 18
1 9 2
1 9 4
1 9 9
1 9 10
1 9 13
1 10 2
1 10 4
1 10 14
1 10 26
1 11 0
1 11 5
