379
5
14 14 14 14 14
205

0 0 0 355 48 0 0 0 0 0 70 74 57 51
923 626 0 0 0 1 0 59 27 0 6 0 54 59
0 0 974 0 80 0 0 0 53 62 41 91 2 50
0 0 0 0 10 0 0 0 21 85 21 80 67 77
3 0 0 402 0 92 0 35 60 90 0 59 91 0

0 1 2
0 1 3
0 1 11
0 1 13
0 2 1
0 2 8
0 3 0
0 3 2
0 3 7
0 3 8
0 3 12
0 3 13
0 4 5
0 4 6
0 4 10
0 4 12
0 5 0
0 5 2
0 5 4
0 5 8
0 5 13
0 6 3
0 6 5
0 7 1
0 7 3
0 7 7
0 7 8
0 7 9
0 7 10
0 7 13
0 9 3
0 9 5
0 9 8
0 10 4
0 10 8
0 10 11
0 10 13
0 11 5
0 12 7
0 12 13
0 13 5
0 13 9
0 13 10
0 13 12
0 13 13
1 0 1
1 0 2
1 0 3
1 1 1
1 1 2
1 1 3
1 2 0
1 2 1
1 3 0
1 3 6
1 3 11
1 4 0
1 4 6
1 4 11
1 5 6
1 5 9
1 5 10
1 6 2
1 6 5
1 6 6
1 6 7
1 6 8
1 7 1
1 7 2
1 7 7
1 7 9
1 7 11
1 7 13
1 8 4
1 8 6
1 8 7
1 8 9
1 9 1
1 9 3
1 9 5
1 9 8
1 9 9
1 9 11
1 9 12
1 10 7
1 10 8
1 10 9
1 11 4
1 11 6
1 11 7
1 11 11
1 11 12
1 12 1
1 12 6
1 12 8
1 12 12
1 13 4
1 13 6
1 13 8
1 13 10
2 0 3
2 1 3
2 1 12
2 2 1
2 2 2
2 3 0
2 3 1
2 3 2
2 3 4
2 3 7
2 4 9
2 4 13
2 5 3
2 5 6
2 5 7
2 5 10
2 5 13
2 6 1
2 6 8
2 6 9
2 6 12
2 6 13
2 7 1
2 7 7
2 7 8
2 7 11
2 8 8
2 8 10
2 8 11
2 8 12
2 9 3
2 9 4
2 9 9
2 9 10
2 9 11
2 10 4
2 10 6
2 10 9
2 11 6
2 11 11
2 11 12
2 11 13
2 12 2
2 12 4
2 12 5
2 12 6
2 12 7
2 12 11
2 12 12
2 12 13
2 13 1
2 13 4
2 13 10
2 13 11
2 13 12
3 0 0
3 0 1
3 1 1
3 1 4
3 1 7
3 1 12
3 2 2
3 2 10
3 3 3
3 3 7
3 4 4
3 4 7
3 4 11
3 4 12
3 4 13
3 5 6
3 5 8
3 5 9
3 5 10
3 6 7
3 6 11
3 6 12
3 6 13
3 7 2
3 7 6
3 7 8
3 7 9
3 7 11
3 8 5
3 8 9
3 8 10
3 9 1
3 9 7
3 9 10
3 9 12
3 10 5
3 10 13
3 11 3
3 11 5
3 11 7
3 12 4
3 12 6
3 12 7
3 12 8
3 12 10
3 12 11
3 12 12
3 13 4
3 13 10
3 13 12
