1112
5
10 10 10 11 13
86

0 693 136 0 0 0 3 0 31 0
605 0 823 0 0 0 0 4 70 0
0 230 0 88 0 74 0 58 0 82
243 69 79 0 0 0 43 0 12 0 0
0 831 0 585 64 98 0 6 0 61 0 41 77

0 1 2
0 1 9
0 2 1
0 2 3
0 2 4
0 3 3
0 3 9
0 5 2
0 5 4
0 6 7
0 6 8
0 7 0
0 7 5
1 1 0
1 1 6
1 2 0
1 2 1
1 2 5
1 3 3
1 3 6
1 4 4
1 4 5
1 5 0
1 5 9
1 6 7
1 7 5
1 8 1
1 8 4
2 0 1
2 0 3
2 0 10
2 1 1
2 1 2
2 1 3
2 1 9
2 2 0
2 2 5
2 3 3
2 3 5
2 3 8
2 5 4
2 6 1
2 6 6
2 6 7
2 7 5
2 7 6
2 7 10
2 8 4
2 8 6
2 8 7
2 9 7
2 9 8
3 0 0
3 0 1
3 0 10
3 2 0
3 2 2
3 2 8
3 2 12
3 3 2
3 3 3
3 3 5
3 3 7
3 3 9
3 3 10
3 4 5
3 4 7
3 4 9
3 4 10
3 5 1
3 5 6
3 5 9
3 5 12
3 6 6
3 6 7
3 7 7
3 7 8
3 8 8
3 9 4
3 9 6
3 9 7
3 9 8
3 9 9
3 9 12
3 10 9
3 10 12
