2467
5
11 14 11 11 11
84

0 582 603 0 0 0 54 54 0 0 90
619 0 187 730 505 0 0 0 0 0 82 9 54 56
426 0 323 0 0 23 0 0 65 18 0
0 652 672 0 624 81 20 99 91 1 0
622 0 0 525 0 79 0 0 32 0 28

0 2 4
0 2 5
0 3 0
0 4 3
0 4 8
0 4 10
0 5 0
0 5 2
0 5 7
0 5 13
0 7 0
0 7 9
0 7 13
0 8 3
0 8 5
0 8 8
0 9 5
0 9 6
0 9 8
0 9 10
0 10 6
0 10 7
0 10 9
0 10 12
1 0 3
1 0 4
1 1 0
1 1 2
1 1 4
1 2 1
1 3 2
1 3 7
1 4 1
1 4 3
1 4 4
1 5 0
1 5 4
1 6 6
1 6 7
1 6 8
1 8 0
1 8 3
1 8 5
1 8 7
1 9 0
1 9 5
1 9 6
1 9 9
1 11 1
1 11 8
1 12 9
1 13 1
2 0 0
2 0 1
2 1 2
2 1 6
2 2 7
2 3 5
2 3 6
2 4 0
2 4 3
2 5 6
2 8 1
2 9 3
2 10 4
2 10 6
2 10 7
3 0 2
3 0 5
3 0 10
3 1 0
3 1 4
3 1 7
3 4 1
3 4 2
3 4 4
3 6 2
3 6 7
3 6 8
3 7 5
3 8 0
3 8 4
3 8 8
3 9 8
