2866
8
12 11 12 11 11 12 11 14
154

0 755 0 0 87 0 0 0 58 63 72 0
0 845 155 9 0 0 0 0 0 0 0
467 0 567 0 71 38 0 17 37 0 76 66
760 0 0 87 100 0 55 24 20 0 0
853 0 78 0 25 62 15 0 0 27 0
686 0 585 4 0 0 0 0 0 18 0 94
0 0 700 48 82 96 86 0 0 0 48
833 581 711 782 0 0 16 13 46 0 100 32 0 0

0 1 2
0 2 1
0 2 6
0 3 8
0 5 9
0 6 10
0 7 8
0 7 9
0 8 8
0 8 10
0 9 10
0 10 0
0 10 2
0 10 3
0 10 4
0 10 9
0 10 10
0 11 5
0 11 8
1 0 4
1 2 3
1 2 5
1 2 7
1 2 8
1 2 9
1 3 3
1 3 8
1 4 5
1 4 9
1 5 5
1 6 7
1 6 11
1 7 1
1 7 2
1 7 3
1 7 9
1 7 10
1 8 11
1 9 4
1 9 5
1 9 10
1 10 3
1 10 7
1 10 11
2 0 0
2 1 2
2 1 7
2 1 9
2 2 2
2 2 4
2 2 10
2 3 2
2 3 4
2 4 3
2 4 5
2 5 1
2 5 5
2 5 9
2 6 0
2 6 1
2 6 9
2 7 4
2 7 5
2 7 8
2 8 8
2 8 10
2 9 8
2 11 9
3 1 2
3 1 3
3 1 8
3 3 1
3 3 5
3 3 8
3 4 5
3 4 8
3 5 3
3 5 6
3 6 3
3 6 9
3 7 3
3 7 5
3 8 1
3 8 4
3 8 5
3 8 8
3 8 10
3 9 7
3 9 9
3 10 4
3 10 6
3 10 8
4 0 2
4 0 5
4 1 4
4 2 5
4 2 10
4 3 0
4 3 7
4 4 1
4 4 2
4 4 4
4 4 7
4 5 10
4 6 5
4 6 7
4 6 10
4 7 0
4 7 6
4 8 5
4 8 11
4 9 10
4 10 4
4 10 6
4 10 7
4 10 8
5 0 8
5 0 9
5 1 1
5 1 7
5 3 0
5 3 7
5 3 8
5 5 10
5 6 2
5 6 10
5 7 4
5 7 7
5 7 8
5 8 4
5 8 6
5 9 0
5 10 3
5 10 10
5 11 2
6 0 2
6 1 10
6 2 6
6 2 7
6 3 8
6 4 6
6 5 3
6 5 5
6 5 8
6 5 9
6 6 0
6 6 3
6 6 13
6 7 8
6 7 11
6 8 7
6 9 5
6 10 6
6 10 13
