241
8
7 7 11 7 7 7 8 7
95

0 711 258 9 76 61 81
0 0 0 76 0 56 0
529 651 204 0 0 0 0 0 51 0 94
0 0 0 0 0 9 11
0 0 0 0 30 98 33
0 0 0 58 3 0 48
0 0 508 912 0 92 0 99
898 0 988 26 0 0 29

0 1 2
0 1 5
0 2 0
0 2 1
0 2 2
0 3 6
0 4 3
0 5 3
0 5 4
1 0 0
1 0 1
1 0 3
1 0 8
1 1 1
1 1 3
1 1 6
1 1 9
1 2 0
1 2 3
1 2 7
1 3 1
1 3 2
1 3 7
1 3 9
1 4 9
1 5 5
1 6 5
1 6 6
1 6 7
1 6 9
2 0 1
2 1 0
2 2 5
2 3 5
2 3 6
2 4 1
2 6 6
2 7 0
2 7 4
2 7 6
2 8 0
2 8 4
2 8 6
2 9 6
2 10 3
2 10 4
3 0 0
3 0 2
3 1 2
3 1 3
3 2 0
3 2 3
3 3 1
3 4 2
3 4 3
3 4 5
3 5 0
3 5 1
3 5 4
3 5 6
3 6 4
3 6 5
4 0 5
4 1 5
4 2 0
4 2 1
4 2 2
4 2 4
4 3 4
4 3 5
4 4 4
4 4 5
4 6 3
5 2 0
5 2 1
5 2 2
5 2 3
5 3 7
5 4 5
5 4 6
5 4 7
5 5 1
5 5 6
5 6 7
6 0 1
6 1 0
6 1 6
6 2 3
6 3 1
6 3 2
6 4 4
6 4 6
6 5 3
6 5 4
6 7 4
