1091
7
12 12 12 12 13 16 13
167

0 198 957 0 0 0 0 96 0 47 0 0
193 0 579 0 47 0 69 48 0 0 55 75
822 0 0 131 0 95 0 88 0 0 0 16
0 0 129 0 0 0 0 0 41 55 0 0
638 683 0 0 0 17 5 0 0 0 76 0 0
0 704 923 0 155 0 0 0 86 0 0 0 0 0 77 94
724 940 0 0 0 0 0 0 4 0 0 58 0

0 1 2
0 1 6
0 2 0
0 3 0
0 3 3
0 3 5
0 5 4
0 5 5
0 5 9
0 5 11
0 7 4
0 7 7
0 8 6
0 9 6
0 9 8
0 10 5
0 10 8
0 10 11
0 11 11
1 0 1
1 0 2
1 2 7
1 3 1
1 3 3
1 3 5
1 4 4
1 5 0
1 5 9
1 5 11
1 7 1
1 7 9
1 7 10
1 7 11
1 8 5
1 8 6
1 8 7
1 9 2
1 9 6
1 9 7
1 9 11
1 10 7
1 11 10
2 0 0
2 2 1
2 2 3
2 2 11
2 3 0
2 3 2
2 3 3
2 4 6
2 4 9
2 5 3
2 5 10
2 6 5
2 6 11
2 7 6
2 7 8
2 7 10
2 9 0
2 9 4
2 9 5
2 9 6
2 9 7
2 9 10
2 11 9
3 0 0
3 0 3
3 0 10
3 1 1
3 1 11
3 1 12
3 2 1
3 2 4
3 2 10
3 3 4
3 4 6
3 4 8
3 4 10
3 4 12
3 5 6
3 5 7
3 5 10
3 6 9
3 7 5
3 7 6
3 7 8
3 7 10
3 8 0
3 8 6
3 8 10
3 9 5
3 9 7
3 9 11
3 10 0
3 10 1
3 10 5
3 10 7
3 10 8
3 10 9
3 10 10
3 11 10
3 11 11
4 0 0
4 0 1
4 0 4
4 1 9
4 2 2
4 2 3
4 2 5
4 2 15
4 3 2
4 3 5
4 4 3
4 4 5
4 4 14
4 5 8
4 5 11
4 5 13
4 6 0
4 6 8
4 7 12
4 8 10
4 8 11
4 8 12
4 8 14
4 9 8
4 9 9
4 9 15
4 10 4
4 10 8
4 10 12
4 10 15
4 11 6
4 11 9
4 11 14
5 0 3
5 0 11
5 1 3
5 1 11
5 3 2
5 3 4
5 4 3
5 4 4
5 4 11
5 5 2
5 5 11
5 6 0
5 7 6
5 8 10
5 9 7
5 9 10
5 9 12
5 10 3
5 10 7
5 10 9
5 10 10
5 10 12
5 11 11
5 12 9
5 12 10
5 13 3
5 13 8
5 14 9
5 14 10
5 14 11
5 15 6
5 15 7
