1197
8
18 18 18 19 18 18 19 18
451

0 0 0 0 0 51 0 1 0 0 64 0 80 0 56 83 0 0
785 856 0 968 0 57 0 43 100 0 0 97 0 0 0 0 0 49
463 0 235 443 7 14 0 54 72 21 33 84 29 0 0 81 28 29
833 72 441 184 0 0 0 0 20 0 0 0 68 0 0 47 25 0 0
0 0 0 0 31 0 0 35 48 42 0 0 0 94 88 0 39 0
840 461 928 0 0 0 0 0 0 0 46 97 0 13 0 78 0 83
584 0 449 516 40 8 0 100 93 1 64 0 0 72 0 100 29 39 0
923 653 84 277 0 0 0 0 0 0 0 0 30 38 0 0 0 0

0 1 2
0 1 4
0 1 9
0 1 10
0 1 15
0 2 0
0 2 2
0 2 3
0 2 6
0 2 12
0 2 17
0 3 1
0 3 12
0 4 7
0 4 8
0 5 0
0 5 2
0 5 4
0 5 5
0 5 12
0 5 16
0 5 17
0 6 7
0 6 12
0 6 17
0 7 5
0 7 8
0 8 1
0 8 4
0 8 9
0 8 10
0 8 11
0 10 2
0 10 4
0 10 6
0 10 13
0 10 17
0 11 8
0 11 9
0 11 13
0 12 11
0 12 17
0 13 7
0 13 8
0 13 12
0 14 6
0 14 9
0 14 10
0 14 12
0 14 13
0 14 17
0 15 4
0 15 9
0 16 10
0 16 11
0 16 12
0 16 16
0 17 1
0 17 12
0 17 14
0 17 15
0 17 16
0 17 17
1 0 12
1 1 3
1 1 12
1 1 13
1 2 1
1 2 4
1 2 8
1 2 17
1 3 3
1 3 6
1 3 17
1 4 12
1 4 14
1 4 16
1 4 17
1 5 6
1 5 10
1 6 4
1 6 14
1 7 6
1 7 12
1 7 13
1 7 17
1 8 3
1 8 4
1 8 12
1 8 14
1 8 16
1 9 2
1 9 9
1 9 16
1 9 17
1 10 0
1 10 1
1 10 5
1 10 6
1 10 11
1 10 12
1 10 13
1 10 17
1 11 0
1 12 5
1 12 7
1 12 11
1 12 17
1 13 5
1 13 9
1 13 15
1 13 16
1 14 6
1 14 8
1 14 11
1 14 15
1 14 17
1 15 9
1 15 10
1 15 12
1 15 17
1 16 1
1 16 6
1 16 12
1 16 13
1 16 14
1 17 8
1 17 9
1 17 11
1 17 13
2 0 4
2 0 7
2 0 8
2 0 9
2 0 11
2 0 18
2 1 1
2 1 7
2 1 12
2 1 13
2 1 15
2 1 18
2 2 2
2 4 1
2 4 5
2 4 10
2 5 5
2 5 6
2 5 8
2 5 14
2 5 15
2 6 0
2 6 6
2 6 15
2 6 16
2 6 18
2 7 2
2 7 3
2 7 6
2 7 10
2 7 17
2 8 1
2 8 5
2 8 6
2 8 11
2 9 4
2 9 13
2 9 14
2 9 15
2 9 18
2 10 6
2 10 8
2 10 11
2 10 13
2 10 18
2 11 7
2 11 8
2 11 15
2 11 17
2 12 5
2 12 11
2 12 13
2 12 18
2 13 2
2 13 8
2 13 9
2 13 10
2 13 12
2 13 17
2 14 5
2 14 9
2 14 12
2 14 16
2 15 6
2 15 9
2 15 10
2 15 13
2 15 17
2 16 0
2 16 11
2 16 14
2 16 18
2 17 9
2 17 16
3 0 2
3 0 9
3 1 1
3 1 7
3 1 10
3 1 16
3 3 0
3 3 14
3 4 0
3 4 4
3 4 12
3 5 7
3 5 8
3 5 17
3 6 0
3 6 2
3 6 3
3 7 5
3 7 7
3 7 9
3 7 10
3 7 11
3 7 12
3 8 6
3 8 11
3 8 16
3 9 6
3 9 10
3 9 13
3 10 0
3 10 3
3 10 14
3 10 17
3 11 4
3 11 5
3 11 6
3 11 10
3 11 12
3 11 14
3 11 15
3 11 16
3 13 0
3 13 5
3 13 8
3 13 12
3 13 13
3 14 0
3 14 5
3 14 6
3 14 9
3 14 10
3 14 11
3 14 12
3 14 15
3 15 4
3 15 6
3 15 8
3 15 12
3 16 5
3 16 10
3 16 11
3 16 13
3 17 11
3 17 15
3 17 16
3 17 17
3 18 0
3 18 3
3 18 9
3 18 11
4 0 1
4 0 4
4 0 13
4 1 10
4 1 14
4 2 0
4 2 1
4 2 5
4 2 12
4 2 15
4 2 17
4 3 3
4 3 8
4 3 9
4 3 17
4 4 4
4 4 9
4 4 13
4 4 14
4 5 2
4 5 4
4 6 5
4 6 15
4 6 17
4 7 3
4 7 8
4 7 9
4 8 2
4 8 4
4 8 6
4 9 0
4 9 5
4 9 7
4 9 11
4 9 12
4 10 5
4 10 6
4 10 15
4 10 17
4 11 6
4 11 7
4 11 8
4 11 12
4 11 15
4 12 2
4 12 11
4 12 13
4 13 1
4 13 4
4 13 15
4 14 5
4 14 14
4 15 5
4 15 7
4 15 15
4 15 16
4 16 3
4 16 4
4 16 5
4 16 7
4 16 11
4 16 17
4 17 0
4 17 12
4 17 13
4 17 15
5 0 4
5 0 7
5 0 9
5 1 1
5 1 8
5 2 4
5 2 9
5 2 10
5 2 14
5 2 15
5 3 0
5 4 3
5 4 5
5 4 6
5 4 9
5 4 15
5 5 3
5 5 9
5 6 4
5 6 5
5 6 12
5 7 6
5 7 8
5 7 9
5 7 14
5 8 4
5 8 8
5 8 9
5 9 3
5 9 4
5 9 8
5 10 3
5 10 17
5 11 11
5 11 12
5 11 13
5 12 2
5 12 8
5 12 13
5 12 16
5 13 3
5 13 11
5 13 13
5 14 1
5 14 10
5 15 4
5 16 18
5 17 0
5 17 14
6 0 1
6 0 5
6 0 9
6 1 0
6 1 1
6 1 7
6 1 10
6 1 16
6 2 2
6 2 7
6 2 13
6 3 12
6 4 2
6 4 6
6 4 11
6 4 14
6 4 17
6 5 8
6 5 10
6 5 13
6 5 14
6 6 9
6 7 12
6 8 4
6 8 9
6 8 10
6 8 14
6 9 5
6 9 10
6 9 13
6 10 1
6 10 4
6 11 2
6 11 13
6 11 17
6 12 6
6 12 11
6 12 14
6 13 4
6 13 5
6 13 7
6 13 10
6 13 15
6 14 5
6 14 7
6 14 17
6 15 3
6 15 6
6 15 7
6 15 8
6 15 17
6 16 2
6 16 4
6 16 15
6 17 4
6 17 12
6 17 15
6 18 7
6 18 10
6 18 12
6 18 14
6 18 15
