2448
4
15 15 15 14
117

0 548 657 0 0 779 0 0 0 0 80 0 0 98 0
0 336 0 0 0 466 234 597 12 8 17 12 0 0 0
0 106 0 0 0 0 47 0 0 0 60 16 0 63 0
590 0 355 775 465 75 0 65 0 0 0 0 0 0

0 1 2
0 1 3
0 2 0
0 2 7
0 3 6
0 3 9
0 3 11
0 4 5
0 5 1
0 5 3
0 6 1
0 6 2
0 6 4
0 6 6
0 7 0
0 7 3
0 7 6
0 7 10
0 8 8
0 9 10
0 9 13
0 10 2
0 10 9
0 10 13
0 10 14
0 11 1
0 11 10
0 12 3
0 12 8
0 12 14
0 14 11
0 14 13
1 0 0
1 0 1
1 0 2
1 0 3
1 0 7
1 1 3
1 1 4
1 1 7
1 2 5
1 2 6
1 2 9
1 3 0
1 3 2
1 3 10
1 4 0
1 4 2
1 4 4
1 4 5
1 4 8
1 5 5
1 6 2
1 6 4
1 6 5
1 7 13
1 8 7
1 8 13
1 9 1
1 9 4
1 9 5
1 9 13
1 10 3
1 10 9
1 10 14
1 11 8
1 11 11
1 12 5
1 12 14
1 13 8
1 13 11
1 13 14
1 14 2
1 14 12
1 14 13
2 0 1
2 0 4
2 0 6
2 0 10
2 1 0
2 1 4
2 1 11
2 2 2
2 2 3
2 2 13
2 3 2
2 3 3
2 4 1
2 5 1
2 5 4
2 5 10
2 6 0
2 6 3
2 6 5
2 6 6
2 6 8
2 6 10
2 8 3
2 8 12
2 9 8
2 9 12
2 10 10
2 10 13
2 11 4
2 11 9
2 11 10
2 11 12
2 12 0
2 12 8
2 12 9
2 12 12
2 13 7
2 13 9
2 13 10
2 13 13
2 14 0
2 14 9
