2695
5
12 11 11 12 11
88

410 0 0 580 539 407 0 0 0 0 0 50
208 0 0 413 142 0 20 44 0 7 43
646 500 380 613 522 0 84 65 54 0 67
978 635 775 310 0 0 6 0 0 0 0 51
0 813 0 516 0 0 45 0 0 0 0

0 1 2
0 1 9
0 2 1
0 2 3
0 2 5
0 2 8
0 4 1
0 4 2
0 5 3
0 5 5
0 5 9
0 6 6
0 6 8
0 7 5
0 7 7
0 7 8
0 8 7
0 8 10
0 10 7
0 10 9
0 11 6
0 11 10
1 0 4
1 1 4
1 2 1
1 2 5
1 3 1
1 4 1
1 4 2
1 4 3
1 5 4
1 6 6
1 6 8
1 7 2
1 8 3
1 9 3
2 0 0
2 0 1
2 1 0
2 1 8
2 3 4
2 3 5
2 3 10
2 4 0
2 4 2
2 4 4
2 4 6
2 5 1
2 5 2
2 5 3
2 5 6
2 6 7
2 7 3
2 7 6
2 8 11
2 9 6
2 9 9
2 9 10
2 9 11
3 0 4
3 1 1
3 1 5
3 2 0
3 2 2
3 2 4
3 2 6
3 2 10
3 3 1
3 3 2
3 3 3
3 3 4
3 3 5
3 4 0
3 5 0
3 5 1
3 5 2
3 5 3
3 7 6
3 7 9
3 7 10
3 8 10
3 9 9
3 9 10
3 10 1
3 10 2
3 10 6
3 10 9
3 11 10
