2697
5
12 12 11 11 11
83

42 862 2 818 0 0 0 0 0 0 0 0
0 825 0 0 0 420 0 0 0 2 37 0
397 0 134 177 0 881 0 0 12 17 0
660 461 36 0 210 254 0 0 0 0 0
0 0 0 0 747 0 0 0 12 0 40

0 1 2
0 1 3
0 2 2
0 2 5
0 3 1
0 3 2
0 3 5
0 3 11
0 4 0
0 4 2
0 4 4
0 5 2
0 7 6
0 7 11
0 9 8
0 9 11
0 10 3
0 10 6
0 11 9
1 0 0
1 0 1
1 2 3
1 2 4
1 3 2
1 3 5
1 3 6
1 4 0
1 4 1
1 4 4
1 5 1
1 5 8
1 6 10
1 7 1
1 7 3
1 7 6
1 7 7
1 7 10
1 8 9
1 8 10
1 9 8
1 9 10
1 10 8
1 10 10
1 11 2
2 0 0
2 1 2
2 1 3
2 1 4
2 1 5
2 1 8
2 1 10
2 2 3
2 3 1
2 3 2
2 3 5
2 3 9
2 4 2
2 5 1
2 5 2
2 5 5
2 6 6
2 7 6
2 7 8
2 10 2
2 10 3
2 10 10
3 1 5
3 1 7
3 1 10
3 2 1
3 3 2
3 4 0
3 4 1
3 5 2
3 7 0
3 7 5
3 7 6
3 7 8
3 8 4
3 9 6
3 9 7
3 9 9
3 9 10
