2892
7
21 22 21 22 21 21 21
360

186 815 357 0 0 0 754 55 51 68 0 99 0 68 25 0 48 0 0 0 0
0 0 0 0 0 175 898 0 85 0 63 0 0 0 0 0 0 0 49 71 9 0
0 694 0 414 625 107 0 0 24 58 0 25 2 3 0 11 35 0 96 65 96
0 0 97 516 961 0 0 75 13 0 0 0 37 40 0 38 0 43 85 31 47 0
510 155 114 0 350 0 587 0 94 0 0 4 0 0 34 60 0 0 5 96 0
0 0 342 0 0 0 19 0 69 0 94 93 0 24 72 57 32 0 0 0 74
491 325 7 0 0 609 0 69 0 89 54 0 48 0 0 0 0 0 14 94 73

0 1 2
0 1 5
0 2 4
0 3 2
0 3 3
0 3 6
0 3 15
0 4 0
0 4 3
0 5 0
0 5 3
0 6 3
0 7 19
0 9 7
0 9 14
0 9 16
0 9 18
0 9 19
0 10 13
0 10 15
0 10 18
0 11 4
0 11 7
0 11 13
0 11 21
0 12 0
0 12 9
0 12 14
0 14 7
0 14 16
0 15 19
0 16 4
0 16 8
0 16 9
0 16 11
0 16 19
0 17 2
0 17 15
0 18 16
0 18 20
0 19 4
0 20 11
0 20 20
1 0 1
1 0 2
1 0 5
1 1 0
1 1 1
1 1 2
1 1 6
1 1 16
1 2 14
1 3 0
1 3 4
1 3 6
1 3 10
1 3 20
1 4 0
1 4 1
1 4 4
1 4 6
1 5 0
1 5 5
1 6 2
1 6 3
1 6 6
1 7 6
1 7 19
1 8 17
1 9 10
1 9 12
1 9 14
1 11 6
1 11 8
1 11 9
1 11 10
1 12 8
1 12 16
1 13 19
1 14 16
1 15 12
1 15 14
1 16 3
1 16 7
1 16 8
1 16 10
1 16 20
1 17 10
1 17 17
1 17 18
1 18 0
1 18 5
1 18 8
1 18 17
1 19 13
1 19 17
1 20 18
1 21 13
1 21 17
1 21 18
2 0 0
2 0 4
2 0 5
2 0 6
2 1 0
2 1 2
2 1 3
2 1 4
2 2 0
2 2 6
2 2 16
2 3 0
2 3 2
2 3 3
2 3 4
2 3 5
2 3 6
2 3 21
2 4 2
2 4 4
2 5 2
2 5 3
2 5 5
2 5 13
2 6 0
2 6 1
2 6 2
2 6 3
2 6 6
2 6 9
2 7 8
2 7 9
2 7 11
2 7 12
2 7 17
2 8 7
2 9 15
2 9 16
2 9 20
2 10 15
2 11 8
2 11 13
2 11 16
2 11 21
2 12 0
2 12 1
2 12 18
2 13 4
2 13 11
2 13 16
2 13 21
2 14 8
2 14 16
2 14 18
2 15 4
2 15 8
2 15 13
2 15 16
2 16 12
2 16 18
2 17 10
2 17 15
2 17 19
2 17 20
2 17 21
2 18 7
2 19 7
2 19 8
2 19 10
2 19 11
2 19 19
2 20 13
3 0 2
3 0 4
3 0 20
3 1 0
3 1 3
3 1 5
3 1 16
3 2 1
3 2 2
3 2 3
3 2 6
3 2 10
3 3 3
3 3 5
3 3 6
3 4 3
3 4 4
3 4 5
3 4 6
3 5 2
3 5 4
3 5 11
3 6 6
3 6 10
3 7 8
3 7 15
3 7 19
3 8 10
3 8 11
3 8 14
3 8 17
3 9 7
3 9 12
3 9 16
3 9 17
3 9 18
3 10 12
3 11 1
3 11 8
3 12 13
3 12 14
3 12 19
3 13 3
3 13 14
3 13 16
3 14 7
3 14 10
3 15 14
3 16 3
3 16 12
3 16 14
3 17 8
3 17 14
3 17 17
3 17 18
3 18 7
3 18 13
3 18 16
3 18 20
3 19 5
3 19 14
3 20 9
3 21 11
3 21 14
3 21 16
4 0 0
4 0 4
4 0 5
4 0 14
4 1 3
4 2 0
4 2 1
4 2 3
4 3 2
4 3 3
4 3 5
4 4 2
4 4 4
4 4 5
4 5 0
4 5 3
4 5 4
4 6 1
4 7 4
4 7 7
4 7 13
4 8 9
4 8 13
4 8 14
4 9 8
4 9 9
4 9 11
4 10 10
4 10 19
4 11 18
4 12 9
4 12 13
4 12 18
4 12 20
4 13 11
4 13 12
4 14 6
4 14 11
4 14 15
4 15 9
4 15 11
4 15 17
4 16 8
4 16 14
4 16 15
4 16 17
4 17 0
4 17 14
4 17 18
4 18 8
4 18 13
4 19 7
4 19 12
4 19 14
4 20 3
4 20 7
4 20 9
4 20 12
5 0 3
5 0 4
5 1 6
5 2 0
5 2 2
5 2 6
5 3 0
5 3 1
5 3 6
5 4 1
5 4 3
5 4 6
5 4 7
5 4 8
5 5 3
5 5 8
5 5 18
5 6 18
5 7 1
5 7 8
5 8 16
5 8 17
5 8 18
5 8 20
5 10 6
5 10 9
5 10 10
5 10 12
5 10 15
5 10 18
5 10 19
5 11 4
5 11 8
5 11 11
5 12 1
5 12 3
5 12 14
5 12 19
5 13 9
5 13 11
5 13 18
5 14 3
5 14 5
5 14 10
5 14 18
5 14 19
5 15 7
5 15 9
5 15 19
5 16 15
5 16 18
5 17 5
5 17 12
5 17 15
5 17 18
5 19 8
5 19 9
5 19 15
5 19 16
5 19 20
5 20 0
5 20 7
5 20 11
5 20 13
5 20 16
