2919
6
35 35 35 35 36 39
1574

0 268 133 0 0 0 0 0 0 58 0 0 65 23 69 72 0 13 0 0 51 14 0 50 34 0 0 0 0 0 0 0 27 69 43
321 281 0 0 0 0 309 839 989 0 28 0 26 0 26 80 0 91 0 41 0 44 8 17 60 32 56 0 31 0 0 0 0 0 0
0 0 534 568 498 863 51 0 177 39 77 36 0 0 93 85 0 80 92 0 0 41 98 55 99 60 0 74 75 0 0 0 0 47 0
0 0 0 0 545 0 962 0 0 0 53 0 0 40 0 66 0 38 0 0 0 0 0 55 0 0 0 69 0 68 72 0 50 0 1
208 0 0 0 0 3 907 508 289 0 0 0 0 0 52 0 0 0 0 24 0 0 34 4 0 0 58 0 99 0 48 24 34 32 0 0
0 799 295 0 0 0 555 64 93 254 0 28 82 80 22 22 0 9 0 0 0 0 86 69 41 0 0 94 17 0 39 0 0 62 0 39 76 0 29

0 1 2
0 1 6
0 1 7
0 1 13
0 1 14
0 2 6
0 2 11
0 3 2
0 3 5
0 3 7
0 3 9
0 3 11
0 3 26
0 3 29
0 4 3
0 4 9
0 4 13
0 4 27
0 5 1
0 5 34
0 6 2
0 6 14
0 6 29
0 7 6
0 7 7
0 7 8
0 7 11
0 7 12
0 8 5
0 8 13
0 8 16
0 8 27
0 9 12
0 9 14
0 9 15
0 9 16
0 9 21
0 9 22
0 10 10
0 10 17
0 10 24
0 10 26
0 10 27
0 10 29
0 11 10
0 11 11
0 11 12
0 11 13
0 11 17
0 11 18
0 11 26
0 11 30
0 11 32
0 12 6
0 12 11
0 12 12
0 12 16
0 12 17
0 12 20
0 12 23
0 12 30
0 12 32
0 13 0
0 13 10
0 13 11
0 13 15
0 13 17
0 13 24
0 13 28
0 13 29
0 13 33
0 14 0
0 14 9
0 14 17
0 14 19
0 14 20
0 14 21
0 14 27
0 14 32
0 14 33
0 15 12
0 15 13
0 15 14
0 15 16
0 15 17
0 15 21
0 15 26
0 15 27
0 15 28
0 15 34
0 16 11
0 16 12
0 16 13
0 16 15
0 16 16
0 16 17
0 16 19
0 16 30
0 17 6
0 17 7
0 17 18
0 17 20
0 17 24
0 17 26
0 17 28
0 17 33
0 18 9
0 18 10
0 18 11
0 18 19
0 18 20
0 18 22
0 18 23
0 18 25
0 18 26
0 18 32
0 19 9
0 19 13
0 19 14
0 19 17
0 19 19
0 19 20
0 19 21
0 19 22
0 19 24
0 19 25
0 19 27
0 19 30
0 19 33
0 20 3
0 20 11
0 20 15
0 20 16
0 20 19
0 20 20
0 20 22
0 20 29
0 21 0
0 21 10
0 21 12
0 21 15
0 21 20
0 21 21
0 21 23
0 21 27
0 21 28
0 21 32
0 21 33
0 22 9
0 22 10
0 22 12
0 22 15
0 22 16
0 22 20
0 22 21
0 22 22
0 22 24
0 22 26
0 22 29
0 22 31
0 22 33
0 22 34
0 23 9
0 23 16
0 23 20
0 23 21
0 23 25
0 23 29
0 23 34
0 24 10
0 24 11
0 24 12
0 24 13
0 24 14
0 24 18
0 24 19
0 24 20
0 24 22
0 24 27
0 24 32
0 25 5
0 25 9
0 25 11
0 25 15
0 25 16
0 25 23
0 25 24
0 25 26
0 25 28
0 25 29
0 25 30
0 25 31
0 25 32
0 26 0
0 26 9
0 26 14
0 26 15
0 26 17
0 26 20
0 26 24
0 26 25
0 26 29
0 26 30
0 26 31
