3071
7
18 18 20 18 18 18 19
272

0 364 860 0 64 0 360 21 0 81 0 97 45 44 77 0 52 84
211 560 0 0 132 599 258 70 40 42 0 15 35 39 0 72 96 5
492 75 13 457 504 0 606 778 81 54 78 0 74 15 0 48 28 0 0 76
888 0 444 0 820 198 0 0 0 60 0 0 0 0 0 0 6 0
603 604 0 106 550 758 363 0 3 1 0 37 66 5 0 0 4 35
601 0 0 0 0 0 0 33 64 39 51 40 58 0 21 52 13 40
321 0 836 0 994 462 712 484 0 0 3 0 0 0 13 0 0 97 0

0 1 2
0 1 9
0 3 1
0 3 2
0 3 3
0 3 4
0 3 5
0 3 6
0 4 4
0 5 2
0 5 3
0 5 4
0 5 6
0 5 12
0 5 17
0 6 3
0 6 5
0 6 14
0 6 15
0 7 7
0 7 9
0 7 12
0 7 16
0 8 4
0 8 8
0 8 9
0 8 15
0 8 17
0 9 0
0 9 2
0 9 8
0 9 10
0 10 10
0 10 13
0 11 1
0 12 10
0 12 14
0 13 8
0 14 7
0 14 15
0 15 7
0 15 8
0 15 9
0 15 15
0 16 9
0 16 13
0 16 17
0 17 8
0 17 13
0 17 14
1 0 1
1 0 4
1 0 15
1 0 17
1 1 0
1 1 1
1 1 2
1 1 3
1 1 7
1 1 9
1 2 14
1 3 3
1 3 6
1 3 7
1 4 0
1 5 1
1 5 5
1 5 17
1 6 1
1 6 2
1 6 4
1 7 12
1 9 2
1 9 10
1 9 14
1 9 19
1 10 1
1 10 18
1 11 4
1 11 10
1 11 14
1 12 16
1 13 11
1 13 17
1 14 4
1 14 5
1 14 9
1 14 14
1 15 10
1 15 16
1 15 19
1 16 4
1 16 14
1 16 18
1 17 0
1 17 1
1 17 17
2 0 0
2 0 1
2 0 2
2 0 5
2 0 14
2 2 2
2 3 4
2 3 5
2 4 0
2 4 5
2 4 12
2 5 13
2 5 16
2 6 1
2 6 2
2 6 3
2 6 4
2 7 1
2 7 4
2 7 5
2 8 7
2 8 14
2 8 16
2 9 2
2 9 13
2 9 14
2 10 7
2 10 11
2 10 14
2 10 15
2 11 6
2 11 8
2 11 10
2 11 13
2 12 10
2 12 11
2 12 14
2 13 10
2 13 14
2 13 15
2 13 17
2 14 2
2 14 9
2 14 11
2 14 15
2 14 16
2 15 7
2 15 10
2 15 12
2 15 17
2 16 6
2 17 5
2 17 8
2 18 8
2 18 9
2 18 13
2 19 10
2 19 16
3 0 3
3 0 10
3 1 12
3 1 13
3 2 5
3 2 8
3 3 3
3 3 5
3 5 3
3 5 5
3 6 1
3 6 5
3 6 7
3 7 4
3 7 9
3 7 11
3 8 8
3 8 12
3 8 16
3 9 8
3 9 15
3 9 16
3 9 17
3 10 10
3 10 15
3 10 16
3 11 7
3 12 7
3 12 14
3 13 8
3 13 9
3 14 7
3 14 8
3 15 3
3 15 8
3 16 7
3 16 17
3 17 13
4 0 6
4 0 8
4 1 13
4 3 4
4 5 3
4 6 0
4 6 3
4 6 4
4 6 7
4 7 3
4 7 14
4 7 16
4 8 15
4 9 6
4 9 9
4 9 14
4 10 12
4 10 16
4 11 4
4 11 15
4 12 3
4 12 17
4 13 11
4 13 12
4 13 15
4 14 6
4 14 16
4 15 13
4 16 7
4 16 17
4 17 14
4 17 17
5 1 1
5 1 6
5 1 7
5 2 0
5 2 1
5 2 14
5 3 0
5 3 1
5 3 6
5 4 2
5 4 4
5 4 7
5 5 2
5 5 5
5 6 1
5 6 3
5 7 16
5 8 3
5 8 14
5 8 18
5 10 11
5 10 13
5 10 16
5 11 8
5 11 14
5 12 1
5 12 2
5 12 7
5 12 9
5 12 12
5 12 14
5 12 16
5 12 18
5 13 13
5 13 14
5 13 18
5 14 8
5 14 10
5 14 11
5 14 18
5 15 11
5 15 17
5 15 18
5 16 7
5 16 11
5 17 14
5 17 18
