3909
4
25 25 25 25
390

931 0 654 145 0 0 0 0 75 8 0 0 0 0 0 0 0 0 91 0 0 50 0 0 19
0 0 884 452 739 0 6 1 3 6 57 0 79 0 0 0 90 57 0 0 38 42 87 28 19
581 0 0 0 501 0 0 0 53 0 0 70 0 32 33 0 0 10 9 12 80 0 0 0 0
165 561 482 0 530 0 0 0 0 0 77 0 87 43 86 48 55 30 0 69 0 22 0 0 0

0 1 2
0 1 4
0 1 5
0 1 6
0 2 4
0 2 6
0 2 18
0 2 23
0 2 24
0 3 1
0 3 4
0 3 10
0 3 13
0 3 15
0 3 19
0 4 1
0 4 21
0 4 23
0 5 5
0 5 14
0 5 16
0 6 6
0 6 9
0 6 16
0 6 19
0 6 22
0 6 23
0 7 5
0 7 8
0 7 9
0 7 13
0 7 14
0 7 17
0 7 18
0 7 19
0 7 22
0 8 18
0 8 19
0 8 21
0 8 22
0 8 23
0 8 24
0 9 6
0 9 8
0 9 9
0 9 18
0 10 5
0 10 9
0 10 15
0 10 16
0 10 21
0 11 4
0 11 8
0 11 19
0 11 21
0 11 22
0 11 24
0 12 0
0 12 2
0 12 5
0 12 6
0 12 10
0 12 17
0 12 22
0 12 23
0 13 7
0 13 8
0 13 9
0 13 11
0 13 13
0 13 15
0 13 21
0 13 22
0 14 3
0 14 11
0 14 15
0 14 20
0 14 21
0 14 24
0 15 1
0 15 11
0 15 12
0 15 22
0 15 24
0 16 4
0 16 6
0 16 11
0 16 24
0 17 10
0 17 15
0 17 20
0 17 24
0 18 3
0 18 6
0 18 7
0 18 13
0 18 20
0 19 2
0 19 7
0 19 10
0 19 14
0 19 22
0 20 1
0 20 5
0 20 7
0 20 10
0 20 15
0 20 18
0 20 19
0 20 20
0 20 24
0 21 9
0 21 14
0 21 17
0 21 19
0 21 24
0 22 1
0 22 4
0 22 11
0 22 12
0 22 15
0 22 17
0 22 19
0 22 23
0 23 10
0 23 15
0 23 22
0 24 6
0 24 8
0 24 9
0 24 14
0 24 17
0 24 19
0 24 21
0 24 23
1 0 12
1 0 17
1 1 5
1 2 2
1 2 3
1 2 5
1 2 21
1 2 24
1 3 2
1 3 7
1 3 21
1 3 23
1 4 2
1 4 16
1 4 18
1 4 23
1 5 0
1 5 3
1 5 8
1 5 13
1 5 19
1 5 22
1 6 6
1 6 15
1 6 18
1 7 3
1 7 12
1 7 23
1 7 24
1 8 6
1 8 7
1 8 12
1 8 14
1 8 15
1 8 19
1 9 7
1 9 15
1 9 17
1 9 19
1 9 23
1 9 24
1 10 7
1 10 9
1 10 11
1 10 12
1 10 15
1 10 19
1 10 21
1 11 6
1 11 11
1 11 12
1 11 14
1 11 15
1 11 16
1 11 21
1 11 24
1 12 7
1 12 11
1 12 16
1 12 22
1 12 24
1 13 12
1 13 21
1 13 23
1 14 2
1 14 10
1 14 11
1 14 13
1 14 14
1 14 17
1 15 8
1 15 9
1 15 14
1 15 20
1 16 7
1 16 17
1 16 18
1 16 19
1 17 0
1 17 9
1 17 12
1 17 17
1 17 24
1 18 10
1 18 11
1 18 12
1 18 15
1 18 24
1 19 6
1 19 12
1 19 13
1 19 22
1 19 24
1 20 5
1 20 12
1 20 20
1 20 24
1 21 2
1 21 5
1 21 8
1 21 10
1 21 13
1 21 15
1 21 19
1 21 20
1 21 21
1 22 0
1 22 4
1 22 8
1 22 10
1 22 13
1 22 14
1 22 15
1 22 18
1 23 5
1 23 11
1 23 15
1 23 16
1 24 4
1 24 12
1 24 13
1 24 14
1 24 16
1 24 19
1 24 20
2 0 4
2 0 9
2 1 1
2 1 4
2 1 5
2 1 16
2 1 21
2 2 0
2 2 12
2 2 18
2 3 5
2 3 22
2 4 1
2 4 3
2 4 4
2 5 4
2 5 9
2 5 18
2 5 19
2 5 22
2 6 4
2 6 6
2 6 8
2 6 15
2 6 21
2 6 23
2 7 9
2 7 10
2 7 19
2 7 20
2 8 1
2 8 9
2 8 15
2 8 20
2 8 23
2 9 3
2 9 6
2 9 12
2 10 11
2 10 13
2 10 14
2 10 23
2 11 7
2 11 8
2 11 9
2 11 14
2 11 15
2 11 20
2 11 23
2 12 6
2 12 8
2 12 13
2 12 14
2 12 16
2 12 17
2 13 4
2 13 10
2 13 14
2 13 19
2 13 21
2 13 22
2 14 7
2 14 10
2 14 11
2 14 12
2 14 19
2 14 23
2 15 5
2 15 10
2 15 13
2 15 14
2 15 16
2 15 18
2 15 21
2 15 22
2 15 23
2 16 9
2 16 11
2 16 12
2 16 13
2 16 21
2 16 24
2 17 10
2 17 11
2 17 13
2 17 15
2 17 19
2 17 23
2 18 0
2 18 6
2 18 12
2 18 14
2 18 16
2 18 20
2 19 13
2 19 16
2 19 18
2 19 19
2 19 20
2 19 23
2 20 5
2 20 6
2 20 13
2 20 16
2 20 18
2 21 6
2 21 7
2 21 9
2 21 11
2 21 14
2 21 17
2 21 19
2 21 23
2 22 6
2 22 7
2 22 8
2 22 10
2 22 11
2 22 17
2 22 19
2 23 0
2 23 1
2 23 9
2 23 14
2 23 16
2 23 18
2 24 2
2 24 7
2 24 10
2 24 24
