3980
7
18 18 18 19 18 19 18
318

0 0 710 0 805 59 33 0 16 55 0 47 0 61 65 6 85 11
0 465 852 0 776 305 0 0 0 69 0 0 0 91 0 96 6 46
0 756 0 641 0 875 267 519 0 0 0 0 37 96 11 74 49 50
0 0 0 0 927 741 191 0 0 19 64 0 0 55 0 52 0 51 0
0 629 607 358 634 6 0 828 0 0 0 0 0 42 26 0 5 7
0 729 0 0 0 723 0 0 56 0 53 0 0 0 0 0 0 0 0
0 0 0 428 695 612 153 0 0 79 0 0 0 0 78 0 43 0

0 1 2
0 1 4
0 1 5
0 2 4
0 2 5
0 2 6
0 2 7
0 2 12
0 3 2
0 3 3
0 3 11
0 3 13
0 3 14
0 4 6
0 5 9
0 6 2
0 7 4
0 7 14
0 8 11
0 8 15
0 8 16
0 9 9
0 9 11
0 10 9
0 10 10
0 10 16
0 11 9
0 11 10
0 11 12
0 11 14
0 11 17
0 12 3
0 13 1
0 13 4
0 13 11
0 13 14
0 13 15
0 14 6
0 14 8
0 14 9
0 15 12
0 15 15
0 16 12
0 17 9
0 17 10
0 17 14
1 0 2
1 0 3
1 0 11
1 1 1
1 1 10
1 1 17
1 2 4
1 2 13
1 3 2
1 3 14
1 4 1
1 4 3
1 4 7
1 5 2
1 5 9
1 6 5
1 7 4
1 7 6
1 8 3
1 8 8
1 8 12
1 9 0
1 9 12
1 9 14
1 9 15
1 10 6
1 10 13
1 11 4
1 11 11
1 11 15
1 11 17
1 12 8
1 12 11
1 12 16
1 12 17
1 13 4
1 14 8
1 14 9
1 14 15
1 14 17
1 15 1
1 15 4
1 15 7
1 15 12
1 15 13
1 15 17
1 16 2
1 16 5
1 16 14
2 0 5
2 0 6
2 1 3
2 1 4
2 1 13
2 2 4
2 2 8
2 2 14
2 3 0
2 3 2
2 3 4
2 3 12
2 4 0
2 4 3
2 4 7
2 5 3
2 5 5
2 5 11
2 5 15
2 5 18
2 6 3
2 6 4
2 6 5
2 6 7
2 6 11
2 6 12
2 7 7
2 8 16
2 9 10
2 10 0
2 10 3
2 10 10
2 10 12
2 10 15
2 11 0
2 11 16
2 12 1
2 12 8
2 12 16
2 12 17
2 13 8
2 13 10
2 13 12
2 13 13
2 13 16
2 14 0
2 14 1
2 14 15
2 14 17
2 14 18
2 15 10
2 15 12
2 15 15
2 15 16
2 16 10
2 16 11
2 16 14
2 17 12
3 0 1
3 0 17
3 1 9
3 2 1
3 2 2
3 2 5
3 2 6
3 3 6
3 3 14
3 4 4
3 4 7
3 5 4
3 5 13
3 6 2
3 6 4
3 6 8
3 6 16
3 7 0
3 7 3
3 7 7
3 8 9
3 8 12
3 8 15
3 9 10
3 9 11
3 9 12
3 10 4
3 10 10
3 11 1
3 11 8
3 11 12
3 11 16
3 12 4
3 12 8
3 12 12
3 12 17
3 13 15
3 14 8
3 14 12
3 14 15
3 14 16
3 15 2
3 15 4
3 15 10
3 15 15
3 15 16
3 16 7
3 16 12
3 16 13
3 16 15
3 17 15
3 17 16
4 0 0
4 0 4
4 0 6
4 0 7
4 1 7
4 3 0
4 3 3
4 4 0
4 4 2
4 4 3
4 4 10
4 4 18
4 5 2
4 6 2
4 6 3
4 6 4
4 7 0
4 7 6
4 7 7
4 8 2
4 8 8
4 8 12
4 8 16
4 8 17
4 9 0
4 9 12
4 9 14
4 9 17
4 10 11
4 10 12
4 10 13
4 10 16
4 10 17
4 11 8
4 11 13
4 11 15
4 11 17
4 12 2
4 12 8
4 12 11
4 13 10
4 14 2
4 14 4
4 14 6
4 14 11
4 14 14
4 14 15
4 14 16
4 14 17
4 14 18
4 15 6
4 15 13
4 16 1
4 16 5
4 16 11
4 16 13
4 16 14
4 17 13
4 17 16
5 0 4
5 0 6
5 1 14
5 1 17
5 2 6
5 2 17
5 3 3
5 3 5
5 3 7
5 3 16
5 4 0
5 4 2
5 4 4
5 4 7
5 4 13
5 5 6
5 6 1
5 6 2
5 6 10
5 6 14
5 7 9
5 7 15
5 8 12
5 8 13
5 8 15
5 9 5
5 9 12
5 10 0
5 10 5
5 10 8
5 11 8
5 11 10
5 11 11
5 11 14
5 12 4
5 13 10
5 13 12
5 13 13
5 13 16
5 14 2
5 14 11
5 14 12
5 14 14
5 15 7
5 15 16
5 16 11
5 16 17
5 17 4
5 17 8
5 17 13
5 17 15
5 18 7
5 18 8
5 18 9
