4842
4
14 13 13 14
75

0 0 45 0 0 19 47 0 0 89 54 36 0 0
0 490 0 8 0 0 0 64 0 0 0 0 0
235 352 458 0 0 0 0 0 69 42 0 0 0
964 0 383 0 0 91 74 94 86 0 0 0 68 0

0 1 2
0 2 0
0 3 0
0 3 1
0 3 12
0 4 7
0 4 11
0 6 5
0 6 11
0 7 4
0 8 4
0 8 12
0 9 3
0 9 12
0 10 6
0 11 9
0 12 11
0 13 7
0 13 11
1 1 0
1 1 1
1 1 2
1 2 0
1 2 2
1 2 4
1 3 2
1 3 3
1 3 5
1 3 8
1 4 1
1 4 5
1 4 6
1 4 7
1 4 9
1 5 3
1 5 4
1 5 8
1 5 11
1 6 6
1 6 9
1 7 6
1 8 0
1 8 12
1 9 2
1 9 4
1 9 6
1 11 8
1 12 4
1 12 5
1 12 7
1 12 9
1 12 10
2 0 2
2 0 3
2 0 8
2 1 0
2 2 3
2 3 4
2 3 6
2 3 10
2 3 11
2 3 13
2 4 7
2 4 13
2 5 4
2 5 6
2 5 11
2 5 13
2 6 13
2 7 11
2 8 2
2 9 8
2 11 7
2 11 8
2 11 12
