6452
8
12 11 12 11 11 11 11 11
284

36 17 20 5 21 37 495 61 726 98 10 34
18 121 23 84 34 76 17 98 7 84 74
3 2 173 39 752 2 30 12 78 74 702 52
54 36 20 12 71 7 28 47 865 16 31
0 41 43 565 429 72 29 38 85 75 21
13 18 74 62 23 87 184 97 2 85 65
92 44 628 941 43 8 26 62 51 42 21
342 92 841 115 8 49 85 30 73 75 52

0 1 2
0 1 3
0 1 5
0 1 7
0 2 0
0 2 2
0 2 3
0 2 6
0 2 9
0 3 5
0 3 8
0 3 9
0 4 1
0 4 2
0 4 3
0 4 6
0 5 3
0 5 8
0 5 9
0 6 1
0 6 2
0 6 6
0 6 7
0 6 8
0 7 2
0 7 4
0 7 5
0 7 6
0 7 7
0 8 1
0 8 2
0 8 8
0 9 0
0 9 1
0 9 2
0 9 6
0 9 10
0 10 0
0 10 2
0 10 8
0 10 9
0 11 2
0 11 6
0 11 7
0 11 8
0 11 10
1 0 3
1 0 4
1 0 6
1 0 8
1 0 10
1 2 0
1 2 6
1 2 11
1 3 5
1 3 11
1 4 0
1 4 1
1 4 5
1 5 1
1 5 3
1 5 5
1 5 9
1 5 11
1 6 1
1 6 4
1 6 9
1 7 1
1 7 4
1 7 6
1 7 9
1 8 0
1 8 2
1 8 3
1 8 5
1 8 10
1 9 0
1 9 7
1 9 8
1 10 3
1 10 4
1 10 8
1 10 9
1 10 10
1 10 11
2 0 1
2 0 3
2 0 5
2 0 7
2 1 2
2 1 3
2 1 7
2 2 3
2 3 2
2 3 4
2 3 5
2 3 7
2 3 10
2 4 2
2 4 8
2 5 3
2 5 5
2 6 0
2 6 2
2 6 9
2 7 1
2 7 3
2 8 1
2 8 5
2 8 9
2 8 10
2 9 1
2 9 2
2 9 3
2 9 6
2 9 7
2 9 10
2 10 6
2 10 7
2 10 8
2 10 9
2 11 0
2 11 1
2 11 3
2 11 4
2 11 7
2 11 9
2 11 10
3 0 5
3 0 7
3 1 1
3 1 10
3 2 0
3 2 1
3 2 7
3 2 9
3 2 10
3 3 0
3 3 7
3 4 1
3 4 3
3 4 4
3 4 9
3 5 3
3 5 5
3 5 7
3 5 9
3 5 10
3 6 3
3 6 5
3 6 10
3 7 0
3 7 6
3 8 3
3 8 4
3 8 9
3 9 1
3 9 2
3 9 5
3 9 7
3 9 10
3 10 1
3 10 7
3 10 8
4 0 2
4 0 3
4 0 5
4 0 8
4 0 9
4 1 0
4 1 1
4 1 2
4 1 7
4 2 1
4 2 2
4 2 3
4 2 7
4 2 9
4 3 0
4 3 6
4 3 8
4 4 4
4 4 10
4 5 0
4 5 1
4 5 2
4 5 3
4 5 8
4 6 0
4 6 1
4 6 3
4 6 5
4 6 8
4 6 9
4 7 2
4 7 3
4 7 5
4 7 6
4 8 1
4 8 2
4 8 9
4 9 1
4 9 6
4 9 10
4 10 0
4 10 3
4 10 4
5 0 0
5 0 1
5 1 0
5 1 1
5 1 5
5 1 10
5 2 4
5 2 5
5 2 6
5 2 10
5 3 0
5 3 4
5 3 6
5 3 10
5 4 1
5 4 2
5 4 4
5 4 8
5 4 9
5 4 10
5 5 8
5 5 10
5 6 7
5 6 9
5 7 4
5 7 6
5 7 10
5 8 0
5 9 3
5 9 6
5 9 8
5 10 5
5 10 7
5 10 8
5 10 10
6 0 7
6 0 8
6 0 9
6 1 1
6 1 4
6 1 6
6 1 9
6 1 10
6 2 0
6 2 2
6 2 3
6 2 5
6 2 8
6 3 1
6 3 3
6 3 4
6 4 1
6 4 3
6 4 4
6 4 7
6 4 10
6 5 6
6 5 9
6 5 10
6 6 3
6 6 4
6 6 5
6 6 6
6 6 7
6 6 8
6 6 9
6 6 10
6 7 1
6 8 1
6 8 4
6 8 7
6 8 10
6 9 0
6 9 2
6 9 3
6 10 5
6 10 7
