6568
8
11 11 11 13 11 11 11 11
202

419 92 0 578 99 117 15 52 532 3 17
63 56 88 91 525 76 46 418 430 89 74
51 60 63 17 658 698 4 344 917 15 21
28 60 38 308 667 100 30 53 88 60 5 601 163
50 994 764 59 1 71 40 384 66 433 72
77 312 43 77 366 63 80 296 14 641 676
229 580 79 70 26 890 60 62 189 86 87
57 91 20 437 100 851 24 40 43 70 84

0 1 2
0 2 0
0 2 2
0 2 3
0 2 5
0 2 9
0 3 0
0 4 0
0 4 4
0 4 5
0 4 6
0 5 1
0 5 4
0 6 7
0 7 6
0 7 10
0 8 2
0 8 4
0 8 7
0 8 10
0 10 0
0 10 1
0 10 2
0 10 8
0 10 10
1 0 2
1 0 7
1 0 9
1 1 1
1 1 4
1 1 7
1 1 8
1 3 1
1 3 3
1 3 4
1 3 7
1 3 8
1 4 0
1 4 4
1 4 5
1 4 7
1 5 2
1 5 4
1 5 6
1 5 10
1 6 0
1 6 1
1 6 2
1 6 3
1 6 5
1 6 7
1 6 10
1 7 5
1 8 0
1 8 4
1 8 5
1 8 7
1 9 0
1 9 2
1 9 7
1 9 8
1 10 6
2 0 3
2 0 6
2 0 8
2 1 4
2 1 5
2 1 8
2 1 11
2 1 12
2 2 2
2 2 12
2 4 3
2 4 4
2 4 8
2 5 1
2 5 5
2 5 12
2 7 1
2 7 7
2 7 11
2 7 12
2 8 4
2 8 11
2 9 2
2 9 7
2 9 8
2 9 9
2 9 11
2 9 12
2 10 5
3 2 10
3 3 2
3 3 7
3 4 1
3 4 2
3 4 3
3 4 4
3 4 7
3 5 4
3 5 10
3 6 1
3 6 3
3 6 4
3 6 9
3 7 1
3 7 2
3 8 0
3 9 0
3 9 2
3 9 8
3 9 10
3 10 5
3 10 6
3 10 7
3 10 10
3 11 1
3 11 4
3 11 7
3 12 2
3 12 7
3 12 8
4 0 0
4 0 1
4 0 9
4 1 1
4 1 4
4 1 7
4 2 3
4 2 4
4 2 10
4 3 0
4 3 5
4 3 9
4 4 7
4 4 9
4 6 7
4 7 7
4 7 9
4 8 4
4 8 8
4 8 9
4 8 10
4 9 1
4 9 9
4 10 1
4 10 3
4 10 9
5 1 0
5 1 5
5 1 7
5 3 9
5 3 10
5 4 3
5 4 5
5 4 8
5 5 4
5 5 5
5 6 0
5 6 6
5 6 10
5 7 1
5 7 4
5 7 8
5 7 10
5 8 0
5 8 1
5 8 2
5 8 5
5 9 5
5 9 8
5 10 0
5 10 2
5 10 3
5 10 8
6 0 1
6 0 2
6 0 5
6 2 1
6 2 5
6 4 2
6 4 5
6 5 2
6 5 4
6 5 5
6 5 10
6 6 0
6 6 3
6 6 7
6 7 0
6 7 6
6 7 7
6 8 1
6 8 5
6 9 2
6 9 4
6 9 7
6 9 8
6 9 10
6 10 2
6 10 7
6 10 8
