33
6
36 26 13 32 11 42
362

0 473 0 329 0 0 392 0 0 0 62 744 344 0 0 0 0 436 0 382 857 0 586 0 0 254 509 0 927 0 1 0 292 573 141 626
298 0 0 0 0 0 0 0 480 455 0 0 0 0 455 0 0 762 0 0 0 0 0 0 0 0
0 0 0 0 0 691 0 0 25 0 0 0 891
971 0 0 0 0 997 33 86 0 69 0 103 0 0 530 333 422 31 0 0 0 578 0 0 108 0 0 0 242 719 0 0
753 0 0 0 812 0 0 0 992 0 1
0 0 530 597 266 0 913 387 290 0 0 0 139 342 137 0 969 0 0 630 38 0 190 0 0 0 0 0 0 0 429 127 0 4 0 837 310 0 889 0 0 0

0 1 2
0 1 9
0 2 5
0 2 14
0 2 16
0 2 18
0 3 2
0 3 5
0 3 11
0 3 18
0 4 3
0 4 11
0 4 16
0 5 7
0 5 10
0 5 15
0 5 21
0 6 4
0 6 12
0 6 18
0 6 22
0 6 25
0 7 13
0 7 14
0 8 4
0 10 0
0 10 3
0 10 8
0 10 11
0 10 14
0 11 3
0 11 4
0 11 11
0 11 20
0 11 22
0 12 1
0 12 4
0 12 7
0 12 13
0 12 14
0 13 6
0 13 10
0 13 22
0 14 3
0 14 8
0 14 9
0 14 10
0 14 11
0 14 15
0 14 21
0 14 22
0 14 24
0 15 2
0 15 11
0 15 12
0 15 19
0 15 23
0 16 5
0 16 8
0 16 19
0 16 20
0 16 25
0 17 6
0 17 18
0 17 20
0 17 24
0 17 25
0 18 7
0 18 12
0 19 1
0 19 6
0 19 8
0 19 11
0 19 18
0 19 22
0 19 24
0 20 10
0 20 11
0 20 14
0 20 23
0 21 5
0 21 6
0 21 10
0 21 20
0 22 0
0 22 6
0 22 13
0 22 14
0 22 22
0 23 4
0 23 11
0 23 14
0 23 15
0 23 21
0 24 0
0 24 2
0 24 3
0 24 6
0 24 8
0 24 15
0 24 20
0 25 8
0 25 13
0 25 16
0 25 22
0 25 24
0 26 5
0 26 8
0 26 10
0 26 13
0 26 14
0 26 17
0 26 22
0 27 2
0 27 7
0 28 10
0 28 14
0 28 22
0 29 1
0 30 7
0 31 3
0 31 19
0 31 22
0 32 1
0 32 14
0 33 21
0 34 0
0 34 1
0 34 17
0 34 25
0 35 8
0 35 10
1 0 1
1 0 3
1 3 6
1 3 9
1 3 11
1 4 2
1 5 5
1 6 1
1 6 6
1 6 7
1 6 10
1 6 11
1 7 0
1 7 3
1 7 6
1 9 1
1 9 5
1 9 9
1 10 3
1 10 7
1 11 10
1 12 4
1 13 0
1 13 4
1 13 9
1 14 0
1 14 1
1 14 7
1 15 2
1 15 7
1 15 8
1 15 11
1 16 2
1 16 7
1 17 1
1 17 2
1 17 10
1 17 11
1 18 10
1 19 3
1 19 9
1 20 4
1 21 0
1 22 6
1 24 4
1 25 12
2 0 8
2 0 12
2 0 22
2 0 23
2 0 29
2 1 0
2 1 1
2 1 4
2 1 6
2 1 21
2 1 24
2 1 31
2 2 3
2 2 7
2 2 11
2 2 13
2 2 17
2 2 18
2 2 22
2 3 6
2 3 10
2 3 12
2 3 22
2 3 26
2 3 30
2 4 28
2 4 31
2 5 8
2 5 9
2 5 21
2 5 31
2 6 2
2 6 6
2 6 12
2 6 18
2 6 27
2 7 5
2 7 11
2 7 18
2 7 19
2 7 21
2 7 27
2 8 17
2 8 19
2 8 21
2 8 28
2 9 13
2 9 27
2 10 2
2 10 9
2 10 14
2 10 20
2 10 22
2 11 14
2 11 19
2 11 28
2 11 29
2 12 7
2 12 13
2 12 23
2 12 31
3 0 10
3 2 1
3 2 2
3 2 7
3 2 9
3 3 5
3 3 10
3 4 2
3 4 6
3 4 7
3 5 9
3 6 10
3 7 2
3 7 4
3 7 5
3 8 0
3 9 0
3 10 3
3 10 7
3 10 8
3 11 3
3 12 7
3 13 5
3 14 0
3 14 9
3 14 10
3 15 1
3 15 3
3 15 4
3 16 3
3 16 4
3 17 1
3 17 2
3 18 10
3 19 0
3 19 3
3 19 6
3 20 9
3 22 0
3 22 1
3 23 4
3 23 10
3 24 5
3 24 6
3 24 7
3 25 0
3 25 4
3 25 9
3 25 10
3 26 0
3 26 8
3 27 5
3 27 9
3 28 4
3 28 5
3 29 7
3 30 2
3 30 6
3 30 7
3 31 6
3 31 8
3 31 9
3 31 10
4 0 7
4 0 8
4 0 11
4 0 17
4 0 31
4 0 35
4 0 40
4 1 6
4 1 21
4 1 24
4 1 31
4 1 33
4 1 35
4 1 37
4 2 17
4 2 22
4 2 26
4 2 28
4 2 39
4 3 14
4 3 24
4 4 2
4 4 5
4 4 15
4 4 26
4 4 28
4 4 29
4 4 36
4 5 5
4 5 9
4 5 22
4 5 31
4 5 33
4 5 39
4 6 8
4 6 9
4 6 29
4 6 30
4 6 32
4 6 40
4 6 41
4 7 27
4 7 30
4 7 40
4 8 0
4 8 36
4 9 1
4 9 3
4 9 5
4 9 19
4 9 20
4 9 32
4 9 33
4 9 35
4 9 36
4 10 5
4 10 7
4 10 16
4 10 32
4 10 40
