330
6
29 10 16 34 47 24
569

0 0 493 0 545 0 0 790 150 0 215 0 494 0 53 864 0 0 646 0 0 467 0 0 411 0 0 0 884
0 0 0 132 0 976 0 0 750 0
0 0 0 465 0 0 61 0 293 0 0 200 785 0 653 203
269 0 541 0 0 267 0 0 668 397 12 702 0 901 0 0 384 639 982 0 157 0 575 0 0 0 901 0 0 0 895 268 154 519
0 0 0 0 0 158 279 0 0 0 0 178 0 0 452 477 462 629 0 0 744 0 153 0 799 0 226 0 0 0 0 0 0 0 0 0 0 124 0 0 375 0 812 90 11 722 0
951 815 0 45 0 0 632 0 0 877 0 314 0 247 0 0 0 329 156 0 808 0 552 0

0 1 2
0 1 6
0 2 1
0 2 2
0 2 3
0 3 9
0 4 3
0 4 4
0 4 9
0 6 4
0 7 0
0 7 5
0 8 8
0 9 1
0 9 7
0 10 3
0 10 9
0 11 9
0 12 0
0 12 8
0 13 1
0 13 3
0 15 3
0 16 7
0 17 6
0 18 4
0 18 6
0 19 4
0 19 6
0 20 6
0 20 9
0 22 6
0 23 1
0 24 5
0 24 6
0 24 8
0 25 1
0 25 2
0 26 3
0 26 4
0 26 9
0 28 3
0 28 7
1 0 5
1 0 10
1 0 14
1 1 1
1 1 5
1 1 10
1 1 12
1 2 7
1 2 11
1 2 12
1 2 13
1 3 2
1 3 5
1 3 6
1 3 10
1 3 14
1 3 15
1 4 1
1 4 2
1 4 8
1 4 9
1 5 8
1 5 15
1 6 9
1 7 1
1 7 9
1 8 4
1 8 6
1 8 14
1 9 1
1 9 2
1 9 5
1 9 10
1 9 11
2 0 3
2 0 10
2 0 22
2 0 24
2 0 27
2 0 31
2 1 9
2 1 13
2 1 23
2 1 30
2 1 31
2 2 1
2 2 4
2 2 5
2 2 25
2 2 30
2 2 31
2 3 1
2 3 7
2 4 2
2 4 5
2 4 17
2 4 29
2 5 4
2 5 7
2 5 10
2 5 14
2 5 18
2 5 19
2 6 1
2 6 2
2 6 3
2 6 8
2 6 9
2 6 12
2 6 16
2 6 19
2 7 4
2 7 8
2 7 16
2 8 3
2 8 7
2 8 13
2 8 22
2 8 30
2 9 6
2 9 19
2 9 22
2 9 25
2 10 3
2 10 7
2 10 13
2 10 17
2 10 18
2 10 19
2 10 31
2 10 33
2 11 11
2 11 17
2 11 18
2 11 31
2 12 1
2 12 2
2 12 4
2 12 5
2 12 9
2 12 11
2 12 16
2 12 23
2 12 26
2 12 30
2 12 32
2 13 6
2 13 17
2 13 21
2 14 3
2 14 15
2 14 16
2 14 24
2 14 30
2 14 33
2 15 1
2 15 5
2 15 6
2 15 15
2 15 17
2 15 21
2 15 23
2 15 27
3 0 5
3 0 9
3 0 12
3 0 36
3 0 40
3 0 46
3 1 2
3 1 14
3 1 20
3 1 22
3 1 23
3 1 27
3 1 30
3 1 33
3 1 42
3 2 0
3 2 2
3 2 14
3 2 15
3 2 19
3 2 33
3 2 35
3 2 40
3 2 42
3 3 2
3 3 5
3 3 14
3 3 17
3 3 19
3 3 22
3 3 25
3 4 1
3 4 11
3 4 30
3 4 45
3 4 46
3 5 0
3 5 4
3 5 5
3 5 7
3 5 15
3 5 29
3 5 34
3 6 1
3 6 6
3 6 7
3 6 11
3 6 12
3 6 31
3 6 41
3 6 43
3 7 7
3 7 22
3 7 26
3 7 27
3 7 34
3 7 35
3 7 42
3 8 20
3 8 28
3 8 38
3 8 45
3 9 0
3 9 5
3 9 9
3 9 14
3 9 21
3 9 31
3 9 36
3 9 45
3 10 6
3 10 14
3 10 15
3 10 18
3 10 21
3 10 34
3 10 38
3 10 39
3 10 40
3 10 45
3 11 12
3 11 14
3 11 24
3 11 42
3 12 10
3 12 15
3 12 17
3 12 18
3 12 23
3 12 24
3 12 42
3 12 45
3 13 5
3 13 13
3 13 14
3 13 27
3 13 35
3 14 12
3 14 13
3 14 21
3 14 24
3 14 27
3 14 44
3 15 3
3 15 16
3 15 17
3 15 23
3 15 33
3 15 35
3 15 36
3 15 43
3 15 45
3 16 11
3 16 19
3 17 6
3 17 20
3 17 36
3 17 38
3 17 39
3 17 42
3 17 46
3 18 2
3 18 11
3 18 27
3 18 42
3 18 43
3 19 1
3 19 8
3 19 9
3 19 20
3 19 28
3 19 33
3 19 40
3 20 15
3 20 19
3 20 26
3 20 36
3 20 37
3 21 3
3 21 4
3 21 6
3 21 10
3 21 17
3 21 22
3 21 23
3 21 25
3 21 28
3 21 31
3 21 38
3 21 45
3 22 11
3 22 26
3 22 32
3 22 43
3 22 44
3 22 46
3 23 1
3 23 5
3 23 13
3 23 26
3 23 27
3 23 28
3 23 30
3 23 33
3 23 36
3 23 42
3 24 36
3 24 37
3 24 41
3 24 43
3 25 16
3 25 17
3 25 30
3 25 34
3 25 40
3 25 42
3 25 43
3 26 2
3 26 11
3 26 17
3 26 22
3 27 0
3 27 6
3 27 10
3 27 20
3 27 23
3 27 30
3 28 10
3 28 16
3 28 17
3 28 26
3 28 28
3 28 34
3 28 43
3 29 4
3 29 10
3 29 15
3 29 22
3 29 24
3 29 25
3 29 26
3 29 37
3 29 38
3 29 45
3 30 0
3 30 4
3 30 10
3 30 11
3 30 14
3 30 21
3 30 27
3 30 30
3 30 36
3 30 39
3 30 42
3 31 3
3 31 11
3 31 14
3 31 20
3 31 42
3 31 43
3 31 46
3 32 3
3 32 9
3 32 34
3 32 36
3 33 0
3 33 11
3 33 13
3 33 37
3 33 41
3 33 43
4 0 5
4 0 8
4 0 21
4 1 3
4 1 23
4 2 5
4 2 8
4 2 20
4 3 14
4 4 3
4 4 10
4 4 11
4 4 20
4 5 9
4 5 10
4 5 13
4 5 14
4 5 15
4 6 2
4 6 3
4 6 9
4 6 13
4 7 0
4 7 5
4 7 10
4 7 11
4 7 15
4 8 5
4 8 7
4 8 8
4 8 13
4 8 16
4 8 17
4 8 19
4 8 23
4 9 1
4 9 4
4 9 5
4 9 6
4 9 7
4 9 13
4 10 2
4 10 9
4 10 12
4 10 18
4 10 19
4 11 7
4 11 17
4 12 0
4 12 3
4 12 8
4 12 10
4 12 14
4 12 19
4 12 22
4 13 1
4 13 5
4 13 9
4 13 10
4 13 12
4 14 8
4 14 17
4 14 18
4 14 22
4 15 3
4 15 10
4 15 12
4 15 13
4 15 20
4 16 1
4 17 2
4 17 5
4 17 6
4 17 23
4 18 0
4 18 2
4 19 3
4 19 4
4 19 11
4 19 14
4 19 21
4 20 5
4 20 7
4 20 10
4 20 14
4 20 17
4 20 22
4 21 3
4 21 8
4 21 15
4 21 21
4 22 5
4 22 12
4 22 21
4 22 22
4 23 0
4 23 15
4 23 22
4 23 23
4 24 0
4 24 3
4 24 5
4 24 10
4 24 12
4 24 13
4 24 22
4 25 0
4 25 10
4 26 3
4 26 13
4 26 23
4 27 4
4 27 11
4 27 18
4 27 21
4 28 19
4 28 23
4 29 7
4 30 0
4 31 1
4 31 2
4 31 3
4 31 10
4 31 11
4 31 21
4 32 8
4 32 19
4 33 2
4 33 20
4 34 12
4 34 13
4 34 23
4 35 1
4 35 6
4 35 10
4 35 15
4 35 18
4 36 17
4 37 9
4 37 21
4 38 17
4 38 18
4 38 19
4 38 23
4 39 1
4 39 10
4 39 23
4 40 1
4 40 2
4 40 9
4 41 3
4 41 23
4 42 2
4 42 8
4 42 10
4 42 22
4 43 16
4 43 18
4 44 0
4 44 3
4 44 5
4 44 6
4 44 10
4 45 3
4 45 5
4 45 9
4 45 11
4 45 23
4 46 5
4 46 8
4 46 21
