896
6
19 6 5 23 18 34
128

0 248 0 0 0 0 632 696 97 0 0 943 0 809 324 0 0 642 0
0 1004 88 0 0 0
0 24 0 0 720
0 0 831 0 0 0 0 0 0 562 696 0 0 931 1006 707 0 984 0 0 0 419 0
277 470 0 923 0 0 0 0 0 509 373 0 478 0 0 0 0 0
533 629 0 0 0 0 0 900 523 508 0 0 839 546 251 0 427 806 1008 256 247 20 227 375 285 0 737 0 23 0 0 0 0 0

0 1 2
0 1 3
0 3 4
0 8 3
0 10 2
0 10 3
0 12 1
0 13 0
0 14 1
0 14 2
0 15 1
0 16 5
0 17 1
0 17 2
0 18 5
1 0 3
1 4 3
2 0 13
2 0 18
2 1 16
2 2 6
2 2 15
2 3 6
2 3 14
2 4 0
2 4 2
2 4 7
3 0 5
3 0 7
3 0 9
3 1 0
3 1 7
3 1 8
3 1 9
3 2 10
3 3 3
3 3 12
3 4 12
3 5 2
3 5 3
3 5 14
3 6 3
3 6 7
3 6 13
3 7 7
3 8 3
3 8 6
3 10 2
3 11 13
3 13 0
3 13 5
3 13 6
3 14 10
3 15 8
3 16 9
3 17 17
3 18 6
3 18 8
3 20 2
3 20 3
3 20 4
3 20 7
3 20 10
3 20 13
3 21 7
3 21 14
4 0 6
4 0 17
4 0 20
4 0 29
4 0 33
4 1 2
4 1 12
4 1 23
4 1 25
4 1 31
4 1 32
4 2 1
4 2 7
4 2 14
4 3 2
4 3 6
4 3 8
4 3 10
4 3 19
4 3 25
4 4 1
4 4 31
4 5 14
4 5 18
4 5 32
4 6 25
4 6 27
4 7 21
4 7 27
4 8 3
4 8 4
4 8 22
4 8 24
4 9 15
4 9 16
4 9 23
4 10 14
4 11 2
4 11 5
4 11 8
4 12 17
4 12 18
4 13 13
4 13 22
4 14 4
4 14 5
4 14 8
4 14 18
4 14 28
4 15 6
4 15 8
4 15 19
4 16 16
4 16 18
4 16 19
4 16 25
4 16 31
4 17 2
4 17 3
4 17 4
4 17 5
4 17 26
