927
6
14 8 45 10 9 34
395

0 0 0 721 0 0 107 0 776 0 0 0 330 547
0 0 903 0 1013 677 0 0
0 0 0 0 0 0 0 0 365 0 0 0 0 0 0 0 435 0 772 500 0 0 0 0 0 927 0 0 0 0 0 883 0 0 231 323 0 186 0 517 426 0 543 0 0
0 0 0 738 0 0 0 0 250 0
0 0 0 0 0 0 0 0 0
0 0 0 739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 532 0 0 0 0 0 0 0 860 0 47 0 0

0 1 2
0 1 3
0 2 3
0 2 5
0 2 6
0 2 7
0 3 1
0 3 2
0 4 0
0 4 1
0 4 2
0 4 7
0 5 2
0 6 1
0 6 4
0 6 6
0 6 7
0 7 0
0 7 1
0 7 4
0 8 2
0 8 6
0 9 4
0 11 7
0 12 0
0 12 1
0 12 2
0 12 6
0 13 0
0 13 2
0 13 6
1 0 1
1 0 12
1 0 13
1 0 17
1 0 23
1 0 24
1 0 26
1 0 28
1 0 34
1 0 40
1 0 44
1 1 2
1 1 3
1 1 4
1 1 7
1 1 8
1 1 21
1 1 24
1 1 26
1 1 30
1 1 31
1 1 34
1 1 38
1 1 41
1 1 42
1 1 44
1 2 10
1 2 13
1 2 14
1 2 15
1 2 18
1 2 23
1 2 25
1 2 31
1 2 32
1 2 40
1 2 41
1 3 1
1 3 2
1 3 6
1 3 10
1 3 15
1 3 17
1 3 18
1 3 19
1 3 24
1 3 28
1 3 33
1 3 37
1 3 40
1 3 44
1 4 2
1 4 4
1 4 12
1 4 23
1 4 25
1 4 28
1 4 30
1 4 36
1 4 39
1 4 42
1 4 43
1 5 2
1 5 11
1 5 13
1 5 16
1 5 17
1 5 19
1 5 24
1 5 25
1 5 29
1 5 37
1 5 40
1 5 42
1 5 44
1 6 4
1 6 8
1 6 10
1 6 18
1 6 19
1 6 25
1 6 28
1 6 31
1 6 37
1 6 38
1 6 41
1 6 44
1 7 1
1 7 9
1 7 14
1 7 15
1 7 18
1 7 19
1 7 21
1 7 25
1 7 26
1 7 29
1 7 35
1 7 38
1 7 43
2 0 6
2 1 0
2 1 1
2 1 2
2 1 4
2 1 7
2 2 0
2 2 4
2 2 7
2 3 1
2 3 3
2 3 5
2 3 6
2 3 7
2 3 8
2 4 0
2 4 6
2 4 7
2 4 8
2 5 4
2 5 5
2 5 6
2 5 7
2 5 8
2 5 9
2 6 2
2 6 8
2 7 5
2 7 6
2 8 0
2 8 4
2 8 6
2 8 7
2 9 1
2 9 2
2 9 8
2 10 1
2 10 2
2 10 4
2 11 0
2 11 2
2 11 4
2 11 5
2 11 6
2 12 3
2 12 6
2 13 0
2 13 1
2 13 4
2 13 7
2 13 9
2 14 0
2 15 2
2 15 3
2 15 6
2 15 7
2 15 9
2 16 0
2 16 1
2 17 0
2 17 1
2 17 3
2 17 6
2 18 5
2 18 8
2 19 7
2 19 9
2 20 0
2 20 1
2 20 2
2 20 6
2 20 8
2 21 4
2 21 5
2 22 4
2 22 8
2 23 0
2 23 1
2 23 6
2 24 1
2 24 5
2 24 9
2 25 1
2 25 4
2 25 5
2 26 0
2 26 2
2 26 3
2 26 5
2 26 8
2 27 0
2 27 6
2 27 7
2 27 9
2 28 7
2 29 0
2 29 3
2 29 7
2 30 1
2 30 4
2 30 5
2 31 2
2 31 4
2 31 5
2 31 8
2 33 4
2 33 5
2 33 8
2 33 9
2 34 1
2 34 3
2 34 4
2 34 7
2 34 9
2 35 0
2 35 4
2 35 5
2 35 6
2 36 0
2 36 1
2 36 3
2 36 8
2 37 4
2 37 5
2 37 9
2 38 4
2 38 6
2 38 7
2 39 0
2 39 1
2 39 3
2 39 6
2 39 7
2 40 1
2 41 3
2 41 4
2 41 5
2 41 6
2 41 9
2 42 0
2 43 1
2 43 5
2 43 6
2 44 6
2 44 7
2 44 9
3 0 6
3 0 8
3 1 3
3 1 4
3 1 5
3 2 1
3 2 3
3 2 5
3 2 6
3 2 7
3 3 7
3 3 8
3 4 2
3 4 6
3 5 1
3 5 3
3 5 8
3 6 6
3 7 2
3 8 0
3 8 1
3 8 2
3 8 4
3 8 6
3 8 7
3 8 8
3 9 0
3 9 1
3 9 4
4 0 1
4 0 5
4 0 7
4 0 9
4 0 10
4 0 11
4 0 20
4 0 21
4 0 24
4 0 25
4 0 30
4 1 1
4 1 4
4 1 14
4 1 15
4 1 17
4 1 20
4 1 27
4 1 31
4 1 33
4 2 0
4 2 8
4 2 11
4 2 12
4 2 13
4 2 14
4 2 18
4 2 19
4 2 20
4 2 21
4 2 23
4 2 24
4 2 30
4 3 3
4 3 4
4 3 6
4 3 12
4 3 21
4 3 23
4 3 26
4 3 30
4 3 31
4 4 4
4 4 7
4 4 16
4 4 21
4 4 22
4 4 27
4 4 28
4 4 30
4 4 32
4 4 33
4 5 3
4 5 4
4 5 14
4 5 25
4 5 26
4 5 27
4 5 28
4 6 2
4 6 10
4 6 18
4 6 21
4 6 25
4 6 27
4 6 30
4 7 0
4 7 3
4 7 6
4 7 10
4 7 11
4 7 15
4 7 17
4 7 18
4 7 24
4 7 25
4 7 33
4 8 0
4 8 2
4 8 5
4 8 9
4 8 10
4 8 12
4 8 16
4 8 17
4 8 22
4 8 23
4 8 24
4 8 31
