1377
8
8 5 13 16 9 8 6 10
63

101 0 0 0 1013 757 0 0
826 0 816 122 378
806 0 564 0 0 896 0 0 370 619 0 982 0
741 494 0 0 0 894 0 0 705 0 942 924 0 802 0 0
153 337 701 0 1010 108 933 678 831
0 447 244 763 111 119 400 0
963 284 529 0 824 283
158 17 0 313 558 0 139 0 844 940

0 2 4
0 3 1
0 3 2
0 4 1
1 0 2
1 0 3
1 1 3
1 1 8
1 1 9
1 2 0
1 2 5
1 3 6
1 3 7
1 4 0
1 4 7
1 4 8
2 0 12
2 2 7
2 2 14
2 3 2
2 3 12
2 5 3
2 5 13
2 7 10
2 8 4
2 8 12
2 9 4
2 9 10
2 10 1
2 10 12
2 11 7
2 12 9
3 2 7
3 3 6
3 4 4
3 6 6
3 7 2
3 7 7
3 8 2
3 8 3
3 8 6
3 8 8
3 9 5
3 10 2
4 0 1
4 0 4
4 2 6
4 5 5
4 7 3
4 7 5
4 8 3
5 2 5
5 6 4
5 7 5
6 1 0
6 2 7
6 3 3
6 3 4
6 3 9
6 4 7
6 5 3
6 5 4
6 5 8
