1569
8
28 31 18 31 41 17 16 13
443

143 0 468 387 0 0 858 227 0 0 419 391 80 668 830 665 0 0 0 230 0 0 193 777 942 735 0 144
0 479 564 304 213 0 98 874 0 448 568 1013 770 279 543 0 417 0 0 832 0 0 744 706 0 0 0 0 261 50 0
739 0 683 412 99 715 0 931 994 0 362 323 337 0 0 0 0 0
431 61 743 0 279 0 521 530 0 0 0 0 0 0 235 0 691 0 115 616 257 865 145 0 407 86 149 0 207 287 1009
863 240 0 37 282 361 79 148 308 847 739 0 0 0 204 0 383 0 519 24 0 0 406 118 896 0 804 808 987 848 0 0 0 0 530 203 0 0 421 983 0
0 110 866 290 0 36 272 267 0 503 0 0 993 233 83 937 849
0 0 0 0 228 261 0 0 0 371 734 0 116 685 231 903
0 0 0 0 0 0 0 0 983 0 781 8 145

0 1 2
0 1 7
0 2 1
0 2 11
0 2 12
0 3 13
0 3 24
0 4 7
0 4 25
0 4 30
0 5 7
0 5 9
0 5 10
0 5 21
0 6 2
0 6 4
0 6 5
0 6 9
0 6 15
0 6 20
0 6 22
0 6 23
0 6 25
0 6 29
0 7 5
0 7 16
0 7 23
0 8 1
0 8 13
0 8 26
0 9 3
0 9 14
0 9 18
0 9 21
0 10 15
0 10 18
0 11 11
0 11 13
0 11 22
0 12 6
0 12 9
0 12 16
0 12 27
0 13 1
0 13 2
0 13 6
0 13 14
0 14 0
0 14 2
0 14 8
0 15 2
0 15 18
0 15 22
0 16 8
0 16 22
0 17 15
0 17 20
0 17 28
0 18 11
0 18 23
0 19 6
0 19 11
0 19 14
0 19 16
0 19 24
0 20 5
0 20 12
0 21 7
0 21 9
0 21 11
0 21 12
0 21 13
0 21 15
0 21 19
0 22 9
0 22 21
0 23 15
0 23 28
0 23 30
0 24 20
0 24 26
0 25 12
0 26 1
0 26 9
0 26 11
0 26 23
0 26 24
0 27 0
0 27 8
0 27 15
0 27 30
1 0 4
1 0 9
1 1 16
1 4 17
1 6 7
1 6 16
1 11 3
1 11 4
1 11 6
1 12 16
1 13 2
1 13 17
1 14 11
1 14 13
1 14 16
1 15 0
1 15 6
1 17 3
1 17 4
1 17 6
1 18 8
1 20 2
1 20 3
1 21 7
1 21 8
1 21 12
1 21 16
1 22 16
1 22 17
1 23 7
1 23 15
1 24 2
1 24 13
1 25 1
1 25 4
1 26 7
1 27 0
1 27 16
1 28 3
1 29 5
1 29 7
1 30 6
1 30 11
2 0 4
2 0 11
2 0 15
2 0 23
2 0 27
2 0 28
2 1 6
2 1 11
2 1 12
2 1 16
2 1 20
2 1 22
2 1 28
2 2 6
2 2 12
2 2 29
2 3 7
2 4 6
2 4 9
2 4 11
2 4 14
2 5 4
2 6 16
2 6 17
2 6 22
2 6 29
2 7 7
2 7 15
2 7 24
2 7 30
2 8 2
2 8 18
2 8 22
2 8 26
2 8 27
2 9 26
2 10 1
2 10 7
2 10 13
2 10 14
2 10 23
2 10 25
2 10 26
2 10 30
2 11 2
2 11 4
2 11 30
2 12 14
2 12 29
2 13 16
2 13 19
2 13 22
2 14 0
2 14 13
2 14 21
2 16 19
2 16 20
2 17 11
2 17 12
2 17 20
2 17 24
2 17 30
3 0 4
3 0 15
3 0 21
3 1 29
3 1 32
3 1 36
3 2 10
3 2 20
3 2 23
3 2 34
3 3 0
3 3 2
3 3 23
3 3 27
3 3 30
3 4 1
