1382
8
6 5 7 12 8 17 14 6
140

0 0 906 508 325 367
368 97 0 64 917
0 498 751 602 0 0 510
992 538 0 576 19 846 551 555 0 285 458 135
993 182 673 748 0 109 529 155
133 633 500 551 0 136 0 143 630 631 376 320 613 947 932 245 862
846 647 548 357 0 189 0 7 904 317 17 474 552 997
506 0 98 286 201 0

0 1 2
0 2 0
0 3 3
0 4 3
0 5 3
1 0 4
1 0 6
1 1 3
1 2 0
1 4 2
1 4 4
1 4 5
2 0 0
2 0 11
2 1 2
2 2 1
2 2 2
2 3 3
2 5 4
2 5 8
2 6 2
2 6 4
2 6 5
2 6 6
2 6 9
3 1 3
3 2 1
3 3 2
3 3 3
3 3 5
3 4 2
3 5 3
3 5 5
3 5 7
3 6 4
3 7 0
3 7 6
3 8 6
3 9 0
3 9 5
3 9 6
3 9 7
3 10 0
3 10 6
3 10 7
3 11 0
3 11 5
4 0 6
4 0 8
4 0 12
4 0 15
4 1 5
4 1 13
4 1 14
4 2 0
4 2 8
4 2 10
4 2 13
4 3 5
4 3 7
4 4 2
4 4 6
4 4 11
4 5 5
4 5 14
4 6 0
4 6 1
4 6 3
4 6 6
4 6 12
4 7 0
4 7 4
4 7 7
4 7 16
5 0 0
5 0 9
5 0 12
5 1 4
5 2 1
5 2 3
5 2 5
5 2 6
5 2 9
5 2 10
5 2 13
5 4 5
5 4 7
5 4 12
5 5 0
5 5 1
5 5 12
5 5 13
5 6 7
5 7 0
5 7 13
5 8 4
5 9 1
5 9 3
5 9 5
5 9 6
5 9 10
5 10 3
5 10 5
5 10 6
5 10 8
5 10 12
5 11 8
5 12 5
5 12 8
5 12 13
5 13 8
5 13 10
5 13 12
5 14 0
5 14 2
5 14 4
5 14 5
5 14 8
5 14 10
5 14 13
5 15 6
5 15 10
5 16 3
5 16 11
5 16 12
6 0 4
6 0 5
6 1 4
6 4 2
6 6 3
6 7 2
6 7 4
6 7 5
6 8 0
6 9 0
6 9 1
6 9 3
6 9 4
6 11 3
6 12 4
