878
6
13 16 9 25 9 18
192

701 734 84 0 631 430 677 303 197 459 904 230 891
799 185 0 0 571 786 533 731 456 599 57 0 182 327 193 328
391 832 208 796 930 47 151 566 187
0 387 792 914 698 405 511 275 0 0 238 11 932 0 752 497 224 550 675 66 829 542 578 0 303
177 0 484 237 0 688 783 0 899
579 751 352 495 0 0 0 499 0 376 721 915 0 896 619 599 339 89

0 1 2
0 1 3
0 2 2
0 2 10
0 3 2
0 3 9
0 3 11
0 3 13
0 4 0
0 4 3
0 4 5
0 4 8
0 4 13
0 4 15
0 5 8
0 5 13
0 6 0
0 6 2
0 6 7
0 6 10
0 6 11
0 6 13
0 7 4
0 7 6
0 7 12
0 8 6
0 8 15
0 9 0
0 9 6
0 9 7
0 9 13
0 10 14
0 11 1
0 11 5
0 11 6
0 11 7
0 11 12
0 11 13
0 12 8
0 12 12
1 0 7
1 1 6
1 1 8
1 2 2
1 2 7
1 3 1
1 3 8
1 4 8
1 5 1
1 5 5
1 5 8
1 6 3
1 7 3
1 8 2
1 8 7
1 8 8
1 10 0
1 11 0
1 11 6
1 12 3
1 12 7
1 13 5
1 14 2
1 14 3
1 14 5
1 15 8
2 0 1
2 0 8
2 0 13
2 0 15
2 0 16
2 1 0
2 1 1
2 1 8
2 1 13
2 1 16
2 1 20
2 1 21
2 2 1
2 2 2
2 2 6
2 2 9
2 2 18
2 2 21
2 3 0
2 3 5
2 3 10
2 3 13
2 3 19
2 4 0
2 4 1
2 4 7
2 4 8
2 4 12
2 4 22
2 5 3
2 5 5
2 5 6
2 5 8
2 5 9
2 5 10
2 5 16
2 5 19
2 5 20
2 6 0
2 6 5
2 6 9
2 6 11
2 6 19
2 7 1
2 7 9
2 7 18
2 7 19
2 7 21
2 8 0
2 8 12
2 8 13
2 8 16
3 0 6
3 0 7
3 1 1
3 1 6
3 1 8
3 2 0
3 2 1
3 2 2
3 3 6
3 4 5
3 4 8
3 5 6
3 5 8
3 6 5
3 8 0
3 8 3
3 8 7
3 9 6
3 9 7
3 10 2
3 10 8
3 11 0
3 11 1
3 12 1
3 12 2
3 13 0
3 13 1
3 13 3
3 13 5
3 15 1
3 16 8
3 17 0
3 17 2
3 19 4
3 19 8
3 20 0
3 21 0
3 23 0
3 23 5
3 24 2
3 24 8
4 0 6
4 0 16
4 1 2
4 1 11
4 1 13
4 1 14
4 2 4
4 2 6
4 2 9
4 2 12
4 2 16
4 3 15
4 4 0
4 4 3
4 4 10
4 4 12
4 5 3
4 5 14
4 6 0
4 6 4
4 6 5
4 6 7
4 6 9
4 6 11
4 6 13
4 7 3
4 7 7
4 7 10
4 7 14
4 7 16
4 8 5
4 8 6
4 8 7
