677
6
25 8 13 15 10 69
401

0 574 316 0 0 0 0 0 0 1018 0 0 72 0 0 164 0 822 0 0 0 0 939 243 235
0 0 420 0 0 0 0 810
0 0 0 0 1018 466 770 910 67 0 449 0 0
514 0 0 0 0 0 330 0 415 0 0 0 0 0 0
0 0 0 334 185 0 395 0 189 0
0 0 0 1007 481 385 3 0 0 0 583 921 0 0 0 0 0 0 0 528 20 528 850 728 0 0 977 0 593 393 0 0 919 0 0 643 0 0 682 514 0 147 886 266 0 0 0 0 0 0 0 0 0 626 550 0 472 0 0 0 0 0 0 0 0 371 0 0 0

0 1 2
0 1 3
0 1 5
0 1 6
0 2 5
0 3 0
0 3 3
0 3 4
0 3 6
0 4 5
0 5 0
0 5 3
0 5 7
0 6 1
0 6 2
0 6 3
0 6 6
0 6 7
0 7 4
0 8 0
0 8 1
0 8 2
0 9 2
0 9 3
0 9 4
0 9 7
0 10 2
0 10 6
0 11 0
0 11 1
0 11 4
0 11 5
0 12 2
0 12 5
0 13 0
0 13 1
0 14 0
0 14 1
0 14 3
0 14 4
0 14 6
0 15 1
0 15 2
0 15 3
0 15 6
0 16 0
0 16 1
0 16 5
0 17 2
0 17 4
0 17 5
0 17 7
0 19 1
0 19 4
0 19 6
0 19 7
0 20 4
0 20 6
0 21 2
0 21 5
0 22 2
0 22 5
0 24 1
0 24 3
0 24 4
0 24 6
0 24 7
1 0 1
1 0 7
1 0 8
1 0 11
1 1 1
1 1 3
1 1 7
1 2 0
1 2 5
1 2 9
1 2 11
1 3 0
1 3 2
1 4 5
1 4 7
1 4 8
1 4 11
1 5 5
1 5 11
1 6 2
1 6 6
1 6 8
1 6 9
1 6 12
1 7 1
1 7 5
1 7 6
1 7 12
2 0 10
2 0 14
2 1 0
2 1 1
2 1 2
2 1 9
2 1 14
2 2 3
2 2 6
2 2 9
2 2 12
2 2 13
2 3 0
2 3 3
2 3 5
2 3 13
2 4 7
2 5 0
2 5 2
2 5 4
2 5 9
2 5 12
2 5 13
2 5 14
2 6 6
2 7 1
2 7 3
2 7 4
2 7 5
2 7 6
2 7 11
2 7 14
2 8 1
2 8 11
2 8 12
2 8 13
2 9 4
2 10 1
2 10 2
2 10 8
2 10 9
2 10 10
2 11 2
2 11 6
2 11 12
2 11 14
2 12 2
3 0 0
3 0 1
3 0 4
3 0 6
3 0 7
3 1 3
3 1 4
3 1 8
3 2 0
3 2 1
3 2 2
3 2 3
3 2 4
3 2 5
3 2 7
3 3 1
3 3 2
3 3 4
3 3 7
3 4 5
3 5 0
3 5 8
3 5 9
3 6 0
3 6 4
3 6 5
3 6 6
3 7 1
3 7 2
3 7 5
3 7 6
3 7 8
3 8 4
3 8 7
3 8 8
3 8 9
3 9 2
3 10 2
3 10 5
3 10 6
3 10 8
3 10 9
3 11 6
3 11 8
3 11 9
3 12 0
3 12 2
3 12 8
3 14 2
3 14 4
3 14 8
3 14 9
4 0 2
4 0 4
4 0 10
4 0 12
4 0 13
4 0 14
4 0 15
4 0 21
4 0 22
4 0 28
4 0 39
4 0 41
4 0 43
4 0 44
4 0 45
4 0 47
4 0 54
4 0 55
4 0 62
4 1 0
4 1 1
4 1 2
4 1 6
4 1 7
4 1 10
4 1 12
4 1 13
4 1 15
4 1 18
4 1 22
4 1 23
4 1 27
4 1 31
4 1 34
4 1 35
4 1 38
4 1 46
4 1 47
4 1 50
4 1 52
4 1 53
4 1 56
4 1 62
4 1 64
4 1 67
4 2 0
4 2 8
4 2 10
4 2 17
4 2 19
4 2 24
4 2 27
4 2 32
4 2 33
4 2 38
4 2 42
4 2 44
4 2 56
4 2 57
4 2 68
4 3 4
4 3 12
4 3 14
4 3 17
4 3 20
4 3 22
4 3 25
4 3 26
4 3 34
4 3 38
4 3 39
4 3 41
4 3 46
4 3 57
4 3 60
4 3 62
4 4 1
4 4 2
4 4 6
4 4 7
4 4 11
4 4 12
4 4 18
4 4 20
4 4 23
4 4 24
4 4 25
4 4 28
4 4 34
4 4 35
4 4 36
4 4 40
4 4 46
4 4 49
4 4 51
4 4 52
4 4 56
4 4 59
4 4 60
4 4 61
4 4 62
4 4 65
4 4 66
4 4 68
4 5 3
4 5 12
4 5 13
4 5 16
4 5 17
4 5 21
4 5 26
4 5 31
4 5 37
4 5 38
4 5 40
4 5 44
4 5 46
4 5 47
4 5 48
4 5 49
4 5 54
4 5 62
4 6 4
4 6 16
4 6 20
4 6 22
4 6 23
4 6 24
4 6 26
4 6 38
4 6 48
4 6 51
4 6 58
4 6 64
4 6 67
4 7 1
4 7 2
4 7 3
4 7 6
4 7 7
4 7 9
4 7 15
4 7 16
4 7 17
4 7 20
4 7 30
4 7 31
4 7 32
4 7 34
4 7 35
4 7 36
4 7 41
4 7 42
4 7 45
4 7 54
4 7 56
4 7 57
4 7 61
4 7 65
4 7 66
4 7 68
4 8 1
4 8 5
4 8 12
4 8 13
4 8 14
4 8 15
4 8 22
4 8 27
4 8 32
4 8 33
4 8 34
4 8 35
4 8 37
4 8 42
4 8 43
4 8 46
4 8 47
4 8 50
4 8 51
4 8 53
4 8 57
4 8 58
4 8 59
4 8 64
4 8 66
4 9 0
4 9 5
4 9 7
4 9 8
4 9 10
4 9 11
4 9 12
4 9 13
4 9 15
4 9 17
4 9 19
4 9 22
4 9 34
4 9 39
4 9 41
4 9 46
4 9 52
4 9 56
4 9 57
4 9 65
4 9 67
