171
4
54 8 22 16
192

544 193 675 826 939 750 127 0 100 239 752 111 0 0 0 0 413 222 157 480 852 0 21 412 889 0 0 17 793 0 1022 873 517 123 450 66 977 775 289 0 324 0 0 1012 7 177 950 0 786 949 628 566 538 759
914 662 490 231 0 644 959 167
308 262 954 479 624 0 424 0 41 626 0 0 949 883 749 26 249 764 19 716 127 466
723 0 292 140 208 0 608 620 244 834 842 469 876 283 781 224

0 1 2
0 2 0
0 2 4
0 3 1
0 3 2
0 3 3
0 4 0
0 4 3
0 5 4
0 7 1
0 7 4
0 8 4
0 9 6
0 10 2
0 10 3
0 10 7
0 11 3
0 12 0
0 12 6
0 12 7
0 15 1
0 15 4
0 15 5
0 15 6
0 16 2
0 16 3
0 17 0
0 17 4
0 18 0
0 18 4
0 19 2
0 19 5
0 20 5
0 22 0
0 23 2
0 23 4
0 23 7
0 24 1
0 24 2
0 24 3
0 25 6
0 26 1
0 28 2
0 28 3
0 28 5
0 29 1
0 29 3
0 29 5
0 30 0
0 31 4
0 32 2
0 32 3
0 33 1
0 33 5
0 33 7
0 34 1
0 35 2
0 35 7
0 37 1
0 37 3
0 37 6
0 38 1
0 38 4
0 39 0
0 39 1
0 39 2
0 39 4
0 39 7
0 41 2
0 41 5
0 42 4
0 42 6
0 43 2
0 45 2
0 45 4
0 45 7
0 46 2
0 46 5
0 46 6
0 46 7
0 47 5
0 48 1
0 48 2
0 48 4
0 49 6
0 50 0
0 51 1
0 52 0
0 52 2
0 53 2
1 0 4
1 0 13
1 1 0
1 1 1
1 1 5
1 1 8
1 1 11
1 2 5
1 2 12
1 2 14
1 2 20
1 3 0
1 3 7
1 3 10
1 3 14
1 4 4
1 4 7
1 4 8
1 4 10
1 4 15
1 4 21
1 5 0
1 5 1
1 5 2
1 5 13
1 6 2
1 6 5
1 6 8
1 6 20
1 7 0
1 7 4
1 7 9
1 7 12
2 0 0
2 0 8
2 0 10
2 0 12
2 1 2
2 1 7
2 1 10
2 1 13
2 1 15
2 2 0
2 2 4
2 2 12
2 2 13
2 2 14
2 2 15
2 3 0
2 3 1
2 3 10
2 3 11
2 4 6
2 4 8
2 4 10
2 5 4
2 5 8
2 5 14
2 6 2
2 6 8
2 6 12
2 6 15
2 7 2
2 7 6
2 8 1
2 8 2
2 9 5
2 9 8
2 9 10
2 9 13
2 10 4
2 10 10
2 10 15
2 11 1
2 11 8
2 12 8
2 12 10
2 12 11
2 12 15
2 13 3
2 13 4
2 13 5
2 13 11
2 14 10
2 15 5
2 15 8
2 15 10
2 15 11
2 16 0
2 16 13
2 17 0
2 17 5
2 17 8
2 17 15
2 18 8
2 19 3
2 19 14
2 20 0
2 20 4
2 20 11
2 21 2
2 21 14
