729
8
9 9 15 11 18 13 13 12
227

435 0 0 233 0 0 0 446 0
0 149 0 0 393 0 0 0 969
475 408 151 989 0 117 0 0 0 0 0 0 809 0 0
322 0 0 0 264 12 941 0 0 0 0
0 141 106 287 140 664 795 0 982 826 267 796 0 0 0 518 0 913
235 297 0 0 0 0 0 810 0 865 0 0 583
687 0 437 0 860 931 0 0 518 0 0 0 506
0 0 118 367 0 0 440 432 926 0 0 0

0 1 2
0 1 3
0 1 4
0 2 0
0 2 1
0 3 3
0 3 6
0 3 8
0 4 0
0 4 4
0 4 6
0 5 1
0 5 7
0 7 3
0 7 4
0 7 5
0 7 8
0 8 0
0 8 4
1 0 6
1 0 8
1 0 14
1 1 1
1 1 3
1 1 6
1 1 8
1 2 6
1 2 7
1 2 8
1 3 14
1 4 1
1 4 6
1 4 7
1 4 8
1 4 9
1 5 4
1 5 13
1 5 14
1 6 3
1 6 4
1 6 12
1 6 14
1 7 4
1 7 14
1 8 2
1 8 4
1 8 11
1 8 13
2 0 3
2 1 10
2 2 0
2 2 3
2 2 6
2 3 5
2 3 8
2 4 0
2 4 8
2 6 6
2 6 7
2 7 3
2 7 4
2 7 5
2 7 7
2 8 1
2 9 0
2 9 10
2 10 2
2 10 9
2 12 8
2 12 10
2 13 6
2 14 4
2 14 10
3 0 3
3 0 9
3 1 7
3 1 9
3 1 12
3 2 3
3 2 13
3 2 14
3 3 4
3 3 6
3 3 7
3 3 8
3 3 11
3 4 1
3 4 5
3 4 10
3 4 17
3 5 3
3 5 7
3 5 8
3 5 9
3 6 3
3 6 4
3 6 12
3 6 16
3 7 3
3 7 17
3 8 0
3 8 5
3 8 8
3 8 14
3 9 14
3 9 15
3 10 4
3 10 8
3 10 9
3 10 10
3 10 17
4 0 3
4 1 1
4 1 4
4 1 6
4 2 3
4 2 6
4 2 9
4 2 11
4 3 9
4 3 11
4 4 9
4 4 12
4 5 5
4 5 11
4 6 7
4 7 0
4 7 3
4 8 11
4 9 5
4 9 8
4 9 11
4 10 10
4 11 1
4 11 2
4 11 8
4 11 9
4 12 9
4 12 11
4 13 0
4 13 6
4 14 1
4 14 6
4 15 0
4 15 1
4 15 4
4 15 10
4 16 1
4 16 4
4 16 5
4 16 11
4 17 4
4 17 9
5 0 0
5 0 7
5 0 12
5 1 1
5 1 2
5 1 5
5 1 6
5 1 7
5 1 8
5 1 12
5 2 1
5 2 2
5 2 6
5 2 7
5 3 10
5 3 11
5 4 0
5 4 7
5 5 1
5 5 7
5 5 9
5 5 10
5 6 1
5 6 2
5 6 4
5 6 10
5 7 0
5 7 1
5 7 5
5 7 7
5 7 10
5 8 2
5 8 4
5 9 3
5 9 10
5 9 11
5 10 2
5 10 11
5 11 2
5 11 7
5 11 9
5 12 1
5 12 4
6 0 4
6 0 5
6 0 6
6 0 7
6 1 5
6 2 2
6 2 4
6 3 0
6 3 9
6 4 6
6 4 7
6 6 3
6 6 10
6 7 6
6 8 1
6 8 2
6 8 3
6 8 7
6 8 8
6 8 9
6 9 3
6 9 7
6 10 0
6 10 7
6 11 0
6 11 2
6 11 5
6 11 7
6 12 1
6 12 6
6 12 9
