991
10
8 8 8 8 8 8 8 8 8 8
230

0 0 249 109 0 780 582 0
463 0 264 79 921 1023 213 447
0 208 0 543 17 918 930 736
0 350 0 137 657 649 466 466
0 295 409 1005 462 890 273 0
632 287 638 834 685 851 1021 550
1010 929 678 931 798 905 579 875
36 781 877 628 143 913 523 407
0 561 927 911 1006 0 414 116
243 0 86 862 539 984 0 0

0 1 2
0 1 4
0 2 0
0 2 1
0 2 2
0 2 6
0 3 1
0 3 2
0 3 4
0 3 5
0 4 0
0 4 1
0 4 3
0 5 2
0 5 4
0 5 5
0 5 6
0 6 0
0 6 1
0 7 1
0 7 3
0 7 4
0 7 5
1 0 5
1 0 6
1 1 0
1 1 1
1 1 3
1 1 4
1 1 5
1 2 1
1 2 4
1 3 0
1 3 1
1 3 5
1 3 6
1 4 0
1 4 1
1 4 3
1 4 5
1 4 6
1 4 7
1 5 1
1 5 4
1 5 5
1 6 0
1 6 3
1 6 5
1 6 7
1 7 0
1 7 2
1 7 3
1 7 5
2 0 1
2 0 5
2 1 1
2 1 2
2 1 3
2 2 5
2 3 0
2 3 1
2 3 2
2 3 3
2 3 7
2 4 3
2 4 5
2 4 7
2 5 2
2 5 5
2 5 7
2 6 2
2 6 6
2 7 2
2 7 4
3 0 1
3 0 2
3 0 6
3 1 0
3 1 1
3 1 3
3 1 4
3 2 0
3 2 4
3 2 6
3 3 0
3 3 4
3 3 6
3 4 4
3 4 5
3 4 6
3 5 1
3 5 3
3 5 4
3 6 0
3 6 2
3 6 4
3 6 7
3 7 0
3 7 1
3 7 4
3 7 6
4 0 1
4 0 2
4 0 3
4 0 5
4 1 0
4 1 1
4 1 2
4 1 3
4 2 0
4 2 4
4 2 6
4 2 7
4 3 1
4 3 2
4 3 3
4 3 4
4 3 5
4 3 6
4 3 7
4 4 0
4 4 1
4 4 4
4 4 6
4 4 7
4 5 1
4 5 2
4 5 6
4 5 7
4 6 1
4 6 4
4 6 5
4 7 3
4 7 5
4 7 7
5 0 0
5 0 2
5 0 4
5 0 5
5 1 4
5 2 4
5 2 5
5 3 1
5 3 2
5 3 3
5 3 4
5 4 0
5 4 1
5 4 4
5 4 6
5 5 4
5 6 3
5 7 0
5 7 2
5 7 5
5 7 6
5 7 7
6 0 2
6 0 7
6 1 1
6 1 3
6 1 4
6 1 6
6 1 7
6 2 0
6 2 2
6 2 7
6 3 1
6 3 2
6 3 5
6 3 6
6 4 5
6 4 6
6 5 0
6 6 2
6 6 5
6 6 7
6 7 4
6 7 6
6 7 7
7 0 0
7 0 4
7 1 2
7 1 3
7 1 4
7 1 6
7 2 0
7 2 1
7 2 3
7 2 7
7 3 0
7 3 2
7 3 3
7 3 5
7 4 4
7 4 7
7 5 0
7 5 3
7 5 6
7 6 1
7 6 4
7 6 5
7 7 0
7 7 1
7 7 4
7 7 5
7 7 6
7 7 7
8 0 7
8 1 1
8 2 1
8 2 2
8 2 4
8 2 5
8 2 6
8 3 2
8 3 4
8 4 0
8 4 1
8 4 4
8 4 5
8 5 2
8 5 4
8 6 1
8 6 6
8 7 0
8 7 2
8 7 3
8 7 6
8 7 7
