index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,88.1481,0.250999,1
1,8,256,375,85.75,0.175667,1
2,8,256,375,93.125,0.397728,1
3,8,256,375,84.9111,0.250602,1
4,8,256,375,66.625,0.173057,1
5,6,217,618,89.4455,4.12216,1
6,6,217,618,117.556,0.650622,1
7,6,217,618,78.9397,3.60266,1
8,6,217,618,90.9286,4.66363,1
9,6,217,618,111.649,0.464664,1
10,8,119,1023,92.0336,0.732435,1
11,8,119,1023,67.6887,110.564,1
12,8,119,1023,99.5496,0.646004,1
13,8,119,1023,68.7895,0.463153,1
14,8,119,1023,82.0924,0.523741,1
15,4,221,359,117.231,0.26513,1
16,4,221,359,150.3,0.0744768,1
17,4,221,359,161,0.0678689,1
18,4,221,359,121.545,0.146312,1
19,4,221,359,132.933,0.195012,1
20,6,270,1053,72.5405,1.35051,1
21,6,270,1053,77.4158,134.785,1
22,6,270,1053,108.487,17.6292,1
23,6,270,1053,95.8592,133.179,1
24,6,270,1053,81.5556,186.572,1
25,8,173,395,98.2708,0.682202,1
26,8,173,395,118.961,2.9396,1
27,8,173,395,88.4306,1.68516,1
28,8,173,395,99.3118,0.866353,1
29,8,173,395,83.5152,0.482178,1
30,5,207,688,85.2778,1.11814,1
31,5,207,688,97.2778,0.937999,1
32,5,207,688,69.1111,7.68662,1
33,5,207,688,62.6036,6.71224,1
34,5,207,688,71.7656,0.742699,1
35,6,212,259,91.5111,0.190897,1
36,6,212,259,98,0.125544,1
37,6,212,259,117,0.109174,1
38,6,212,259,110.091,0.0727788,1
39,6,212,259,90.3036,0.176063,1
40,7,163,1237,61.5667,3.30485,1
41,7,163,1237,54.3861,43.9491,1
42,7,163,1237,97.327,0.866154,1
43,7,163,1237,60.179,34.7996,1
44,7,163,1237,55,3.32707,1
45,4,201,778,90.4019,2.02103,1
46,4,201,778,86.2957,13.0271,1
47,4,201,778,75.9565,0.682685,1
48,4,201,778,101.831,3.39198,1
49,4,201,778,101.083,0.587535,1
50,10,140,1410,65.4071,0.4124,1
51,10,140,1410,54.8571,1.34462,1
52,10,140,1410,73.3037,0.944968,1
53,10,140,1410,81.0286,0.484298,1
54,10,140,1410,56.8489,0.587524,1
55,8,171,972,76.2096,3.8117,1
56,8,171,972,78.7237,1.93742,1
57,8,171,972,66.7226,2.24316,1
58,8,171,972,73.2797,264.012,1
59,8,171,972,75.1132,1.4722,1
60,5,161,1204,66.25,0.508354,1
61,5,161,1204,61.8535,2.32373,1
62,5,161,1204,59.4305,14.058,1
63,5,161,1204,67.9615,6.59678,1
64,5,161,1204,80.242,2.29722,1
65,9,223,783,100.994,19.8832,1
66,9,223,783,110.076,38.1964,1
67,9,223,783,92.3974,12.0854,1
68,9,223,783,97.6276,5.59029,1
69,9,223,783,91.8596,9.5565,1
70,7,245,1228,80.3653,42.7825,1
71,7,245,1228,70.0393,218.679,1
72,7,245,1228,70.1611,300.181,0
73,7,245,1228,90.1214,26.2161,1
74,7,245,1228,70.1842,61.924,1
75,7,238,785,75.7727,8.10417,1
76,7,238,785,59.0118,16.9943,1
77,7,238,785,66.0853,12.6383,1
78,7,238,785,72.9508,1.49768,1
79,7,238,785,58.6034,40.0698,1
80,10,149,1137,62.7877,0.876097,1
81,10,149,1137,91.1342,0.633589,1
82,10,149,1137,61.5946,0.545231,1
83,10,149,1137,78.6138,0.738318,1
84,10,149,1137,68.9716,34.5105,1
85,8,278,1244,64.3605,300.143,0
86,8,278,1244,56.1877,196.676,1
87,8,278,1244,76.1719,113.776,1
88,8,278,1244,70.1588,300.3,0
89,8,278,1244,75.8298,80.2833,1
90,9,149,1403,55.2282,62.6056,1
91,9,149,1403,86.331,0.960929,1
92,9,149,1403,76.1745,0.0754981,1
93,9,149,1403,81.7047,0.729224,1
94,9,149,1403,55.0222,0.671326,1
95,6,157,705,64.7051,3.76479,1
96,6,157,705,80.119,3.02142,1
97,6,157,705,100,7.31696,1
98,6,157,705,61.1616,12.199,1
99,6,157,705,93.7848,3.73856,1
100,6,267,698,79.0924,7.0905,1
101,6,267,698,94.0133,3.69364,1
102,6,267,698,63.5182,14.9014,1
103,6,267,698,109.333,0.883255,1
104,6,267,698,92.881,0.680417,1
105,7,290,1221,60.3333,300.158,0
106,7,290,1221,87.8273,26.4927,1
107,7,290,1221,65.9628,112.977,1
108,7,290,1221,81.2949,23.3809,1
109,7,290,1221,84.5156,300.352,0
110,7,233,1106,63.8776,300.405,0
111,7,233,1106,100.204,8.89037,1
112,7,233,1106,88.3279,10.0098,1
113,7,233,1106,78.9662,12.7749,1
114,7,233,1106,82.1041,49.793,1
115,10,251,252,12.9216,0.0290523,1
116,10,251,252,90.0968,0.29764,1
117,10,251,252,60.9259,0.0300054,1
118,10,251,252,81.3846,0.034155,1
119,10,251,252,78.4783,0.0785524,1
120,10,142,1445,76.8451,0.49511,1
121,10,142,1445,87.3099,2.03977,1
122,10,142,1445,74.2747,0.766871,1
123,10,142,1445,88.0986,0.639977,1
124,10,142,1445,91.8273,0.51021,1
125,9,199,1030,86.9728,14.0027,1
126,9,199,1030,86.522,9.09403,1
127,9,199,1030,64.3314,80.7055,1
128,9,199,1030,57.7426,21.4362,1
129,9,199,1030,88.8982,5.56773,1
130,7,231,1389,65.6498,66.3863,1
131,7,231,1389,86.2664,1.11461,1
132,7,231,1389,95.0887,13.7404,1
133,7,231,1389,86.8367,11.5131,1
134,7,231,1389,81.3676,10.1349,1
135,8,295,782,101.639,94.2701,1
136,8,295,782,80.4083,29.6823,1
137,8,295,782,88.6786,7.13882,1
138,8,295,782,72.8082,28.7573,1
139,8,295,782,84.4914,5.15644,1
140,6,241,990,71.3861,20.4423,1
141,6,241,990,96.2611,96.6837,1
142,6,241,990,108.941,37.59,1
