index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,140,0.133501,1
1,8,256,375,147.583,0.15854,1
2,8,256,375,150.059,0.268386,1
3,8,256,375,124.9,0.285412,1
4,8,256,375,136,0.109129,1
5,6,217,618,156.463,3.16989,1
6,6,217,618,256.7,0.212226,1
7,6,217,618,139.972,1.05292,1
8,6,217,618,130.196,3.84724,1
9,6,217,618,253.917,0.132712,1
10,8,119,1023,106.537,20.8086,1
11,8,119,1023,76.0137,60.1108,0
12,8,119,1023,110.659,1.52679,1
13,8,119,1023,81.8434,5.62653,1
14,8,119,1023,96.2043,60.2349,0
15,4,221,359,186.545,0.171968,1
16,4,221,359,175,0.134738,1
17,4,221,359,309.167,0.125302,1
18,4,221,359,201.571,0.164324,1
19,4,221,359,199.4,0.126919,1
20,6,270,1053,168.8,0.761724,1
21,6,270,1053,127.261,8.87937,1
22,6,270,1053,191.85,1.34416,1
23,6,270,1053,153.597,7.56116,1
24,6,270,1053,143.86,5.8029,1
25,8,173,395,169.312,0.285181,1
26,8,173,395,161.816,0.36642,1
27,8,173,395,127.059,0.870099,1
28,8,173,395,147.324,0.47651,1
29,8,173,395,153.5,0.264137,1
30,5,207,688,173.08,1.02757,1
31,5,207,688,181.217,0.412378,1
32,5,207,688,170.65,0.470435,1
33,5,207,688,114.667,0.571842,1
34,5,207,688,106.407,0.8181,1
35,6,212,259,162.667,0.0861351,1
36,6,212,259,170.8,0.0837769,1
37,6,212,259,165.364,0.120823,1
38,6,212,259,151.111,0.0458934,1
39,6,212,259,139.667,0.116207,1
40,7,163,1237,86.7119,6.73998,1
41,7,163,1237,84.7924,60.2473,0
42,7,163,1237,127.142,8.45619,1
43,7,163,1237,89.0946,60.1797,0
44,7,163,1237,78.6267,13.0156,1
45,4,201,778,183.471,0.567229,1
46,4,201,778,190.846,2.14208,1
47,4,201,778,126.222,2.37514,1
48,4,201,778,188.364,0.958971,1
49,4,201,778,191.846,1.12956,1
50,10,140,1410,70.6992,59.2513,1
51,10,140,1410,57.9695,17.9602,1
52,10,140,1410,81.4444,60.2064,0
53,10,140,1410,85.9846,11.6571,1
54,10,140,1410,63.3445,60.0672,0
55,8,171,972,109.914,6.04932,1
56,8,171,972,98.4216,22.2579,1
57,8,171,972,96.8714,13.8464,1
58,8,171,972,93.4458,8.83361,1
59,8,171,972,92.8529,60.17,0
60,5,161,1204,84.3418,18.7861,1
61,5,161,1204,100.784,7.89453,1
62,5,161,1204,102.186,3.94534,1
63,5,161,1204,95.2581,2.09757,1
64,5,161,1204,122.153,18.0104,1
65,9,223,783,145.6,7.82974,1
66,9,223,783,171.487,5.93752,1
67,9,223,783,144.333,12.2956,1
68,9,223,783,148.13,12.6118,1
69,9,223,783,171.423,1.30027,1
70,7,245,1228,141.688,14.9102,1
71,7,245,1228,113.871,7.1816,1
72,7,245,1228,158.774,20.0656,1
73,7,245,1228,157.114,34.2955,1
74,7,245,1228,104.692,5.53119,1
75,7,238,785,136.026,5.09272,1
76,7,238,785,113.19,1.35364,1
77,7,238,785,123,2.36797,1
78,7,238,785,127,0.593909,1
79,7,238,785,96.6208,3.93786,1
80,10,149,1137,69.8908,60.071,0
81,10,149,1137,117.701,5.36565,1
82,10,149,1137,70.2845,25.5759,1
83,10,149,1137,95.4253,6.24251,1
84,10,149,1137,93.1233,60.1819,0
85,8,278,1244,123.419,17.4012,1
86,8,278,1244,95.12,5.61187,1
87,8,278,1244,145.027,3.13347,1
88,8,278,1244,125.097,43.4377,1
89,8,278,1244,108.579,60.1084,0
90,9,149,1403,60.1321,60.1078,0
91,9,149,1403,100.318,16.2625,1
92,9,149,1403,83.1393,60.1096,0
93,9,149,1403,95.2162,22.0454,1
94,9,149,1403,67.5824,5.84755,1
95,6,157,705,116.528,3.78087,1
96,6,157,705,129.069,0.535074,1
97,6,157,705,131.646,1.44514,1
98,6,157,705,117.481,5.91625,1
99,6,157,705,154.636,0.708666,1
100,6,267,698,149.163,1.22737,1
101,6,267,698,153.6,0.75904,1
102,6,267,698,105.242,4.3066,1
