index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,54.255,0.00162953,1
1,8,256,375,51.7143,0.00166048,1
2,8,256,375,59.9907,0.00171042,1
3,8,256,375,46.2939,0.00171272,1
4,8,256,375,38.6614,0.00164748,1
5,6,217,618,70.5305,0.00238685,1
6,6,217,618,72.5185,0.00236512,1
7,6,217,618,64.1557,0.00234308,1
8,6,217,618,68.0279,0.00233588,1
9,6,217,618,71.783,0.0023842,1
10,8,119,1023,92.0336,0.00305464,1
11,8,119,1023,66.6723,0.00312719,1
12,8,119,1023,99.2185,0.00323154,1
13,8,119,1023,68.4622,0.00316184,1
14,8,119,1023,82.0924,0.00313957,1
15,4,221,359,60.985,0.00172571,1
16,4,221,359,56.9353,0.00178229,1
17,4,221,359,84.8061,0.00164756,1
18,4,221,359,53.6947,0.00169611,1
19,4,221,359,54,0.00166782,1
20,6,270,1053,50.0481,0.0038612,1
21,6,270,1053,71.7313,0.00358608,1
22,6,270,1053,91.1007,0.0036749,1
23,6,270,1053,89.097,0.00353989,1
24,6,270,1053,72.5911,0.00370602,1
25,8,173,395,65.2606,0.00160644,1
26,8,173,395,84.1548,0.00164829,1
27,8,173,395,72.7245,0.00165135,1
28,8,173,395,69.2927,0.00163191,1
29,8,173,395,59.1059,0.00162442,1
30,5,207,688,59.6845,0.00252125,1
31,5,207,688,62.4686,0.00252443,1
32,5,207,688,56.4709,0.00251667,1
33,5,207,688,53.4251,0.00250585,1
34,5,207,688,46.3756,0.00252418,1
35,6,212,259,50.4969,0.00132477,1
36,6,212,259,39.5533,0.00125303,1
37,6,212,259,50.0059,0.00129964,1
38,6,212,259,55.6923,0.00120678,1
39,6,212,259,55.411,0.00129705,1
40,7,163,1237,59.816,0.00390193,1
41,7,163,1237,53.8528,0.00401095,1
42,7,163,1237,97.0429,0.00386798,1
43,7,163,1237,60.0061,0.00382776,1
44,7,163,1237,54.9693,0.00380381,1
45,4,201,778,78.5427,0.00273139,1
46,4,201,778,71.835,0.00274264,1
47,4,201,778,57.56,0.00276728,1
48,4,201,778,82.665,0.00275401,1
49,4,201,778,76.5323,0.00271977,1
50,10,140,1410,65.4071,0.00420989,1
51,10,140,1410,54.8571,0.00440768,1
52,10,140,1410,73.2929,0.00407586,1
53,10,140,1410,81.0286,0.00417661,1
54,10,140,1410,56.8214,0.00411582,1
55,8,171,972,75.4854,0.00319224,1
56,8,171,972,75.2398,0.00329474,1
57,8,171,972,65.0819,0.00317793,1
58,8,171,972,65.2807,0.00312637,1
59,8,171,972,72.8012,0.00317852,1
60,5,161,1204,65.4969,0.00374338,1
61,5,161,1204,61.0497,0.00383749,1
62,5,161,1204,58.6211,0.00384161,1
63,5,161,1204,67.7081,0.00372525,1
64,5,161,1204,79.7205,0.00379176,1
65,9,223,783,91.9013,0.00280353,1
66,9,223,783,94.7342,0.00271107,1
67,9,223,783,81.2735,0.00278912,1
68,9,223,783,87.7385,0.002741,1
69,9,223,783,76.4459,0.00278334,1
70,7,245,1228,75.9633,0.00395615,1
71,7,245,1228,65.3429,0.00403736,1
72,7,245,1228,63.5918,0.00427771,1
73,7,245,1228,81.6776,0.00412065,1
74,7,245,1228,64.9918,0.00413552,1
75,7,238,785,67.1807,0.00281116,1
76,7,238,785,52.1345,0.0029362,1
77,7,238,785,56.7149,0.00278874,1
78,7,238,785,54.617,0.0030252,1
79,7,238,785,47.8263,0.00280433,1
80,10,149,1137,62.2617,0.00360263,1
