index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,85.1852,0.00140113,1
1,8,256,375,75.1852,0.00147709,1
2,8,256,375,93.125,0.00158883,1
3,8,256,375,79.7368,0.00149281,1
4,8,256,375,66.625,0.00151001,1
5,6,217,618,76.2414,0.00408806,1
6,6,217,618,117.556,0.00520182,1
7,6,217,618,66.625,0.00491636,1
8,6,217,618,71.9706,0.00518207,1
9,6,217,618,108.821,0.00467713,1
10,8,119,1023,50.8723,0.0285938,1
11,8,119,1023,48.022,0.0256446,1
12,8,119,1023,56.1158,0.0224449,1
13,8,119,1023,38.9462,0.0342327,1
14,8,119,1023,41.8778,0.0300479,1
15,4,221,359,117.231,0.00133862,1
16,4,221,359,150.3,0.00130777,1
17,4,221,359,154.583,0.00128153,1
18,4,221,359,109.733,0.00135773,1
19,4,221,359,103.8,0.00138849,1
20,6,270,1053,71.5143,0.0142329,1
21,6,270,1053,68.4146,0.0126346,1
22,6,270,1053,90.1333,0.0124213,1
23,6,270,1053,71.0233,0.0120642,1
24,6,270,1053,64.8085,0.0117215,1
25,8,173,395,79.7297,0.00273972,1
26,8,173,395,109.583,0.00362873,1
27,8,173,395,82.1034,0.00352788,1
28,8,173,395,72.7188,0.00247011,1
29,8,173,395,83.5152,0.00284388,1
30,5,207,688,85.2778,0.00481915,1
31,5,207,688,84.1143,0.00490658,1
32,5,207,688,59.68,0.00524451,1
33,5,207,688,54.2353,0.00511863,1
34,5,207,688,68.2895,0.00471745,1
35,6,212,259,71.0667,0.000947753,1
36,6,212,259,73.9091,0.000932624,1
37,6,212,259,82.375,0.000949586,1
38,6,212,259,90.6667,0.000858273,1
39,6,212,259,87.5833,0.000964474,1
40,7,163,1237,43.1905,0.0393937,1
41,7,163,1237,31.9195,0.0533398,1
42,7,163,1237,56.6742,0.0404814,1
43,7,163,1237,35.3421,0.0465813,1
44,7,163,1237,36.5946,0.0446485,1
45,4,201,778,73.25,0.00442956,1
46,4,201,778,82.6364,0.00478327,1
47,4,201,778,75.9565,0.00447328,1
48,4,201,778,87.9333,0.00433738,1
49,4,201,778,101.083,0.00439815,1
50,10,140,1410,37.9457,0.0394228,1
51,10,140,1410,27.126,0.0447425,1
52,10,140,1410,42.2734,0.0342891,1
53,10,140,1410,42.3889,0.0489395,1
54,10,140,1410,32.7109,0.0381109,1
55,8,171,972,51.4026,0.0286345,1
56,8,171,972,43.6812,0.0317554,1
57,8,171,972,40.1899,0.0286574,1
58,8,171,972,54.9857,0.0288701,1
59,8,171,972,45.6444,0.0288323,1
60,5,161,1204,38.7377,0.0222143,1
61,5,161,1204,40.375,0.0220946,1
62,5,161,1204,35.7541,0.0254363,1
63,5,161,1204,49.0563,0.0197646,1
64,5,161,1204,40.2453,0.0252028,1
65,9,223,783,70.2857,0.0129611,1
66,9,223,783,84.7018,0.0137558,1
67,9,223,783,60.2692,0.0129755,1
68,9,223,783,73.6724,0.0133737,1
69,9,223,783,72.3269,0.0149329,1
70,7,245,1228,56.2903,0.023132,1
71,7,245,1228,63.8545,0.0309294,1
72,7,245,1228,55.1132,0.0308883,1
73,7,245,1228,55.4821,0.0279263,1
74,7,245,1228,54.4286,0.0279563,1
75,7,238,785,66.1905,0.00785758,1
76,7,238,785,56.4211,0.00849136,1
77,7,238,785,61.4359,0.00925734,1
78,7,238,785,69.551,0.0104079,1
79,7,238,785,53.5897,0.00892597,1
80,10,149,1137,32.2342,0.0433145,1
81,10,149,1137,46.9223,0.0478777,1
82,10,149,1137,36.8824,0.0471641,1
83,10,149,1137,48.7232,0.0430453,1
84,10,149,1137,40.2451,0.0525048,1
85,8,278,1244,52.0333,0.0269517,1
86,8,278,1244,45.9831,0.0297306,1
87,8,278,1244,73.3585,0.0288697,1
88,8,278,1244,52.3492,0.0341616,1
89,8,278,1244,53.5455,0.0289024,1
90,9,149,1403,33.9528,0.0606574,1
91,9,149,1403,44.8729,0.0463073,1
92,9,149,1403,38.8208,0.0511067,1
93,9,149,1403,38.3097,0.0537684,1
94,9,149,1403,31.8699,0.0495376,1
95,6,157,705,62.7805,0.00999727,1
96,6,157,705,53.5957,0.0117867,1
97,6,157,705,63.0426,0.00969999,1
98,6,157,705,55.1463,0.00866355,1
99,6,157,705,88.95,0.0104651,1
100,6,267,698,67.3125,0.00495464,1
101,6,267,698,92.3571,0.00524331,1
102,6,267,698,48.2857,0.004652,1
103,6,267,698,97.2632,0.00467798,1
104,6,267,698,83.2222,0.00497853,1
105,7,290,1221,50.4082,0.0208839,1
106,7,290,1221,70.6604,0.0201554,1
107,7,290,1221,63.2308,0.0224725,1
108,7,290,1221,71.2909,0.0237065,1
109,7,290,1221,67.1951,0.0233227,1
110,7,233,1106,55.2759,0.0225131,1
111,7,233,1106,66.5806,0.0260402,1
112,7,233,1106,69.5161,0.0228314,1
113,7,233,1106,45.1094,0.0238524,1
114,7,233,1106,61.8868,0.0239085,1
115,10,251,252,11.6087,0.000837833,1
116,10,251,252,77.3333,0.000932473,1
117,10,251,252,60.9259,0.000914699,1
118,10,251,252,81.3846,0.00078344,1
119,10,251,252,71.4762,0.00084146,1
120,10,142,1445,37.3603,0.0471252,1
121,10,142,1445,44.6744,0.0421741,1
122,10,142,1445,43.1119,0.0398944,1
123,10,142,1445,43.9008,0.0395851,1
124,10,142,1445,43.5078,0.0492329,1
125,9,199,1030,81.9324,0.0296998,1
126,9,199,1030,52.6522,0.0250043,1
127,9,199,1030,44.6711,0.0275189,1
128,9,199,1030,50.8148,0.0275186,1
129,9,199,1030,57.4458,0.0370477,1
130,7,231,1389,43.8133,0.0367696,1
131,7,231,1389,56.1333,0.0347115,1
132,7,231,1389,71.6418,0.0450231,1
133,7,231,1389,64.4286,0.0438903,1
134,7,231,1389,53.481,0.0351566,1
135,8,295,782,101.639,0.00800783,1
136,8,295,782,73.2,0.00775581,1
137,8,295,782,84.5135,0.00823216,1
138,8,295,782,69.425,0.00928547,1
139,8,295,782,83.6,0.00631921,1
140,6,241,990,52.6389,0.0136193,1
141,6,241,990,61.7727,0.0118823,1
142,6,241,990,83.7907,0.012416,1
143,6,241,990,75.7429,0.0121662,1
144,6,241,990,61.6,0.0137017,1
145,10,210,961,58.9839,0.0331397,1
146,10,210,961,60.5652,0.0310541,1
147,10,210,961,56.6119,0.0292658,1
148,10,210,961,47.7206,0.0265808,1
149,10,210,961,66.3735,0.0294807,1
150,5,234,1284,51.18,0.0181473,1
151,5,234,1284,62.102,0.0249806,1
152,5,234,1284,66.0238,0.0186505,1
153,5,234,1284,70.1333,0.0166878,1
154,5,234,1284,45.25,0.0187915,1
155,4,147,446,95,0.00199731,1
156,4,147,446,165.667,0.00231166,1
157,4,147,446,68,0.00223497,1
158,4,147,446,84.2,0.00208873,1
159,4,147,446,93.5789,0.00200698,1
160,3,172,1267,63.3333,0.00754191,1
161,3,172,1267,56.3235,0.00936593,1
162,3,172,1267,54.2273,0.00805431,1
163,3,172,1267,42.3514,0.0072724,1
164,3,172,1267,48.4333,0.00785322,1
165,9,168,1163,46.8152,0.0555451,1
166,9,168,1163,45.1818,0.050354,1
167,9,168,1163,50.6304,0.0423367,1
168,9,168,1163,33.9528,0.0435724,1
169,9,168,1163,43.0745,0.0506821,1
170,6,283,1328,78.8,0.0231325,1
171,6,283,1328,79,0.0199192,1
172,6,283,1328,77.3,0.0192882,1
173,6,283,1328,68.6809,0.0198348,1
174,6,283,1328,62.6757,0.0222328,1
175,4,114,689,41.8378,0.00581557,1
176,4,114,689,49.1795,0.00608048,1
177,4,114,689,58.1143,0.00630433,1
178,4,114,689,71.4474,0.00638669,1
179,4,114,689,52.15,0.00612362,1
180,4,258,1068,89.8421,0.00677146,1
181,4,258,1068,86.9286,0.00761973,1
182,4,258,1068,68.0833,0.00732709,1
183,4,258,1068,59.6129,0.00670896,1
184,4,258,1068,71.4074,0.00785024,1
185,10,281,305,58.9,0.001186,1
186,10,281,305,54.0556,0.00100579,1
187,10,281,305,82.7143,0.00105155,1
188,10,281,305,51.625,0.000999311,1
189,10,281,305,73.2273,0.00105746,1
190,4,188,1297,49.9688,0.0133174,1
191,4,188,1297,45.1778,0.0147565,1
192,4,188,1297,53.5652,0.0131907,1
193,4,188,1297,52.2162,0.0155217,1
194,4,188,1297,55.375,0.0132147,1
195,6,204,223,63.6154,0.000806384,1
196,6,204,223,122,0.000721131,1
197,6,204,223,195.6,0.000810011,1
198,6,204,223,122.357,0.000763302,1
199,6,204,223,133.067,0.000775294,1
200,8,106,692,59.0986,0.0137434,1
201,8,106,692,54.2346,0.0173509,1
202,8,106,692,28.507,0.0155068,1
203,8,106,692,33.1806,0.0162725,1
204,8,106,692,39.5316,0.013566,1
205,6,219,354,81.8636,0.00144014,1
206,6,219,354,100.952,0.00148046,1
207,6,219,354,128.25,0.00145638,1
208,6,219,354,178.789,0.0015535,1
209,6,219,354,73.2667,0.00142914,1
210,5,300,671,128.529,0.00334956,1
211,5,300,671,93.3571,0.00319884,1
212,5,300,671,103.13,0.00298242,1
213,5,300,671,125.6,0.00340036,1
214,5,300,671,114.882,0.0037956,1
215,5,258,1298,55.2857,0.0157693,1
216,5,258,1298,38.6607,0.0185301,1
217,5,258,1298,51.4375,0.0188279,1
218,5,258,1298,48.3056,0.016507,1
219,5,258,1298,60.8542,0.0161998,1
220,9,138,986,45.3409,0.0361906,1
221,9,138,986,52.8958,0.0360198,1
222,9,138,986,26.3861,0.0308795,1
223,9,138,986,35.3333,0.0321237,1
224,9,138,986,44.6196,0.0361568,1
225,8,183,310,146,0.00173528,1
226,8,183,310,122.182,0.00165892,1
227,8,183,310,67,0.00161444,1
228,8,183,310,102.452,0.00162502,1
229,8,183,310,42.7727,0.00110665,1
230,6,132,1130,55.2394,0.0274335,1
231,6,132,1130,38.9012,0.0281454,1
232,6,132,1130,46.5783,0.0293291,1
233,6,132,1130,46.7416,0.0401268,1
234,6,132,1130,30.6364,0.0265823,1
235,9,155,488,67.25,0.00737048,1
236,9,155,488,90.3415,0.00859934,1
237,9,155,488,41.3478,0.00586271,1
238,9,155,488,51.9787,0.00660231,1
239,9,155,488,56.449,0.00608191,1
240,3,240,901,72.8824,0.0035342,1
241,3,240,901,71.2609,0.00411293,1
242,3,240,901,114.4,0.00405619,1
243,3,240,901,76.8462,0.00388543,1
244,3,240,901,93.5714,0.00331478,1
245,9,136,359,50.7059,0.0037703,1
246,9,136,359,88.6591,0.00376374,1
247,9,136,359,74.4444,0.00356371,1
248,9,136,359,72.5455,0.00453401,1
249,9,136,359,61.7179,0.00367974,1
250,10,108,899,54.9074,0.00368379,1
251,10,108,1048,51.7963,0.00473552,1
252,10,108,934,49.6944,0.00389867,1
253,10,108,1039,41.9722,0.00466146,1
254,10,108,1076,40.1204,0.00499393,1
255,10,215,693,60.5833,0.0120354,1
256,10,215,693,66.6545,0.0123973,1
257,10,215,693,66.4894,0.0112048,1
258,10,215,693,69.875,0.0129023,1
259,10,215,693,51.2292,0.0113457,1
260,4,147,1004,31.1964,0.0106211,1
261,4,147,1004,56.7381,0.00973124,1
262,4,147,1004,48.4884,0.00951299,1
263,4,147,1004,51.3878,0.0114959,1
264,4,147,1004,46.6333,0.0113746,1
265,7,243,1160,57.6719,0.0240365,1
266,7,243,1160,64.9677,0.024207,1
267,7,243,1160,78.1429,0.0246782,1
268,7,243,1160,57.7143,0.0251468,1
269,7,243,1160,70.6129,0.0236031,1
270,9,294,417,75.8333,0.00163491,1
271,9,294,417,89.0667,0.00169554,1
272,9,294,417,113.844,0.00174536,1
273,9,294,417,65.9259,0.00143982,1
274,9,294,417,87.6,0.00166604,1
275,10,100,601,81.561,0.0117548,1
276,10,100,601,31.5476,0.0120389,1
277,10,100,601,58.6667,0.0116683,1
278,10,100,601,45.9103,0.0121855,1
279,10,100,601,57.3457,0.00856647,1
280,5,278,258,74.6429,0.00106348,1
281,5,278,258,156.375,0.00114825,1
282,5,278,258,322.333,0.00103873,1
283,5,278,258,121.833,0.00113408,1
284,5,278,258,170.5,0.00110151,1
285,10,212,621,67.5645,0.00964375,1
286,10,212,621,59,0.00996735,1
287,10,212,621,50.9565,0.00820826,1
288,10,212,621,58.9556,0.00785297,1
289,10,212,621,45.0784,0.0107461,1
290,10,128,1276,39.4569,0.0306829,1
291,10,128,1276,57.1417,0.023113,1
292,10,128,1276,45.9752,0.0233968,1
293,10,128,1276,52.5276,0.0156605,1
294,10,128,1276,54.2605,0.022567,1
295,5,236,878,66.25,0.00726091,1
296,5,236,878,54.75,0.0066065,1
297,5,236,878,82.6296,0.00662711,1
298,5,236,878,76.3529,0.00788745,1
299,5,236,878,93.5,0.00802108,1
300,7,154,806,68.0923,0.0196273,1
