index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,135.294,0.000597677,1
1,8,256,375,119.412,0.000634396,1
2,8,256,375,129.929,0.000659184,1
3,8,256,375,121.389,0.000626341,1
4,8,256,375,133.417,0.000581747,1
5,6,217,618,122.833,0.00111417,1
6,6,217,618,256.7,0.00119917,1
7,6,217,618,125.412,0.00109804,1
8,6,217,618,122.35,0.00119,1
9,6,217,618,253.917,0.00115585,1
10,8,119,1023,80.5667,0.00355817,1
11,8,119,1023,66.3881,0.00320492,1
12,8,119,1023,72.8611,0.00291289,1
13,8,119,1023,52.5,0.00400417,1
14,8,119,1023,64.5893,0.00322094,1
15,4,221,359,169.429,0.000495999,1
16,4,221,359,167,0.000480841,1
17,4,221,359,309.167,0.000461784,1
18,4,221,359,182.889,0.000473089,1
19,4,221,359,163.1,0.000488849,1
20,6,270,1053,166.867,0.00235232,1
21,6,270,1053,122.526,0.00210499,1
22,6,270,1053,190.8,0.00224107,1
23,6,270,1053,139.565,0.00202581,1
24,6,270,1053,122.875,0.00233629,1
25,8,173,395,169.312,0.000916382,1
26,8,173,395,149.222,0.00110593,1
27,8,173,395,126.118,0.00107825,1
28,8,173,395,118.059,0.000957551,1
29,8,173,395,145.053,0.00102405,1
30,5,207,688,141.429,0.00106387,1
31,5,207,688,140.19,0.0010597,1
32,5,207,688,151.1,0.00109269,1
33,5,207,688,97.9091,0.00120409,1
34,5,207,688,103.8,0.00105125,1
35,6,212,259,162.667,0.000397827,1
36,6,212,259,135.5,0.000396664,1
37,6,212,259,156,0.000480694,1
38,6,212,259,151.111,0.000362079,1
39,6,212,259,137.125,0.000406232,1
40,7,163,1237,68.6222,0.0037006,1
41,7,163,1237,59.7073,0.00494128,1
42,7,163,1237,85.6122,0.00440548,1
43,7,163,1237,59.1333,0.00485594,1
44,7,163,1237,56.08,0.00424401,1
45,4,201,778,140.364,0.000913447,1
46,4,201,778,181.8,0.000916515,1
47,4,201,778,119,0.000934769,1
48,4,201,778,164.875,0.000839707,1
49,4,201,778,186.615,0.00092525,1
50,10,140,1410,48.9072,0.00613837,1
51,10,140,1410,33.4608,0.00503311,1
52,10,140,1410,57.8587,0.00489587,1
53,10,140,1410,55.9892,0.00592197,1
54,10,140,1410,40.0865,0.00451335,1
55,8,171,972,102.188,0.00414411,1
56,8,171,972,75.8378,0.00389865,1
57,8,171,972,70.1591,0.00376421,1
58,8,171,972,78.551,0.00390845,1
59,8,171,972,72.3659,0.00398298,1
60,5,161,1204,71.2353,0.0023376,1
61,5,161,1204,75.3667,0.00248721,1
62,5,161,1204,71.7419,0.00274616,1
63,5,161,1204,72.4889,0.00195188,1
64,5,161,1204,90,0.00208509,1
65,9,223,783,141.92,0.00275742,1
66,9,223,783,149.4,0.00261597,1
67,9,223,783,124.818,0.00299899,1
68,9,223,783,116.871,0.00269321,1
69,9,223,783,144.462,0.00292579,1
70,7,245,1228,100.5,0.00355577,1
71,7,245,1228,113.871,0.00369398,1
72,7,245,1228,111.815,0.00403875,1
73,7,245,1228,94.1515,0.00361203,1
74,7,245,1228,86.8621,0.003936,1
75,7,238,785,111.143,0.00186963,1
76,7,238,785,91.1,0.00191118,1
77,7,238,785,108.526,0.00192629,1
78,7,238,785,110.08,0.00201244,1
79,7,238,785,77.4074,0.00192274,1
80,10,149,1137,48.5362,0.0055491,1
81,10,149,1137,73.3125,0.00658456,1
82,10,149,1137,55.5211,0.00555535,1
83,10,149,1137,74.6892,0.00523465,1
84,10,149,1137,71.8448,0.00538798,1
85,8,278,1244,107.724,0.00414273,1
86,8,278,1244,83.5625,0.00463841,1
87,8,278,1244,140.464,0.00424408,1
88,8,278,1244,119.769,0.00482205,1
89,8,278,1244,95,0.00448776,1
90,9,149,1403,49.9861,0.00567589,1
91,9,149,1403,65.325,0.00534584,1
92,9,149,1403,57.8133,0.00574819,1
93,9,149,1403,62.1493,0.00619113,1
94,9,149,1403,49.9231,0.0064066,1
95,6,157,705,95.3333,0.00161411,1
96,6,157,705,111.667,0.00180856,1
97,6,157,705,102.6,0.00176089,1
98,6,157,705,93.2917,0.00157074,1
99,6,157,705,139,0.00170351,1
100,6,267,698,128.75,0.00129973,1
101,6,267,698,153.6,0.00124255,1
102,6,267,698,79.8824,0.00127534,1
103,6,267,698,175.2,0.00117624,1
104,6,267,698,149.8,0.00121373,1
105,7,290,1221,94.4091,0.00319983,1
106,7,290,1221,133.667,0.0035762,1
107,7,290,1221,149.455,0.00363162,1
108,7,290,1221,145.333,0.00365983,1
109,7,290,1221,117.7,0.00344005,1
110,7,233,1106,85.9091,0.00299709,1
111,7,233,1106,130.708,0.00418719,1
112,7,233,1106,142.933,0.00304065,1
113,7,233,1106,86.0345,0.00361891,1
114,7,233,1106,102.393,0.00318607,1
115,10,251,252,16.6875,0.000438884,1
116,10,251,252,136.471,0.00045211,1
117,10,251,252,74.7727,0.000428014,1
118,10,251,252,111.368,0.000410521,1
119,10,251,252,88.8333,0.000444766,1
120,10,142,1445,47.4811,0.00618676,1
121,10,142,1445,57.9293,0.00577294,1
122,10,142,1445,55.7327,0.00430654,1
123,10,142,1445,53.7477,0.00556114,1
124,10,142,1445,54.2857,0.00602513,1
125,9,199,1030,118.882,0.00472216,1
126,9,199,1030,86.5,0.00411421,1
127,9,199,1030,78.1351,0.00403946,1
128,9,199,1030,79.6735,0.00340055,1
129,9,199,1030,110.45,0.00481783,1
130,7,231,1389,82.1951,0.00467514,1
131,7,231,1389,95.75,0.00446332,1
132,7,231,1389,136.867,0.00502075,1
133,7,231,1389,97.1277,0.00471467,1
134,7,231,1389,109.821,0.00450553,1
135,8,295,782,192.579,0.00196486,1
136,8,295,782,123.462,0.00181412,1
137,8,295,782,148.905,0.0021121,1
138,8,295,782,101.2,0.002022,1
139,8,295,782,152,0.00181179,1
140,6,241,990,96.9,0.00224479,1
141,6,241,990,115.19,0.00210473,1
142,6,241,990,144.12,0.00195649,1
143,6,241,990,155.941,0.00211998,1
144,6,241,990,117.684,0.00224498,1
145,10,210,961,101.583,0.00430693,1
146,10,210,961,98.1538,0.00462972,1
147,10,210,961,108.049,0.00458811,1
148,10,210,961,93.2647,0.00493418,1
149,10,210,961,107.119,0.00442159,1
150,5,234,1284,85.3,0.00254637,1
151,5,234,1284,117.207,0.00260637,1
152,5,234,1284,99.0357,0.00212423,1
153,5,234,1284,126.214,0.00211969,1
154,5,234,1284,107.667,0.0025757,1
155,4,147,446,152,0.000536891,1
156,4,147,446,284,0.000545607,1
157,4,147,446,118,0.000568762,1
158,4,147,446,173.4,0.000533193,1
159,4,147,446,197.556,0.000545177,1
160,3,172,1267,104.5,0.000935118,1
161,3,172,1267,89.3077,0.000882589,1
162,3,172,1267,93.2778,0.000860607,1
163,3,172,1267,88.7333,0.000854936,1
164,3,172,1267,91.5625,0.000829307,1
