index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,81.1293,0.179209,1
1,8,256,375,85.6452,0.173281,1
2,8,256,375,81.6914,0.177228,1
3,8,256,375,74.86,0.18507,1
4,8,256,375,58.0145,0.178424,1
5,6,217,618,82.5419,0.154811,1
6,6,217,618,103.455,0.149101,1
7,6,217,618,77.2897,0.153814,1
8,6,217,618,76.0355,0.160142,1
9,6,217,618,108.821,0.170865,1
10,8,119,1023,92.0336,0.0951055,1
11,8,119,1023,67.4872,0.105973,1
12,8,119,1023,99.2185,0.171418,1
13,8,119,1023,68.7778,0.104469,1
14,8,119,1023,82.0924,0.12433,1
15,4,221,359,91.2676,0.12466,1
16,4,221,359,87.7381,0.134052,1
17,4,221,359,122.927,0.128238,1
18,4,221,359,109.733,0.124481,1
19,4,221,359,103.8,0.117655,1
20,6,270,1053,60.5116,0.272856,1
21,6,270,1053,76.7455,0.250542,1
22,6,270,1053,104.866,0.257086,1
23,6,270,1053,95.0844,0.259627,1
24,6,270,1053,79.7919,0.270347,1
25,8,173,395,77.1964,0.0952406,1
26,8,173,395,112.914,0.110424,1
27,8,173,395,79.8583,0.0993815,1
28,8,173,395,93.61,0.0963303,1
29,8,173,395,73.4308,0.101014,1
30,5,207,688,65,0.135908,1
31,5,207,688,84.1143,0.139677,1
32,5,207,688,61.3106,0.136437,1
33,5,207,688,57.9391,0.153594,1
34,5,207,688,55.7083,0.141355,1
35,6,212,259,87.2167,0.115777,1
36,6,212,259,72.5636,0.102718,1
37,6,212,259,81.7808,0.114727,1
38,6,212,259,90.6667,0.105438,1
39,6,212,259,87.4828,0.116596,1
40,7,163,1237,60.1076,0.135093,1
41,7,163,1237,54.3187,0.17613,1
42,7,163,1237,97.327,0.12175,1
43,7,163,1237,60.179,0.149476,1
44,7,163,1237,55,0.144587,1
45,4,201,778,83.8947,0.138726,1
46,4,201,778,78.3987,0.127597,1
47,4,201,778,64.1077,0.126646,1
48,4,201,778,90.708,0.125209,1
49,4,201,778,83.9928,0.121323,1
50,10,140,1410,65.4071,0.239299,1
51,10,140,1410,54.8571,0.31804,1
