index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,121.438,0.150211,1
1,8,256,375,125,0.151139,1
2,8,256,375,130.729,0.153202,1
3,8,256,375,102.622,0.159945,1
4,8,256,375,93,0.146911,1
5,6,217,618,131.08,0.142598,1
6,6,217,618,157.205,0.129537,1
7,6,217,618,131.941,0.140391,1
8,6,217,618,120.526,0.142736,1
9,6,217,618,253.917,0.138303,1
10,8,119,1023,99.8491,0.120525,1
11,8,119,1023,75.6338,0.152463,1
12,8,119,1023,108.521,0.161256,1
13,8,119,1023,77.303,0.144775,1
14,8,119,1023,93.1515,0.137626,1
15,4,221,359,142,0.11693,1
16,4,221,359,175,0.111291,1
17,4,221,359,309.167,0.108357,1
18,4,221,359,199.333,0.114116,1
19,4,221,359,152.65,0.112144,1
20,6,270,1053,81.7391,0.243268,1
21,6,270,1053,109.748,0.230986,1
22,6,270,1053,144.874,0.243037,1
23,6,270,1053,125.235,0.246369,1
24,6,270,1053,116.222,0.257759,1
25,8,173,395,135.625,0.0790332,1
26,8,173,395,130.741,0.0885425,1
27,8,173,395,102.439,0.0871103,1
28,8,173,395,117.951,0.0788357,1
29,8,173,395,126.814,0.0892125,1
30,5,207,688,116.859,0.125561,1
31,5,207,688,171.905,0.134575,1
32,5,207,688,103.586,0.123731,1
33,5,207,688,97.127,0.123527,1
34,5,207,688,97.0976,0.132247,1
35,6,212,259,130.175,0.0995976,1
36,6,212,259,135.5,0.0884618,1
37,6,212,259,123.56,0.0954651,1
38,6,212,259,151.111,0.0910806,1
39,6,212,259,128.818,0.0989897,1
40,7,163,1237,71.2679,0.178807,1
41,7,163,1237,71.4314,0.209417,1
42,7,163,1237,123.417,0.165262,1
43,7,163,1237,80.0459,0.167736,1
44,7,163,1237,75.4868,0.20487,1
45,4,201,778,131.972,0.133364,1
46,4,201,778,136.578,0.127085,1
47,4,201,778,100.775,0.125236,1
48,4,201,778,175.625,0.136248,1
49,4,201,778,132.75,0.123034,1
50,10,140,1410,69.5077,0.342959,1
51,10,140,1410,57.9695,0.3657,1
52,10,140,1410,81.0984,0.355382,1
53,10,140,1410,85.9846,0.297685,1
54,10,140,1410,62.664,0.28496,1
55,8,171,972,87.855,0.116462,1
56,8,171,972,96.7364,0.12591,1
57,8,171,972,86.0952,0.14947,1
58,8,171,972,84.243,0.12869,1
59,8,171,972,84.7619,0.161003,1
60,5,161,1204,80.5,0.14135,1
61,5,161,1204,82.3571,0.150626,1
62,5,161,1204,90.6667,0.168371,1
63,5,161,1204,94.4348,0.169014,1
64,5,161,1204,100.821,0.159237,1
65,9,223,783,130.901,0.156547,1
66,9,223,783,139.598,0.186499,1
67,9,223,783,119.846,0.168934,1
68,9,223,783,129.051,0.177251,1
69,9,223,783,121.178,0.162579,1
70,7,245,1228,99.8483,0.222298,1
71,7,245,1228,88.2986,0.211873,1
72,7,245,1228,133.857,0.230706,1
73,7,245,1228,115.018,0.238451,1
74,7,245,1228,87.3025,0.238774,1
75,7,238,785,110.05,0.174394,1
76,7,238,785,79.0089,0.186808,1
77,7,238,785,88.9245,0.174578,1
78,7,238,785,88.4239,0.1941,1
79,7,238,785,70.5965,0.172045,1
80,10,149,1137,67.2263,0.129747,1
81,10,149,1137,105.142,0.208163,1
82,10,149,1137,69.6032,0.188414,1
83,10,149,1137,91.0106,0.182304,1
84,10,149,1137,88.3855,0.187916,1
85,8,278,1244,85.1805,0.267668,1
86,8,278,1244,77.4043,0.274895,1
87,8,278,1244,97.1086,0.278508,1
88,8,278,1244,115.545,0.271983,1
89,8,278,1244,97.3245,0.282254,1
90,9,149,1403,58.9783,0.211032,1
91,9,149,1403,98.8235,0.279465,1
92,9,149,1403,82.187,0.23498,1
93,9,149,1403,94.188,0.245745,1
94,9,149,1403,63.7895,0.310597,1
95,6,157,705,89,0.0906297,1
96,6,157,705,122.82,0.088837,1
97,6,157,705,124.489,0.0883545,1
98,6,157,705,83.7949,0.086426,1
99,6,157,705,123.217,0.0835677,1
100,6,267,698,109.773,0.204626,1
101,6,267,698,136.105,0.201908,1
102,6,267,698,83.33,0.202995,1
103,6,267,698,147.533,0.193138,1
104,6,267,698,106.091,0.218219,1
105,7,290,1221,80.1733,0.291382,1
106,7,290,1221,121.241,0.290156,1
107,7,290,1221,94.3478,0.280123,1
108,7,290,1221,136.148,0.279582,1
109,7,290,1221,102.039,0.28188,1
110,7,233,1106,82.3689,0.207848,1
111,7,233,1106,133.824,0.204769,1
112,7,233,1106,116.515,0.193817,1
113,7,233,1106,109.915,0.198781,1
114,7,233,1106,103.941,0.190763,1
115,10,251,252,18.8286,0.104392,1
116,10,251,252,129.471,0.133098,1
117,10,251,252,74.7727,0.123928,1
118,10,251,252,105.095,0.108422,1
119,10,251,252,86.1273,0.127708,1
120,10,142,1445,85.582,0.397191,1
121,10,142,1445,96.6435,0.417855,1
122,10,142,1445,82.629,0.382285,1
123,10,142,1445,92.1938,0.277053,1
124,10,142,1445,99.2636,0.335576,1
125,9,199,1030,110.326,0.169059,1
126,9,199,1030,109.758,0.173786,1
127,9,199,1030,73.4194,0.135155,1
128,9,199,1030,73.6304,0.171271,1
129,9,199,1030,112.627,0.165964,1
130,7,231,1389,79.1408,0.251147,1
131,7,231,1389,107.375,0.22411,1
132,7,231,1389,122.486,0.231863,1
133,7,231,1389,122.922,0.250196,1
134,7,231,1389,101.737,0.216025,1
135,8,295,782,185.4,0.270455,1
136,8,295,782,95.3026,0.263262,1
137,8,295,782,116.652,0.255857,1
138,8,295,782,103.321,0.268902,1
139,8,295,782,110.761,0.264604,1
140,6,241,990,106.041,0.187969,1
141,6,241,990,121.437,0.194791,1
142,6,241,990,139.689,0.179668,1
143,6,241,990,128.87,0.182644,1
144,6,241,990,130.676,0.195697,1
145,10,210,961,98.6212,0.195787,1
146,10,210,961,101.443,0.152729,1
147,10,210,961,119.6,0.183675,1
148,10,210,961,98.4274,0.158881,1
149,10,210,961,137.703,0.170615,1
150,5,234,1284,78.5574,0.209763,1
151,5,234,1284,131.407,0.241893,1
152,5,234,1284,103.545,0.230011,1
153,5,234,1284,129.321,0.202284,1
154,5,234,1284,109.789,0.215274,1
155,4,147,446,152,0.0569923,1
156,4,147,446,224.222,0.0579729,1
157,4,147,446,108.053,0.058802,1
158,4,147,446,135.52,0.0611501,1
159,4,147,446,127.96,0.0612115,1
160,3,172,1267,158.35,0.19802,1
161,3,172,1267,101.109,0.184706,1
162,3,172,1267,99.5789,0.216394,1
163,3,172,1267,128.947,0.18543,1
164,3,172,1267,134.5,0.198786,1
165,9,168,1163,100.559,0.136124,1
166,9,168,1163,103.455,0.147843,1
167,9,168,1163,92.4132,0.174189,1
168,9,168,1163,65.3143,0.166109,1
169,9,168,1163,88.1923,0.173313,1
170,6,283,1328,165.613,0.282101,1
171,6,283,1328,128.198,0.306745,1
172,6,283,1328,138.583,0.282973,1
173,6,283,1328,132.414,0.316543,1
174,6,283,1328,108.745,0.296127,1
175,4,114,689,79.22,0.0603831,1
176,4,114,689,97.1053,0.0672031,1
177,4,114,689,142.053,0.0683564,1
178,4,114,689,108.127,0.0654342,1
179,4,114,689,127.738,0.0775056,1
180,4,258,1068,137.036,0.21012,1
181,4,258,1068,139.25,0.235644,1
182,4,258,1068,115.211,0.231541,1
183,4,258,1068,122.438,0.237118,1
184,4,258,1068,114.25,0.238194,1
185,10,281,305,103.274,0.179569,1
186,10,281,305,62.2778,0.149787,1
187,10,281,305,125.789,0.145779,1
188,10,281,305,61.95,0.154611,1
189,10,281,305,107.4,0.173026,1
190,4,188,1297,108.505,0.210345,1
191,4,188,1297,102.657,0.192586,1
192,4,188,1297,102.885,0.213871,1
193,4,188,1297,146.773,0.20741,1
194,4,188,1297,117.529,0.233413,1
195,6,204,223,75.1818,0.0815274,1
196,6,204,223,138.677,0.0807851,1
197,6,204,223,266.727,0.0880594,1
198,6,204,223,155.727,0.0774367,1
199,6,204,223,223.444,0.082709,1
200,8,106,692,114.419,0.0773303,1
201,8,106,692,123.033,0.107061,1
202,8,106,692,58.8485,0.0852205,1
203,8,106,692,49.371,0.0590448,1
204,8,106,692,68.1837,0.0939467,1
205,6,219,354,101.191,0.118234,1
206,6,219,354,139.956,0.107973,1
207,6,219,354,194,0.104725,1
208,6,219,354,184.636,0.115324,1
209,6,219,354,129.2,0.114349,1
210,5,300,671,313.75,0.237576,1
211,5,300,671,177.478,0.230454,1
212,5,300,671,165.483,0.229575,1
213,5,300,671,220.857,0.235787,1
214,5,300,671,206.143,0.246259,1
215,5,258,1298,79.9653,0.277591,1
216,5,258,1298,69.3333,0.274249,1
217,5,258,1298,82.4632,0.279694,1
218,5,258,1298,78.7105,0.236548,1
219,5,258,1298,111.339,0.270685,1
220,9,138,986,85.5741,0.118864,1
221,9,138,986,95.0323,0.126592,1
222,9,138,986,52.5083,0.143944,1
223,9,138,986,85.2788,0.187952,1
224,9,138,986,103.247,0.128356,1
225,8,183,310,224.357,0.0850997,1
226,8,183,310,179.2,0.0844116,1
227,8,183,310,116.528,0.0808387,1
228,8,183,310,120.579,0.0805184,1
229,8,183,310,75.5789,0.0763066,1
230,6,132,1130,120.606,0.121409,1
231,6,132,1130,82.6452,0.107505,1
232,6,132,1130,99.029,0.137383,1
