index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,88.1481,0.0354765,1
1,8,256,375,85.6508,0.0373374,1
2,8,256,375,93.125,0.0510039,1
3,8,256,375,84.9111,0.0750158,1
4,8,256,375,66.625,0.0298289,1
5,6,217,618,86.6852,0.183164,1
6,6,217,618,117.556,0.206183,1
7,6,217,618,78.3805,0.212385,1
8,6,217,618,84.9125,0.211401,1
9,6,217,618,111.649,0.234425,1
10,8,119,1023,92.0336,0.503094,1
11,8,119,1023,67.6887,0.641426,1
12,8,119,1023,99.5496,0.650525,1
13,8,119,1023,68.6864,0.761246,1
14,8,119,1023,82.0924,0.325285,1
15,4,221,359,117.231,0.0553226,1
16,4,221,359,150.3,0.059571,1
17,4,221,359,161,0.0501507,1
18,4,221,359,112.458,0.0541618,1
19,4,221,359,132.933,0.0629998,1
20,6,270,1053,72.5405,0.738033,1
21,6,270,1053,75.5769,0.680582,1
22,6,270,1053,108.04,0.669537,1
23,6,270,1053,93.2851,0.685576,1
24,6,270,1053,77.66,0.619425,1
25,8,173,395,86.2286,0.102469,1
26,8,173,395,113.072,0.105083,1
27,8,173,395,85,0.0840881,1
28,8,173,395,96.5909,0.0727629,1
29,8,173,395,83.5152,0.0758146,1
30,5,207,688,85.2778,0.214848,1
31,5,207,688,97.2778,0.196255,1
32,5,207,688,66.0784,0.24356,1
33,5,207,688,59.0074,0.274834,1
34,5,207,688,68.5735,0.191474,1
35,6,212,259,84.6923,0.0219528,1
36,6,212,259,83.35,0.0204744,1
37,6,212,259,100.018,0.0304821,1
38,6,212,259,110.091,0.0138499,1
39,6,212,259,89.025,0.0275359,1
40,7,163,1237,61.5667,0.88748,1
41,7,163,1237,54.3187,0.991603,1
42,7,163,1237,97.2089,0.86762,1
43,7,163,1237,60.179,0.800479,1
44,7,163,1237,54.9693,0.660928,1
45,4,201,778,82.9444,0.230676,1
46,4,201,778,83.0459,0.249445,1
47,4,201,778,75.9565,0.209792,1
48,4,201,778,98.5303,0.266849,1
49,4,201,778,101.083,0.239649,1
50,10,140,1410,65.4071,0.474247,1
51,10,140,1410,54.8571,0.87269,1
52,10,140,1410,73.2929,0.564371,1
53,10,140,1410,81.0286,0.696247,1
54,10,140,1410,56.8489,0.632184,1
55,8,171,972,76.1488,0.691222,1
56,8,171,972,77.649,1.11954,1
57,8,171,972,66.097,0.478385,1
58,8,171,972,71.9127,0.879484,1
59,8,171,972,73.9701,0.742606,1
60,5,161,1204,65.6323,0.573958,1
61,5,161,1204,61.0497,0.526426,1
62,5,161,1204,59.3987,0.535982,1
63,5,161,1204,67.7081,0.731546,1
64,5,161,1204,79.85,0.636808,1
65,9,223,783,99.2722,0.407949,1
66,9,223,783,109.213,0.604526,1
67,9,223,783,86.0376,0.419179,1
68,9,223,783,95.461,0.469255,1
69,9,223,783,87.5229,0.540727,1
70,7,245,1228,79.8108,0.913482,1
71,7,245,1228,67.5,1.13384,1
72,7,245,1228,68.4643,1.12577,1
73,7,245,1228,86.7802,1.23514,1
74,7,245,1228,66.4304,1.06531,1
75,7,238,785,72.1075,0.38992,1
76,7,238,785,56.9737,0.379908,1
77,7,238,785,66.0462,0.365312,1
78,7,238,785,72.9508,0.463614,1
79,7,238,785,54.8255,0.386281,1
80,10,149,1137,62.7075,0.557042,1
81,10,149,1137,91.1342,0.896188,1
82,10,149,1137,61.443,0.715759,1
83,10,149,1137,77.9262,0.693521,1
84,10,149,1137,67.2886,0.429983,1
85,8,278,1244,63.8826,1.14243,1
86,8,278,1244,55.7985,1.38199,1
87,8,278,1244,75.0792,1.06612,1
88,8,278,1244,68.354,1.4518,1
89,8,278,1244,73.3198,1.95257,1
90,9,149,1403,55.2282,1.31803,1
91,9,149,1403,85.7047,0.576124,1
92,9,149,1403,76.1745,0.971775,1
93,9,149,1403,81.7047,0.550524,1
94,9,149,1403,55.0222,0.721951,1
95,6,157,705,63.325,0.201922,1
96,6,157,705,75.8791,0.319589,1
97,6,157,705,96.2857,0.303225,1
98,6,157,705,59.6809,0.230966,1
99,6,157,705,90.2766,0.324367,1
100,6,267,698,76.7213,0.243447,1
101,6,267,698,92.3571,0.256265,1
102,6,267,698,62.75,0.247607,1
103,6,267,698,109.333,0.204843,1
104,6,267,698,92.881,0.259887,1
105,7,290,1221,59.446,1.07638,1
106,7,290,1221,82.0086,0.85507,1
107,7,290,1221,64.9246,1.0437,1
108,7,290,1221,81.2949,1.21462,1
109,7,290,1221,84.4333,1.05491,1
110,7,233,1106,62.5822,0.928113,1
111,7,233,1106,98.5936,0.971363,1
112,7,233,1106,86.7488,0.915166,1
113,7,233,1106,77.3913,1.22082,1
114,7,233,1106,81.6784,1.2054,1
115,10,251,252,12.6731,0.0040455,1
116,10,251,252,90.0968,0.0117483,1
117,10,251,252,60.9259,0.00743514,1
118,10,251,252,81.3846,0.00434557,1
119,10,251,252,78.4783,0.00942198,1
120,10,142,1445,76.8451,0.448444,1
121,10,142,1445,87.3099,0.349213,1
122,10,142,1445,74.2747,0.517841,1
123,10,142,1445,88.0986,0.629234,1
124,10,142,1445,91.7535,0.899971,1
125,9,199,1030,86.875,0.836015,1
126,9,199,1030,84.7784,0.570216,1
127,9,199,1030,63.6927,0.899558,1
128,9,199,1030,54.3476,0.793525,1
129,9,199,1030,88.2874,1.23916,1
130,7,231,1389,64.9234,1.25193,1
131,7,231,1389,86.2664,1.25415,1
132,7,231,1389,93.9758,1.30502,1
133,7,231,1389,86.8367,1.25532,1
134,7,231,1389,81.0227,1.10892,1
135,8,295,782,101.639,0.4156,1
136,8,295,782,76.6111,0.342806,1
137,8,295,782,88.6786,0.444621,1
138,8,295,782,69.425,0.443978,1
139,8,295,782,83.6,0.340687,1
140,6,241,990,66.6429,0.718714,1
141,6,241,990,91.3412,0.637101,1
142,6,241,990,105.85,0.512387,1
143,6,241,990,88.8889,0.573385,1
144,6,241,990,92.712,0.709817,1
145,10,210,961,78.0199,0.846724,1
146,10,210,961,73.4396,1.04578,1
147,10,210,961,96.1257,0.989291,1
148,10,210,961,75.4253,0.61466,1
149,10,210,961,96.1966,0.771861,1
150,5,234,1284,55.6441,0.799238,1
151,5,234,1284,89.5052,0.982358,1
152,5,234,1284,66.0238,0.771818,1
153,5,234,1284,88.9223,0.884132,1
154,5,234,1284,59.0404,0.852295,1
155,4,147,446,95,0.0731788,1
156,4,147,446,165.667,0.0908789,1
157,4,147,446,71.6377,0.0737826,1
158,4,147,446,85.45,0.0667115,1
159,4,147,446,93.5789,0.0785317,1
160,3,172,1267,71.4661,0.389475,1
161,3,172,1267,66.0779,0.385863,1
