index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,140,0.0102374,1
1,8,256,375,132.047,0.0104386,1
2,8,256,375,150.059,0.0138493,1
3,8,256,375,124.9,0.0187881,1
4,8,256,375,136,0.00766976,1
5,6,217,618,156.463,0.0324032,1
6,6,217,618,256.7,0.0478746,1
7,6,217,618,139.972,0.0447093,1
8,6,217,618,128.955,0.046071,1
9,6,217,618,253.917,0.0356561,1
10,8,119,1023,106.333,0.0432291,1
11,8,119,1023,76.0137,0.0972884,1
12,8,119,1023,110.659,0.0536067,1
13,8,119,1023,79.087,0.0577833,1
14,8,119,1023,92.2165,0.044567,1
15,4,221,359,186.545,0.0104954,1
16,4,221,359,175,0.0107008,1
17,4,221,359,309.167,0.00857698,1
18,4,221,359,199.333,0.00929474,1
19,4,221,359,163.1,0.0103106,1
20,6,270,1053,168.8,0.0986835,1
21,6,270,1053,124.8,0.0853581,1
22,6,270,1053,191.85,0.0981081,1
23,6,270,1053,152,0.108679,1
24,6,270,1053,141.857,0.101625,1
25,8,173,395,169.312,0.0367995,1
26,8,173,395,161.816,0.0317276,1
27,8,173,395,127.059,0.0245203,1
28,8,173,395,147.324,0.0258018,1
29,8,173,395,153.5,0.0285301,1
30,5,207,688,173.08,0.0343827,1
31,5,207,688,181.217,0.0380825,1
32,5,207,688,170.65,0.0373058,1
33,5,207,688,106.182,0.046986,1
34,5,207,688,106.028,0.0328223,1
35,6,212,259,162.667,0.00525888,1
36,6,212,259,151.545,0.00487637,1
37,6,212,259,162.304,0.00706829,1
38,6,212,259,151.111,0.00362193,1
39,6,212,259,139.667,0.00632694,1
40,7,163,1237,81.9383,0.0786251,1
41,7,163,1237,81.3284,0.106666,1
42,7,163,1237,115.82,0.127968,1
43,7,163,1237,85.0282,0.0764411,1
44,7,163,1237,74.9114,0.081774,1
45,4,201,778,183.471,0.0339355,1
46,4,201,778,190.846,0.028597,1
47,4,201,778,122.963,0.0304845,1
48,4,201,778,175.625,0.032457,1
49,4,201,778,191.846,0.0268999,1
50,10,140,1410,70.6992,0.0302927,1
51,10,140,1410,57.9695,0.0411374,1
52,10,140,1410,81.4444,0.0910521,1
53,10,140,1410,84.6567,0.127829,1
54,10,140,1410,62.877,0.0478414,1
55,8,171,972,109.914,0.0891631,1
56,8,171,972,95.1709,0.103148,1
57,8,171,972,96.8714,0.0792296,1
58,8,171,972,90.4839,0.118742,1
59,8,171,972,89.198,0.104528,1
60,5,161,1204,82.8864,0.0597253,1
61,5,161,1204,91.1039,0.0520258,1
62,5,161,1204,93.0172,0.0577635,1
63,5,161,1204,87.0897,0.0593044,1
64,5,161,1204,113.468,0.0443004,1
65,9,223,783,145.6,0.119306,1
66,9,223,783,159.226,0.170274,1
67,9,223,783,135.093,0.104006,1
68,9,223,783,148.13,0.0986768,1
69,9,223,783,171.423,0.114419,1
70,7,245,1228,137.925,0.153502,1
71,7,245,1228,113.871,0.135969,1
72,7,245,1228,158.774,0.152826,1
73,7,245,1228,156.932,0.155755,1
74,7,245,1228,104.692,0.132609,1
75,7,238,785,125.381,0.0665331,1
76,7,238,785,96.45,0.0781358,1
77,7,238,785,116.765,0.073668,1
78,7,238,785,127,0.0785786,1
79,7,238,785,92.875,0.0817193,1
80,10,149,1137,67.4,0.0591397,1
81,10,149,1137,109.902,0.111898,1
82,10,149,1137,70.0088,0.0616303,1
83,10,149,1137,93.8866,0.0896165,1
84,10,149,1137,91.9538,0.092952,1
85,8,278,1244,121.946,0.174849,1
86,8,278,1244,90.0103,0.194857,1
87,8,278,1244,144.25,0.191648,1
88,8,278,1244,124.633,0.201815,1
89,8,278,1244,103.121,0.30264,1
90,9,149,1403,60.0476,0.222435,1
91,9,149,1403,100.318,0.0686659,1
92,9,149,1403,82.0708,0.0781011,1
93,9,149,1403,94.4153,0.0930963,1
94,9,149,1403,67.5824,0.126952,1
95,6,157,705,110.556,0.0327572,1
96,6,157,705,121.855,0.0455036,1
97,6,157,705,128.481,0.059199,1
98,6,157,705,116.857,0.0389942,1
99,6,157,705,154.636,0.0418372,1
100,6,267,698,144.394,0.0526843,1
101,6,267,698,153.6,0.0558864,1
102,6,267,698,95.4545,0.0428714,1
103,6,267,698,175.2,0.04341,1
104,6,267,698,170.227,0.0428828,1
105,7,290,1221,104.178,0.173669,1
106,7,290,1221,169.5,0.140782,1
107,7,290,1221,150.636,0.180128,1
108,7,290,1221,152.486,0.160565,1
109,7,290,1221,133.578,0.169398,1
110,7,233,1106,91.0385,0.0945105,1
111,7,233,1106,194,0.151477,1
112,7,233,1106,167.122,0.128207,1
113,7,233,1106,117.027,0.230029,1
114,7,233,1106,116.288,0.150247,1
115,10,251,252,19.7619,0.00125062,1
116,10,251,252,147,0.0034034,1
117,10,251,252,79.6522,0.00242017,1
118,10,251,252,111.368,0.00122762,1
119,10,251,252,96.1795,0.00279266,1
120,10,142,1445,84.4874,0.0318875,1
121,10,142,1445,97.5932,0.0336977,1
122,10,142,1445,83.3333,0.0266915,1
123,10,142,1445,93.16,0.0283347,1
124,10,142,1445,102.325,0.0418178,1
125,9,199,1030,132.797,0.14685,1
126,9,199,1030,114.856,0.111419,1
127,9,199,1030,84.4444,0.120401,1
128,9,199,1030,82.7593,0.189973,1
129,9,199,1030,117.192,0.135059,1
130,7,231,1389,91.0577,0.191793,1
131,7,231,1389,111.466,0.186477,1
132,7,231,1389,150.042,0.232828,1
133,7,231,1389,137.043,0.160376,1
134,7,231,1389,122.113,0.158702,1
135,8,295,782,192.579,0.0852303,1
136,8,295,782,134.929,0.0858295,1
137,8,295,782,170.943,0.109871,1
138,8,295,782,120.163,0.107307,1
139,8,295,782,152,0.0900557,1
140,6,241,990,121.019,0.132691,1
141,6,241,990,134.096,0.0985235,1
142,6,241,990,194.886,0.0875528,1
143,6,241,990,167.432,0.087743,1
144,6,241,990,130.789,0.106207,1
145,10,210,961,124.969,0.121837,1
146,10,210,961,100.917,0.247661,1
147,10,210,961,137.165,0.172771,1
148,10,210,961,111.636,0.127152,1
149,10,210,961,142.391,0.149754,1
150,5,234,1284,102.467,0.0914203,1
151,5,234,1284,172.2,0.0858899,1
152,5,234,1284,132.492,0.07139,1
153,5,234,1284,153.239,0.0816495,1
154,5,234,1284,115.704,0.0676673,1
155,4,147,446,152,0.0101591,1
156,4,147,446,284,0.0119944,1
157,4,147,446,127.312,0.013648,1
158,4,147,446,173.4,0.0113152,1
159,4,147,446,235.3,0.0146365,1
160,3,172,1267,158.35,0.0253538,1
161,3,172,1267,116.592,0.0248604,1
162,3,172,1267,154.278,0.0244886,1
163,3,172,1267,109.619,0.0267943,1
164,3,172,1267,185.188,0.0279751,1
165,9,168,1163,107.573,0.143709,1
166,9,168,1163,105.248,0.0907727,1
167,9,168,1163,96.7212,0.163421,1
168,9,168,1163,68.6019,0.135633,1
169,9,168,1163,90.3723,0.201821,1
170,6,283,1328,171.864,0.130801,1
171,6,283,1328,155.846,0.178931,1
172,6,283,1328,147.595,0.143163,1
173,6,283,1328,124.636,0.133094,1
174,6,283,1328,105.975,0.123027,1
175,4,114,689,96.2889,0.0127389,1
176,4,114,689,99.3623,0.0147845,1
177,4,114,689,142.053,0.0151775,1
178,4,114,689,117.827,0.0181058,1
179,4,114,689,161.64,0.0219947,1
180,4,258,1068,175.125,0.0412502,1
181,4,258,1068,162.947,0.0518936,1
182,4,258,1068,158.818,0.0526467,1
183,4,258,1068,122.438,0.0452788,1
184,4,258,1068,140.286,0.0484216,1
185,10,281,305,104.909,0.00677457,1
186,10,281,305,94,0.00262768,1
187,10,281,305,142.632,0.00217253,1
188,10,281,305,62.4286,0.00223997,1
