index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,69.4325,0.012744,1
1,5,1081,3102,71.3795,0.0122763,1
2,5,1081,3316,75.3445,0.0131398,1
3,5,1081,3352,71.1294,0.0130997,1
4,5,1081,3297,67.6787,0.0128989,1
5,5,481,1401,70.2259,0.00525225,1
6,5,481,1352,89.2945,0.00521849,1
7,5,481,1407,80.1204,0.00518772,1
8,5,481,1348,90.7168,0.00526922,1
9,5,481,1454,86.4522,0.00538964,1
10,4,1468,4697,63.0131,0.0182401,1
11,4,1468,4863,73.0864,0.0185232,1
12,4,1468,4568,68.2196,0.0179566,1
13,4,1468,4434,72.2512,0.0173218,1
14,4,1468,4618,72.9598,0.0179401,1
15,5,962,3071,63.5326,0.0121695,1
16,5,962,3373,66.8773,0.0129445,1
17,5,962,3301,72.2058,0.0127715,1
18,5,962,3299,67.0127,0.013312,1
19,5,962,3171,62.2143,0.0125936,1
20,8,1598,5457,61.4299,0.0210401,1
21,8,1598,5331,60.6094,0.0215045,1
22,8,1598,5302,60.0077,0.0199795,1
23,8,1598,5373,61.7837,0.0201803,1
24,8,1598,5462,62.4175,0.0203321,1
25,3,224,339,79.867,0.00158884,1
26,3,224,365,60.0686,0.00175911,1
27,3,224,374,61.3367,0.00173339,1
28,3,224,375,80.8792,0.00163278,1
29,3,224,384,69.6634,0.00169344,1
30,4,865,2306,58.5693,0.00923832,1
31,4,865,2212,52.0983,0.00903417,1
32,4,865,2205,55.7145,0.00875555,1
33,4,865,2283,66.427,0.00936593,1
34,4,865,2191,62.6931,0.00871073,1
35,3,1301,2478,67.0977,0.0108384,1
36,3,1301,2589,75.142,0.0117725,1
37,3,1301,2690,67.0193,0.0113886,1
38,3,1301,2626,64.5304,0.0113415,1
39,3,1301,2599,65.5478,0.0114567,1
40,8,649,2118,72.3047,0.0076895,1
41,8,649,1940,91.3126,0.00721579,1
42,8,649,2070,78.0345,0.00756734,1
43,8,649,2100,82.6976,0.00745404,1
44,8,649,2044,70.8103,0.00739814,1
45,7,450,1558,69.5469,0.00552858,1
