index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,71.4008,0.00982283,1
1,5,1081,3102,73.3682,0.00946816,1
2,5,1081,3316,77.8087,0.00984371,1
3,5,1081,3352,74.9512,0.0100991,1
4,5,1081,3297,70.8343,0.00999236,1
5,5,481,1401,74.9953,0.00391351,1
6,5,481,1352,94.2668,0.00394596,1
7,5,481,1407,84.5612,0.00407752,1
8,5,481,1348,95.8037,0.00400766,1
9,5,481,1454,90.3818,0.0041204,1
10,4,1468,4697,64.0729,0.0138425,1
11,4,1468,4863,74.7405,0.0141233,1
12,4,1468,4568,69.0837,0.0134368,1
13,4,1468,4434,73.1677,0.0134438,1
14,4,1468,4618,74.4562,0.0135245,1
15,5,962,3071,64.4984,0.00916739,1
16,5,962,3373,68.9945,0.00970599,1
17,5,962,3301,74.1829,0.00949081,1
18,5,962,3299,67.8718,0.0101793,1
19,5,962,3171,63.2939,0.00949631,1
20,8,1598,5457,63.6917,0.0157368,1
21,8,1598,5331,63.1903,0.01571,1
22,8,1598,5302,62.254,0.0152813,1
23,8,1598,5373,64.3717,0.0156027,1
24,8,1598,5462,65.2983,0.0155139,1
25,3,224,339,82.5,0.00128201,1
26,3,224,365,62.841,0.0013225,1
27,3,224,374,62.2755,0.00134885,1
28,3,224,375,83.2935,0.00134094,1
29,3,224,384,71.7959,0.00133085,1
30,4,865,2306,63.5221,0.00714989,1
31,4,865,2212,54.6828,0.00700724,1
32,4,865,2205,59.1045,0.006791,1
33,4,865,2283,69.9778,0.00703866,1
34,4,865,2191,65.4941,0.00680212,1
35,3,1301,2478,69.2683,0.00867753,1
36,3,1301,2589,77.925,0.00921649,1
37,3,1301,2690,71.1494,0.0091799,1
38,3,1301,2626,68.19,0.00891431,1
39,3,1301,2599,68.1408,0.00909143,1
40,8,649,2118,77.125,0.00594143,1
41,8,649,1940,96.5481,0.00557078,1
42,8,649,2070,82.298,0.0058127,1
43,8,649,2100,86.7983,0.00587918,1
44,8,649,2044,73.2204,0.00559267,1
45,7,450,1558,70.6508,0.0043343,1
46,7,450,1598,81.0346,0.00439876,1
47,7,450,1518,69.8562,0.00401416,1
48,7,450,1550,77.4432,0.00417571,1
49,7,450,1559,64.8248,0.00427547,1
50,6,446,944,82.5656,0.00301568,1
51,6,446,1018,84.7692,0.0032808,1
52,6,446,1032,88.6616,0.00326305,1
53,6,446,1044,88.3442,0.00330396,1
54,6,446,932,96.8222,0.00298516,1
55,7,207,725,77.0197,0.00193926,1
56,7,207,761,80.8128,0.00199111,1
57,7,207,758,71.599,0.0019689,1
58,7,207,721,72.8119,0.0020361,1
59,7,207,734,91.3109,0.00198805,1
60,8,1244,4220,75.0264,0.0120046,1
61,8,1244,4242,72.1022,0.0123001,1
62,8,1244,3920,68.8918,0.0113967,1
63,8,1244,4158,79.0205,0.0119074,1
64,8,1244,4000,67.0008,0.0115247,1
65,6,928,2460,79.1321,0.00745508,1
66,6,928,2617,84.9391,0.00747202,1
67,6,928,2577,76.5936,0.00776845,1
68,6,928,2510,76.2922,0.00751901,1
69,6,928,2577,75.3624,0.00775696,1
70,5,862,3286,90.2582,0.00915635,1
71,5,862,3169,86.5347,0.00846191,1
72,5,862,3238,100.338,0.00895838,1
73,5,862,3294,88.2402,0.00860653,1
74,5,862,3135,92.4308,0.00856833,1
75,3,1105,3892,77.2798,0.0111696,1
76,3,1105,3890,81.4447,0.0112681,1
77,3,1105,4151,84.7431,0.0115121,1
78,3,1105,4103,85.1035,0.0117237,1
79,3,1105,3787,83.5733,0.0111366,1
80,4,537,1488,109.417,0.00447261,1
81,4,537,1462,79.8465,0.00442024,1
82,4,537,1434,90.3925,0.0042781,1
83,4,537,1433,104.075,0.00417757,1
84,4,537,1473,91.5933,0.00439291,1
85,8,548,1712,90.9627,0.00494827,1
86,8,548,1746,106.46,0.00498701,1
87,8,548,1750,92.2446,0.00479924,1
88,8,548,1696,93.924,0.00487895,1
89,8,548,1711,97.2435,0.00489521,1
90,3,399,1335,67.5873,0.00364523,1
91,3,399,1298,63.9949,0.00361811,1
92,3,399,1351,77.3418,0.0036031,1
93,3,399,1347,72.7661,0.00361955,1
94,3,399,1384,63.1646,0.00374573,1
95,7,933,3479,94.9294,0.009489,1
96,7,933,3434,94.4533,0.00941131,1
97,7,933,3462,88.8469,0.00933285,1
98,7,933,3623,84.2216,0.00955948,1
99,7,933,3485,101.801,0.00949942,1
100,5,1153,3243,73.1315,0.00943998,1
101,5,1153,3414,62.1998,0.0102571,1
