index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,76.5254,0.053054,1
1,5,1081,3102,77.24,0.0511449,1
2,5,1081,3316,96.1714,0.0522687,1
3,5,1081,3352,69.6053,0.0448827,1
4,5,1081,3297,66.8868,0.0501631,1
5,5,481,1401,81.1714,0.0166693,1
6,5,481,1352,69.6905,0.0211012,1
7,5,481,1407,79.6053,0.0195035,1
8,5,481,1348,83.1951,0.0210513,1
9,5,481,1454,82.66,0.0194131,1
10,4,1468,4697,87.4737,0.0490279,1
11,4,1468,4863,83.6364,0.0430052,1
12,4,1468,4568,75.3684,0.04289,1
13,4,1468,4434,91.0952,0.04186,1
14,4,1468,4618,75.8519,0.0426067,1
15,5,962,3071,65.72,0.0560906,1
16,5,962,3373,66.3333,0.0668173,1
17,5,962,3301,65.1154,0.0650978,1
18,5,962,3299,65.8824,0.072636,1
19,5,962,3171,56.3143,0.0678898,1
20,8,1598,5457,54.5122,0.270155,1
21,8,1598,5331,61.8,0.287457,1
22,8,1598,5302,53.5769,0.277373,1
23,8,1598,5373,60.3839,0.299249,1
24,8,1598,5462,57.1975,0.277542,1
25,3,224,339,141.526,0.00134618,1
26,3,224,365,152.583,0.001334,1
27,3,224,374,146.833,0.00142613,1
28,3,224,375,152.714,0.00131372,1
29,3,224,384,119.75,0.00133081,1
30,4,865,2306,60.95,0.0225639,1
31,4,865,2212,73.6296,0.025776,1
32,4,865,2205,80.7353,0.0217334,1
33,4,865,2283,75.9737,0.0258314,1
34,4,865,2191,73.96,0.023613,1
35,3,1301,2478,117.667,0.0221287,1
36,3,1301,2589,129,0.0233733,1
37,3,1301,2690,118,0.0237417,1
38,3,1301,2626,92.9091,0.023364,1
39,3,1301,2599,96.9091,0.0229302,1
40,8,649,2118,71.4314,0.0655867,1
41,8,649,1940,68.3095,0.0648846,1
42,8,649,2070,69.4211,0.0717977,1
43,8,649,2100,66.1167,0.0690074,1
44,8,649,2044,72.1936,0.07096,1
45,7,450,1558,82.4839,0.0368957,1
46,7,450,1598,73.5789,0.0374275,1
47,7,450,1518,79.8841,0.030975,1
48,7,450,1550,77.1333,0.0350199,1
