index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,157.5,0.00667651,1
1,5,1081,3102,193.1,0.00679126,1
2,5,1081,3316,151.545,0.00681631,1
3,5,1081,3352,141.154,0.00625598,1
4,5,1081,3297,137.231,0.0060479,1
5,5,481,1401,146.889,0.00256237,1
6,5,481,1352,199.5,0.00313871,1
7,5,481,1407,137.5,0.00284367,1
8,5,481,1348,151.739,0.00320934,1
9,5,481,1454,159.833,0.00255488,1
10,4,1468,4697,200.071,0.00535109,1
11,4,1468,4863,225,0.00548281,1
12,4,1468,4568,132.652,0.00523776,1
13,4,1468,4434,216.077,0.00563094,1
14,4,1468,4618,165.929,0.00526151,1
15,5,962,3071,117.222,0.00757815,1
16,5,962,3373,145,0.00797311,1
17,5,962,3301,135.143,0.00815942,1
18,5,962,3299,118.056,0.00822347,1
19,5,962,3171,116.625,0.00833058,1
20,8,1598,5457,138.647,0.0303706,1
21,8,1598,5331,115.875,0.0306757,1
22,8,1598,5302,113.281,0.0305609,1
23,8,1598,5373,129.579,0.0304982,1
24,8,1598,5462,106.917,0.0292507,1
25,3,224,339,206.846,0.000404618,1
26,3,224,365,610.333,0.000434535,1
27,3,224,374,293.667,0.000433894,1
28,3,224,375,260,0.000396503,1
29,3,224,384,239.5,0.00043204,1
30,4,865,2306,201.6,0.0029938,1
31,4,865,2212,163.5,0.00307836,1
32,4,865,2205,176,0.00293787,1
33,4,865,2283,209.375,0.00322021,1
34,4,865,2191,140.143,0.00313061,1
35,3,1301,2478,343.333,0.00249838,1
36,3,1301,2589,272.333,0.00261972,1
37,3,1301,2690,280.75,0.00269025,1
38,3,1301,2626,247,0.00257328,1
39,3,1301,2599,310.333,0.00262411,1
40,8,649,2118,145.72,0.00895733,1
41,8,649,1940,129.88,0.00947036,1
42,8,649,2070,142.296,0.00896762,1
43,8,649,2100,147.765,0.00947831,1
44,8,649,2044,122.235,0.0088532,1
45,7,450,1558,140.757,0.00619007,1
46,7,450,1598,128.667,0.00512947,1
47,7,450,1518,149.182,0.0052643,1
48,7,450,1550,143.903,0.00563273,1
49,7,450,1559,123.75,0.00565721,1
