index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,103.441,5.84618,1
1,5,1081,3102,102.756,5.92739,1
2,5,1081,3316,112.936,5.84123,1
3,5,1081,3352,99.7454,5.49719,1
4,5,1081,3297,98.2355,5.64977,1
5,5,481,1401,89.985,0.985911,1
6,5,481,1352,120.615,1.1364,1
7,5,481,1407,102.655,1.05925,1
8,5,481,1348,115.05,1.09801,1
9,5,481,1454,117.248,0.988001,1
10,4,1468,4697,83.5314,9.5189,1
11,4,1468,4863,89.0919,9.64101,1
12,4,1468,4568,87.391,10.2939,1
13,4,1468,4434,92.6193,10.3095,1
14,4,1468,4618,91.3785,9.74853,1
15,5,962,3071,73.4234,4.77845,1
16,5,962,3373,78.3375,4.84514,1
17,5,962,3301,78.9677,4.6253,1
18,5,962,3299,73.9173,4.78471,1
19,5,962,3171,71.2579,4.69668,1
20,8,1598,5457,65.6575,14.0285,1
21,8,1598,5331,65.0265,14.4157,1
22,8,1598,5302,64.2956,14.6119,1
23,8,1598,5373,68.3671,14.462,1
24,8,1598,5462,68.1422,14.3036,1
25,3,224,339,145.323,0.133903,1
26,3,224,365,152.583,0.126123,1
27,3,224,374,107.987,0.134017,1
28,3,224,375,159.524,0.121039,1
29,3,224,384,111.296,0.120663,1
30,4,865,2306,79.8653,4.024,1
31,4,865,2212,70.3209,3.93425,1
32,4,865,2205,73.9626,3.64743,1
33,4,865,2283,88.7025,4.10411,1
34,4,865,2191,83.4014,4.14351,1
35,3,1301,2478,99.7542,8.05818,1
36,3,1301,2589,115.485,8.4243,1
37,3,1301,2690,104.06,7.60216,1
38,3,1301,2626,105.408,7.97972,1
39,3,1301,2599,103.501,8.52798,1
40,8,649,2118,80.7522,1.78923,1
41,8,649,1940,104.878,1.81387,1
42,8,649,2070,87.259,1.84761,1
43,8,649,2100,95.1486,1.93355,1
44,8,649,2044,83.8142,1.8947,1
45,7,450,1558,120.044,0.908296,1
46,7,450,1598,120.074,0.898718,1
47,7,450,1518,120.988,0.893239,1
48,7,450,1550,120.82,0.915606,1
49,7,450,1559,102.237,0.923856,1
50,6,446,944,98.2976,0.673444,1
51,6,446,1018,94.0498,0.740841,1
52,6,446,1032,102.979,0.670362,1
53,6,446,1044,100.788,0.635329,1
54,6,446,932,117.842,0.665235,1
55,7,207,725,83.0988,0.176652,1
56,7,207,761,85.0904,0.171372,1
57,7,207,758,77.6347,0.187723,1
58,7,207,721,78.0621,0.190952,1
59,7,207,734,101.758,0.189822,1
60,8,1244,4220,83.2864,6.78862,1
61,8,1244,4242,76.6733,6.82064,1
62,8,1244,3920,77.1412,6.91276,1
63,8,1244,4158,88.3183,6.70838,1
64,8,1244,4000,74.2446,7.02092,1
65,6,928,2460,121.796,3.4521,1
66,6,928,2617,117.247,3.33726,1
67,6,928,2577,115.938,3.31215,1
68,6,928,2510,121.341,3.43165,1
69,6,928,2577,102.582,3.49766,1
70,5,862,3286,101.878,3.17321,1
71,5,862,3169,103.235,2.95636,1
72,5,862,3238,118.313,3.03789,1
73,5,862,3294,99.1834,3.1262,1
74,5,862,3135,106.107,3.07183,1
75,3,1105,3892,100.455,4.71395,1
76,3,1105,3890,99.6063,4.77472,1
77,3,1105,4151,107.328,4.83656,1
78,3,1105,4103,112.598,5.07799,1
79,3,1105,3787,110.875,5.27909,1
80,4,537,1488,125.024,0.99581,1
81,4,537,1462,93.5718,1.01079,1
82,4,537,1434,110.863,0.979714,1
83,4,537,1433,125.223,1.02115,1
84,4,537,1473,111.136,1.05854,1
85,8,548,1712,119.516,1.37045,1
86,8,548,1746,135.587,1.35644,1
87,8,548,1750,111.863,1.27487,1
88,8,548,1696,112.721,1.32587,1
89,8,548,1711,117.751,1.3875,1
90,3,399,1335,78.0215,0.572349,1
91,3,399,1298,70.9918,0.632382,1
