index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,149.007,5.38625,1
1,5,1081,3102,183.648,4.92573,1
2,5,1081,3316,158.847,5.03483,1
3,5,1081,3352,192.531,4.81877,1
4,5,1081,3297,149.3,5.14751,1
5,5,481,1401,139.89,0.835332,1
6,5,481,1352,176.269,0.915375,1
7,5,481,1407,147.518,0.900037,1
8,5,481,1348,174.39,0.919936,1
9,5,481,1454,160.733,0.828505,1
10,4,1468,4697,182.654,9.08476,1
11,4,1468,4863,146.404,9.4153,1
12,4,1468,4568,198.161,9.6605,1
13,4,1468,4434,168.02,9.09678,1
14,4,1468,4618,178.458,9.57345,1
15,5,962,3071,129.244,4.64679,1
16,5,962,3373,146.049,4.42892,1
17,5,962,3301,123.485,4.48842,1
18,5,962,3299,129.144,4.24523,1
19,5,962,3171,112.547,4.33923,1
20,8,1598,5457,93.3031,12.6783,1
21,8,1598,5331,102.587,12.6671,1
22,8,1598,5302,103.899,12.6717,1
23,8,1598,5373,139.11,12.3708,1
24,8,1598,5462,102.345,12.6484,1
25,3,224,339,232.282,0.11731,1
26,3,224,365,300.667,0.102035,1
27,3,224,374,156,0.117933,1
28,3,224,375,301.148,0.107724,1
29,3,224,384,159.911,0.1124,1
30,4,865,2306,116.332,3.35133,1
31,4,865,2212,132.327,3.24278,1
32,4,865,2205,161.962,3.08753,1
33,4,865,2283,211.622,3.44348,1
34,4,865,2191,176.294,3.51163,1
35,3,1301,2478,194.351,6.6641,1
36,3,1301,2589,202.165,7.54786,1
37,3,1301,2690,156.96,6.73205,1
38,3,1301,2626,190.88,6.95005,1
39,3,1301,2599,213.821,7.48362,1
40,8,649,2118,120.7,1.60983,1
41,8,649,1940,155.298,1.52725,1
42,8,649,2070,125.93,1.59837,1
43,8,649,2100,135.202,1.71633,1
44,8,649,2044,124.158,1.62558,1
45,7,450,1558,181.676,0.744856,1
46,7,450,1598,179.188,0.766758,1
47,7,450,1518,173.473,0.746181,1
48,7,450,1550,180.036,0.764587,1
49,7,450,1559,181.862,0.756846,1
50,6,446,944,173.059,0.612597,1
51,6,446,1018,177.115,0.585406,1
