index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,108.861,9.13285,1
1,5,1081,3102,108.726,8.83151,1
2,5,1081,3316,111.777,9.4324,1
3,5,1081,3352,103.729,8.2321,1
4,5,1081,3297,101.715,8.74032,1
5,5,481,1401,92.0217,1.46896,1
6,5,481,1352,116.735,1.72255,1
7,5,481,1407,102.575,1.54388,1
8,5,481,1348,117.95,1.57561,1
9,5,481,1454,118.22,1.35816,1
10,4,1468,4697,91.3037,16.0399,1
11,4,1468,4863,94.1364,17.2071,1
12,4,1468,4568,98.9041,16.3629,1
13,4,1468,4434,97.5358,16.7173,1
14,4,1468,4618,93.9265,16.9913,1
15,5,962,3071,77.7205,8.72491,1
16,5,962,3373,80.1603,9.8093,1
17,5,962,3301,80.4266,10.4229,1
18,5,962,3299,75.9426,11.2833,1
19,5,962,3171,76.7887,10.8349,1
20,8,1598,5457,66.5357,47.2846,1
21,8,1598,5331,69.438,50.4943,1
22,8,1598,5302,67.0303,45.2685,1
23,8,1598,5373,71.1734,48.3779,1
24,8,1598,5462,69.572,45.4353,1
25,3,224,339,144.279,0.0625434,1
26,3,224,365,152.583,0.0649966,1
27,3,224,374,146.833,0.063912,1
28,3,224,375,171.531,0.0735859,1
29,3,224,384,121.897,0.0713602,1
30,4,865,2306,84.0506,4.20484,1
31,4,865,2212,75.5786,4.43128,1
32,4,865,2205,81.2353,3.84373,1
33,4,865,2283,92.0087,4.69162,1
34,4,865,2191,85.0353,4.27173,1
35,3,1301,2478,117.667,7.38869,1
36,3,1301,2589,133.531,7.96412,1
37,3,1301,2690,118,8.16354,1
38,3,1301,2626,108.812,7.34752,1
39,3,1301,2599,116.372,8.24816,1
40,8,649,2118,82.2785,4.92395,1
41,8,649,1940,105.62,4.37769,1
42,8,649,2070,87.3896,4.46562,1
43,8,649,2100,95.6347,4.67818,1
44,8,649,2044,85.6978,5.6909,1
45,7,450,1558,124.5,2.06089,1
46,7,450,1598,118.2,2.30735,1
47,7,450,1518,125.763,1.81902,1
48,7,450,1550,124.043,2.10176,1
49,7,450,1559,111.49,2.40408,1
50,6,446,944,107.86,0.633296,1
51,6,446,1018,110.385,0.631273,1
52,6,446,1032,109.337,0.668593,1
53,6,446,1044,103.985,0.624642,1
54,6,446,932,133.032,0.582507,1
55,7,207,725,83.7423,0.382661,1
56,7,207,761,85.6687,0.456588,1
57,7,207,758,77.0904,0.509973,1
58,7,207,721,78.9649,0.49582,1
59,7,207,734,98.9739,0.431486,1
60,8,1244,4220,93.6667,15.5823,1
61,8,1244,4242,81.2094,15.8531,1
62,8,1244,3920,85.318,15.5981,1
63,8,1244,4158,89.3074,16.2894,1
64,8,1244,4000,113.922,15.233,1
65,6,928,2460,134.659,4.61016,1
66,6,928,2617,126.52,4.78213,1
67,6,928,2577,135.733,4.63918,1
68,6,928,2510,132.773,4.58819,1
69,6,928,2577,139.783,4.79336,1
70,5,862,3286,101.998,7.80567,1
71,5,862,3169,108.464,6.75582,1
72,5,862,3238,118.216,7.12527,1
73,5,862,3294,102.233,7.51594,1
74,5,862,3135,111.114,6.90042,1
75,3,1105,3892,106.368,8.65255,1
76,3,1105,3890,102.307,8.49474,1
77,3,1105,4151,111.502,8.95426,1
78,3,1105,4103,116.47,9.81975,1
79,3,1105,3787,120.747,8.84818,1
80,4,537,1488,124.869,1.20036,1
81,4,537,1462,97.1864,1.20392,1
82,4,537,1434,115.425,1.18872,1
83,4,537,1433,126.161,1.27952,1
84,4,537,1473,113.536,1.12942,1
85,8,548,1712,122.23,2.90385,1
