index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1081,3296,206.612,0.840651,1
1,5,1081,3102,244,0.913823,1
2,5,1081,3316,195.124,0.886507,1
3,5,1081,3352,264.923,0.721092,1
4,5,1081,3297,182.083,0.785219,1
5,5,481,1401,166.487,0.143802,1
6,5,481,1352,222.562,0.189847,1
7,5,481,1407,185.479,0.141137,1
8,5,481,1348,245.788,0.212729,1
9,5,481,1454,275.583,0.128494,1
10,4,1468,4697,212.214,1.02156,1
11,4,1468,4863,242.067,0.966745,1
12,4,1468,4568,195.217,1.12925,1
13,4,1468,4434,251.842,1.17988,1
14,4,1468,4618,254.87,0.949043,1
15,5,962,3071,148,1.05179,1
16,5,962,3373,160.167,0.989679,1
17,5,962,3301,150.218,1.13529,1
18,5,962,3299,153.089,0.988033,1
19,5,962,3171,140.4,1.31725,1
20,8,1598,5457,176.565,8.65396,1
21,8,1598,5331,142.565,6.86146,1
22,8,1598,5302,140.949,6.58098,1
23,8,1598,5373,176.222,6.32301,1
24,8,1598,5462,127.743,5.90206,1
25,3,224,339,223.579,0.00829789,1
26,3,224,365,610.333,0.00874136,1
27,3,224,374,293.667,0.00872668,1
28,3,224,375,302.375,0.0105082,1
29,3,224,384,245.818,0.0105955,1
30,4,865,2306,357.8,0.266471,1
31,4,865,2212,214.125,0.317191,1
32,4,865,2205,194.8,0.271317,1
33,4,865,2283,218.875,0.32588,1
34,4,865,2191,194.429,0.359875,1
35,3,1301,2478,343.333,0.302398,1
36,3,1301,2589,277.469,0.325493,1
37,3,1301,2690,280.75,0.307494,1
38,3,1301,2626,247,0.311061,1
39,3,1301,2599,310.333,0.34109,1
40,8,649,2118,167.414,0.841933,1
41,8,649,1940,171.761,0.751033,1
42,8,649,2070,156.782,0.802341,1
43,8,649,2100,185.405,0.792258,1
44,8,649,2044,141.143,0.813475,1
45,7,450,1558,195.859,0.319682,1
46,7,450,1598,190.488,0.326666,1
47,7,450,1518,201.845,0.284915,1
48,7,450,1550,195.922,0.289204,1
49,7,450,1559,185.1,0.303202,1
50,6,446,944,231,0.107891,1
51,6,446,1018,218.905,0.119459,1
52,6,446,1032,234,0.126049,1
53,6,446,1044,198.933,0.112019,1
54,6,446,932,236,0.115107,1
55,7,207,725,128.7,0.0655466,1
56,7,207,761,136.667,0.0750448,1
57,7,207,758,101.967,0.0846843,1
58,7,207,721,120.018,0.0764798,1
59,7,207,734,168.733,0.0773795,1
60,8,1244,4220,210.783,2.46423,1
61,8,1244,4242,193.568,2.56515,1
62,8,1244,3920,153.75,3.04785,1
63,8,1244,4158,168.75,2.77254,1
64,8,1244,4000,174.891,3.26853,1
65,6,928,2460,244.68,0.658407,1
66,6,928,2617,241.923,0.724395,1
67,6,928,2577,213.132,0.619221,1
68,6,928,2510,306.562,0.654874,1
69,6,928,2577,215.169,0.674428,1
70,5,862,3286,174.812,0.743696,1
71,5,862,3169,196.4,0.658691,1
72,5,862,3238,231.766,0.734273,1
73,5,862,3294,175.52,0.696594,1
74,5,862,3135,221.683,0.692876,1
75,3,1105,3892,247.4,0.427231,1
76,3,1105,3890,289.583,0.43874,1
77,3,1105,4151,240.091,0.456063,1
78,3,1105,4103,239.87,0.460264,1
79,3,1105,3787,327.333,0.47153,1
80,4,537,1488,231.969,0.101321,1
81,4,537,1462,161.621,0.10066,1
82,4,537,1434,226.896,0.110994,1
83,4,537,1433,253.4,0.109919,1
84,4,537,1473,269.667,0.0875217,1
85,8,548,1712,203.017,0.58029,1
86,8,548,1746,198.355,0.54335,1
87,8,548,1750,189.238,0.441916,1
88,8,548,1696,191.548,0.364663,1
89,8,548,1711,177.316,0.432324,1
90,3,399,1335,215.727,0.0603331,1
91,3,399,1298,161.868,0.0608048,1
92,3,399,1351,271,0.0543958,1
93,3,399,1347,278.389,0.0559134,1
94,3,399,1384,221.6,0.0616352,1
95,7,933,3479,196.758,2.15365,1
96,7,933,3434,205.256,1.64555,1
97,7,933,3462,173.706,1.86078,1
98,7,933,3623,168.191,1.66218,1
99,7,933,3485,201.484,1.99546,1
100,5,1153,3243,223.056,0.97499,1
101,5,1153,3414,162.957,1.06179,1
102,5,1153,3211,155.81,1.20387,1
103,5,1153,3356,175.947,0.910205,1
104,5,1153,3463,193.643,1.02269,1
105,5,1298,4552,261.164,1.29713,1
106,5,1298,4442,221.983,1.15181,1
107,5,1298,4409,208.92,1.15016,1
108,5,1298,4435,222.773,1.18192,1
109,5,1298,4472,277.522,1.31859,1
110,8,556,1395,183.133,0.314514,1
111,8,556,1333,266,0.238707,1
112,8,556,1313,242.3,0.272182,1
113,8,556,1373,193.048,0.298492,1
114,8,556,1370,216.442,0.299747,1
115,4,963,3575,213.667,0.487138,1
116,4,963,3433,250.024,0.507962,1
117,4,963,3484,272.571,0.479904,1
118,4,963,3407,271.587,0.470709,1
119,4,963,3533,210.934,0.486473,1
120,7,886,3546,171.319,1.70647,1
121,7,886,3782,180.422,1.92483,1
122,7,886,3759,144.033,1.90445,1
123,7,886,3548,201.872,2.08008,1
124,7,886,3744,220.03,1.69099,1
125,4,1430,4302,195.769,1.09684,1
126,4,1430,4266,264.385,1.05671,1
127,4,1430,4411,212.667,1.09535,1
