index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
0,5,1081,0.210749,5.57154,1.90268,1.02825
1,5,1081,0.210749,5.57154,1.90268,1.02825
2,5,1081,0.210749,5.57154,1.90268,1.02825
3,5,1081,0.210749,5.57154,1.90268,1.02825
4,5,1081,0.210749,5.57154,1.90268,1.02825
5,5,481,0.264147,5.15683,1.16637,1.36636
6,5,481,0.264147,5.15683,1.16637,1.36636
7,5,481,0.264147,5.15683,1.16637,1.36636
8,5,481,0.264147,5.15683,1.16637,1.36636
9,5,481,0.264147,5.15683,1.16637,1.36636
10,4,1468,0.192533,3.87214,2.4338,1.43546
11,4,1468,0.192533,3.87214,2.4338,1.43546
12,4,1468,0.192533,3.87214,2.4338,1.43546
13,4,1468,0.192533,3.87214,2.4338,1.43546
14,4,1468,0.192533,3.87214,2.4338,1.43546
15,5,962,0.167403,4.4766,1.86501,1.94875
16,5,962,0.167403,4.4766,1.86501,1.94875
17,5,962,0.167403,4.4766,1.86501,1.94875
18,5,962,0.167403,4.4766,1.86501,1.94875
19,5,962,0.167403,4.4766,1.86501,1.94875
20,8,1598,0.165765,3.20513,1.59687,1.88747
21,8,1598,0.165765,3.20513,1.59687,1.88747
22,8,1598,0.165765,3.20513,1.59687,1.88747
23,8,1598,0.165765,3.20513,1.59687,1.88747
24,8,1598,0.165765,3.20513,1.59687,1.88747
25,3,224,0.197999,2.16849,1.48069,0.867797
26,3,224,0.197999,2.16849,1.48069,0.867797
27,3,224,0.197999,2.16849,1.48069,0.867797
28,3,224,0.197999,2.16849,1.48069,0.867797
29,3,224,0.197999,2.16849,1.48069,0.867797
30,4,865,0.153284,5.82615,1.20586,1.48354
31,4,865,0.153284,5.82615,1.20586,1.48354
32,4,865,0.153284,5.82615,1.20586,1.48354
33,4,865,0.153284,5.82615,1.20586,1.48354
34,4,865,0.153284,5.82615,1.20586,1.48354
35,3,1301,0.1793,5.79817,1.0595,1.09964
36,3,1301,0.1793,5.79817,1.0595,1.09964
37,3,1301,0.1793,5.79817,1.0595,1.09964
38,3,1301,0.1793,5.79817,1.0595,1.09964
39,3,1301,0.1793,5.79817,1.0595,1.09964
40,8,649,0.230092,3.17588,1.46274,1.68241
41,8,649,0.230092,3.17588,1.46274,1.68241
42,8,649,0.230092,3.17588,1.46274,1.68241
43,8,649,0.230092,3.17588,1.46274,1.68241
44,8,649,0.230092,3.17588,1.46274,1.68241
45,7,450,0.19525,5.14458,2.89662,0.667051
46,7,450,0.19525,5.14458,2.89662,0.667051
47,7,450,0.19525,5.14458,2.89662,0.667051
48,7,450,0.19525,5.14458,2.89662,0.667051
49,7,450,0.19525,5.14458,2.89662,0.667051
50,6,446,0.271033,1.21372,1.06125,1.47613
51,6,446,0.271033,1.21372,1.06125,1.47613
52,6,446,0.271033,1.21372,1.06125,1.47613
53,6,446,0.271033,1.21372,1.06125,1.47613
54,6,446,0.271033,1.21372,1.06125,1.47613
55,7,207,0.235711,2.74205,1.66547,1.98761
56,7,207,0.235711,2.74205,1.66547,1.98761
57,7,207,0.235711,2.74205,1.66547,1.98761
58,7,207,0.235711,2.74205,1.66547,1.98761
59,7,207,0.235711,2.74205,1.66547,1.98761
60,8,1244,0.23695,1.44751,2.87139,1.33889
61,8,1244,0.23695,1.44751,2.87139,1.33889
62,8,1244,0.23695,1.44751,2.87139,1.33889
63,8,1244,0.23695,1.44751,2.87139,1.33889
64,8,1244,0.23695,1.44751,2.87139,1.33889
65,6,928,0.227562,2.8049,2.48841,0.730488
66,6,928,0.227562,2.8049,2.48841,0.730488
67,6,928,0.227562,2.8049,2.48841,0.730488
68,6,928,0.227562,2.8049,2.48841,0.730488
69,6,928,0.227562,2.8049,2.48841,0.730488
70,5,862,0.282686,3.79433,2.58694,1.74153
71,5,862,0.282686,3.79433,2.58694,1.74153
72,5,862,0.282686,3.79433,2.58694,1.74153
73,5,862,0.282686,3.79433,2.58694,1.74153
74,5,862,0.282686,3.79433,2.58694,1.74153
75,3,1105,0.276062,5.22576,2.91908,1.72512
76,3,1105,0.276062,5.22576,2.91908,1.72512
77,3,1105,0.276062,5.22576,2.91908,1.72512
78,3,1105,0.276062,5.22576,2.91908,1.72512
79,3,1105,0.276062,5.22576,2.91908,1.72512
80,4,537,0.290553,3.01845,1.28435,1.69097
81,4,537,0.290553,3.01845,1.28435,1.69097
82,4,537,0.290553,3.01845,1.28435,1.69097
83,4,537,0.290553,3.01845,1.28435,1.69097
84,4,537,0.290553,3.01845,1.28435,1.69097
85,8,548,0.281194,4.44537,1.70898,1.00544
86,8,548,0.281194,4.44537,1.70898,1.00544
87,8,548,0.281194,4.44537,1.70898,1.00544
88,8,548,0.281194,4.44537,1.70898,1.00544
89,8,548,0.281194,4.44537,1.70898,1.00544
90,3,399,0.170292,4.83885,2.61944,1.96022
91,3,399,0.170292,4.83885,2.61944,1.96022
92,3,399,0.170292,4.83885,2.61944,1.96022
93,3,399,0.170292,4.83885,2.61944,1.96022
94,3,399,0.170292,4.83885,2.61944,1.96022
95,7,933,0.28743,3.84087,2.00772,1.80296
96,7,933,0.28743,3.84087,2.00772,1.80296
97,7,933,0.28743,3.84087,2.00772,1.80296
98,7,933,0.28743,3.84087,2.00772,1.80296
99,7,933,0.28743,3.84087,2.00772,1.80296
100,5,1153,0.175257,3.7839,1.34313,1.83737
101,5,1153,0.175257,3.7839,1.34313,1.83737
102,5,1153,0.175257,3.7839,1.34313,1.83737
103,5,1153,0.175257,3.7839,1.34313,1.83737
104,5,1153,0.175257,3.7839,1.34313,1.83737
105,5,1298,0.22755,4.90834,2.2039,1.34344
106,5,1298,0.22755,4.90834,2.2039,1.34344
107,5,1298,0.22755,4.90834,2.2039,1.34344
108,5,1298,0.22755,4.90834,2.2039,1.34344
109,5,1298,0.22755,4.90834,2.2039,1.34344
110,8,556,0.232026,2.46002,1.96804,0.63329
111,8,556,0.232026,2.46002,1.96804,0.63329
