index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,123.761,0.0382171,1
1,6,1749,10674,124.862,0.0366338,1
2,6,1749,11081,115.134,0.0383428,1
3,6,1749,10627,124.545,0.0376855,1
4,6,1749,10323,127.737,0.0359156,1
5,4,661,2555,100.914,0.00926721,1
6,4,661,2396,113.967,0.00838559,1
7,4,661,2610,106.192,0.00974385,1
8,4,661,2504,108.362,0.00908051,1
9,4,661,2542,106.6,0.00957249,1
10,5,1865,8216,127.346,0.0297561,1
11,5,1865,8474,128.234,0.0311547,1
12,5,1865,8161,127.054,0.0292732,1
13,5,1865,8544,128.523,0.0311706,1
14,5,1865,8463,128.008,0.0306527,1
15,8,2261,13038,122.128,0.0472175,1
16,8,2261,12643,126.181,0.0450991,1
17,8,2261,12968,133.49,0.0457981,1
18,8,2261,12796,125.301,0.0458204,1
19,8,2261,12867,123.396,0.045698,1
20,8,2348,9878,122.03,0.0366822,1
21,8,2348,9593,122.304,0.0366565,1
22,8,2348,9792,129.733,0.0359036,1
23,8,2348,10114,119.304,0.0375207,1
24,8,2348,9792,116.338,0.0375525,1
25,9,1148,5195,104.211,0.0179547,1
26,9,1148,5364,116.648,0.0186055,1
27,9,1148,5138,101.523,0.0178287,1
28,9,1148,5201,115.009,0.0180383,1
29,9,1148,5217,103.57,0.0182934,1
30,5,1626,7589,97.8096,0.0274646,1
31,5,1626,7638,109.592,0.02775,1
32,5,1626,7595,90.2814,0.0277308,1
33,5,1626,7471,99.0369,0.0283117,1
34,5,1626,7735,108.527,0.0286655,1
35,9,2485,9313,113.599,0.0370133,1
36,9,2485,9102,110.555,0.0357075,1
37,9,2485,9125,109.615,0.037777,1
38,9,2485,9014,115.002,0.0355168,1
39,9,2485,9046,119.119,0.0358424,1
40,8,149,779,119.45,0.00275027,1
41,8,149,795,101.812,0.00258733,1
42,8,149,817,106.423,0.00267166,1
43,8,149,736,139.074,0.00250951,1
44,8,149,825,112.013,0.00266967,1
45,9,1514,12144,110.059,0.0420155,1
46,9,1514,11935,111.694,0.0417732,1
47,9,1514,12069,108.091,0.0412841,1
48,9,1514,11952,116.042,0.042788,1
49,9,1514,12106,105.009,0.0421365,1
50,7,571,2324,121.561,0.0083783,1
51,7,571,2252,123.503,0.0080653,1
52,7,571,2121,93.4007,0.00799135,1
53,7,571,2166,113.608,0.00773282,1
54,7,571,2120,112.011,0.00799735,1
55,10,2172,13654,131.694,0.0498651,1
56,10,2172,13398,118.53,0.0492726,1
57,10,2172,13429,134.361,0.0530852,1
58,10,2172,13749,130.382,0.0497625,1
59,10,2172,13349,126.13,0.0494576,1
60,7,1600,11092,122.964,0.0405413,1
61,7,1600,11534,131.571,0.0431016,1
62,7,1600,10944,126.095,0.0404964,1
63,7,1600,11032,121.526,0.0387408,1
64,7,1600,11544,123.102,0.0426045,1
65,7,850,2694,125.908,0.0102898,1
66,7,850,2758,120.797,0.0102071,1
67,7,850,2706,119.639,0.0101609,1
68,7,850,2781,118.185,0.0107939,1
69,7,850,2783,127.625,0.0104224,1
70,3,1613,5244,113.943,0.0209217,1
71,3,1613,5209,109.602,0.0223362,1
72,3,1613,5574,108.886,0.0219051,1
73,3,1613,4964,108.715,0.0196523,1
74,3,1613,5237,112.677,0.0213498,1
75,9,1034,5280,135.427,0.0186695,1
76,9,1034,5196,146.649,0.0188074,1
77,9,1034,5355,134.27,0.0192533,1
78,9,1034,5239,125.287,0.0186878,1
79,9,1034,5225,126.803,0.0189622,1
80,7,426,2700,117.362,0.00920908,1
81,7,426,2553,135.798,0.00839739,1
82,7,426,2559,130.868,0.00862542,1
83,7,426,2612,129.122,0.0088844,1
84,7,426,2621,109.143,0.00883833,1
85,10,1218,7768,129.812,0.0274428,1
86,10,1218,7873,122.294,0.0263614,1
87,10,1218,8040,117.659,0.029127,1
88,10,1218,7960,132.944,0.0276389,1
89,10,1218,7766,123.32,0.0270482,1
90,7,2448,15741,114.071,0.0616617,1
91,7,2448,15619,110.502,0.061216,1
92,7,2448,15930,115.951,0.0622591,1
93,7,2448,15768,112.13,0.0603139,1
94,7,2448,15808,107.558,0.0637811,1
95,9,1402,11033,127.024,0.0386277,1
96,9,1402,10937,130.864,0.0401521,1
97,9,1402,11281,129.829,0.0387886,1
98,9,1402,10868,135.058,0.038545,1
99,9,1402,10899,130.129,0.0378353,1
100,8,2390,17694,118.826,0.0691764,1
101,8,2390,17411,111.433,0.0697178,1
102,8,2390,17610,116.654,0.0694935,1
103,8,2390,17087,115.487,0.0695728,1
104,8,2390,17234,109.032,0.0688083,1
105,4,1138,3051,109.279,0.0123114,1
106,4,1138,3059,113.691,0.0121725,1
107,4,1138,3003,116.339,0.0125181,1
108,4,1138,2963,115.525,0.0123557,1
109,4,1138,3102,106.59,0.0121389,1
110,3,1765,4487,122.373,0.0188011,1
111,3,1765,4192,121.415,0.0195879,1
112,3,1765,4224,120.797,0.0190573,1
113,3,1765,4519,129.04,0.0194876,1
114,3,1765,4600,121.732,0.0199975,1
115,5,195,415,127.476,0.00172388,1
116,5,195,452,107.693,0.0018802,1
117,5,195,437,126.599,0.00173889,1
118,5,195,433,136.376,0.00174699,1
119,5,195,436,111.312,0.00175615,1
120,5,1222,8290,99.4062,0.0274572,1
121,5,1222,8332,101.515,0.0273682,1
122,5,1222,8382,102.19,0.0285414,1
123,5,1222,8446,96.4353,0.0312672,1
124,5,1222,8264,100.62,0.0286547,1
125,10,1379,7465,96.4949,0.0274103,1
126,10,1379,7309,95.9392,0.0258087,1
127,10,1379,7442,96.8574,0.0291069,1
128,10,1379,7299,93.6516,0.0265488,1
129,10,1379,7363,104.099,0.0281821,1
130,6,1635,6370,100.162,0.0251936,1
131,6,1635,6205,105.029,0.0241576,1
132,6,1635,6464,98.4388,0.0244063,1
133,6,1635,6460,91.0947,0.0240705,1
134,6,1635,6483,86.1751,0.0246754,1
135,4,425,876,117.343,0.00381113,1
136,4,425,858,115.909,0.00370017,1
137,4,425,900,112.929,0.00377106,1
138,4,425,912,105.308,0.00395112,1
139,4,425,876,124.823,0.00407229,1
140,5,1204,6038,103.285,0.0214679,1
141,5,1204,5801,109.624,0.0219991,1
142,5,1204,5860,116.271,0.0213179,1
143,5,1204,6009,113.843,0.0209174,1
144,5,1204,6063,117.01,0.0217911,1
145,8,1616,8191,100.232,0.0297534,1
146,8,1616,8642,106.959,0.0312021,1
147,8,1616,8674,106.08,0.0321504,1
148,8,1616,8754,107.231,0.0309358,1
149,8,1616,8762,112.128,0.0312648,1
150,3,2359,8768,100.485,0.0371204,1
151,3,2359,8255,95.4176,0.0343102,1
152,3,2359,8765,101.095,0.0357096,1
153,3,2359,8324,95.1216,0.0335452,1
154,3,2359,8410,101.135,0.0350332,1
155,5,1535,11444,135.39,0.0403305,1
156,5,1535,11737,118.229,0.0427211,1
157,5,1535,11563,121.75,0.0400004,1
158,5,1535,11089,127.34,0.0446546,1
159,5,1535,12084,122.301,0.0423482,1
160,10,1528,10008,121.799,0.0347358,1
161,10,1528,10014,122.474,0.0368215,1
162,10,1528,10080,117.72,0.0348706,1
163,10,1528,9865,112.397,0.0346331,1
164,10,1528,10107,116.199,0.0355198,1
165,9,145,838,122.717,0.00279363,1
166,9,145,853,95.669,0.00273825,1
167,9,145,860,92.9655,0.00275602,1
168,9,145,870,144.407,0.0028285,1
169,9,145,891,134.117,0.00285368,1
170,6,2205,8758,114.319,0.0349448,1
171,6,2205,9080,110.182,0.0357248,1
172,6,2205,9017,125.125,0.0346906,1
173,6,2205,8810,116.368,0.0348926,1
