index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,124.26,0.0263366,1
1,6,1749,10674,125.148,0.0265377,1
2,6,1749,11081,115.465,0.0282206,1
3,6,1749,10627,124.902,0.0266645,1
4,6,1749,10323,127.957,0.0262821,1
5,4,661,2555,101.067,0.00712028,1
6,4,661,2396,114.14,0.0067323,1
7,4,661,2610,106.192,0.00716353,1
8,4,661,2504,108.362,0.0068178,1
9,4,661,2542,106.763,0.0069256,1
10,5,1865,8216,128.946,0.0221649,1
11,5,1865,8474,130.479,0.022894,1
12,5,1865,8161,129.145,0.0218618,1
13,5,1865,8544,129.995,0.0229583,1
14,5,1865,8463,130.178,0.0227908,1
15,8,2261,13038,124.8,0.0336702,1
16,8,2261,12643,128.364,0.0332492,1
17,8,2261,12968,136.467,0.0330225,1
18,8,2261,12796,128.105,0.0332388,1
19,8,2261,12867,126.627,0.0332049,1
20,8,2348,9878,123.615,0.0269668,1
21,8,2348,9593,123.844,0.0266107,1
22,8,2348,9792,132.227,0.0264281,1
23,8,2348,10114,121.436,0.0272191,1
24,8,2348,9792,118.674,0.0267969,1
25,9,1148,5195,112.671,0.0135455,1
26,9,1148,5364,124.432,0.013886,1
27,9,1148,5138,109.633,0.0134371,1
28,9,1148,5201,121.429,0.0136904,1
29,9,1148,5217,111.133,0.0133715,1
30,5,1626,7589,97.8699,0.0207363,1
31,5,1626,7638,110.135,0.0200748,1
32,5,1626,7595,90.4485,0.0205336,1
33,5,1626,7471,99.0369,0.021175,1
34,5,1626,7735,108.593,0.0211325,1
35,9,2485,9313,118.964,0.0265178,1
36,9,2485,9102,114.832,0.025679,1
37,9,2485,9125,114.071,0.0267514,1
38,9,2485,9014,119.824,0.025956,1
39,9,2485,9046,124.405,0.0272478,1
40,8,149,779,119.45,0.00186688,1
41,8,149,795,103.197,0.00197214,1
42,8,149,817,107.871,0.0020047,1
43,8,149,736,139.074,0.00188462,1
44,8,149,825,112.013,0.00195717,1
45,9,1514,12144,110.277,0.029586,1
46,9,1514,11935,111.916,0.0309354,1
47,9,1514,12069,108.163,0.0303048,1
48,9,1514,11952,116.195,0.0293213,1
49,9,1514,12106,105.148,0.0297141,1
50,7,571,2324,122.642,0.00631054,1
51,7,571,2252,125.488,0.00605952,1
52,7,571,2121,94.0679,0.0055487,1
53,7,571,2166,114.619,0.00582034,1
54,7,571,2120,113.004,0.00599455,1
55,10,2172,13654,131.937,0.0349005,1
56,10,2172,13398,118.694,0.0344254,1
57,10,2172,13429,134.609,0.0349748,1
58,10,2172,13749,130.562,0.0355379,1
59,10,2172,13349,126.421,0.0353611,1
