index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,71.1385,0.426717,1
1,6,1749,10674,60.0625,0.435871,1
2,6,1749,11081,60.6279,0.537937,1
3,6,1749,10627,69.0405,0.440464,1
4,6,1749,10323,65.8971,0.442437,1
5,4,661,2555,84.7647,0.0183188,1
6,4,661,2396,108.074,0.0158645,1
7,4,661,2610,96,0.0178798,1
8,4,661,2504,95.8571,0.0170377,1
9,4,661,2542,93.1613,0.0185594,1
10,5,1865,8216,82.2727,0.176758,1
11,5,1865,8474,81.6875,0.153457,1
12,5,1865,8161,83.0185,0.145337,1
13,5,1865,8544,84.9636,0.166292,1
14,5,1865,8463,80.9074,0.166201,1
15,8,2261,13038,57.0256,1.65672,1
16,8,2261,12643,54.7284,1.55063,1
17,8,2261,12968,57.2,1.57548,1
18,8,2261,12796,57.6455,1.69978,1
19,8,2261,12867,54.9043,1.61105,1
20,8,2348,9878,89.625,0.413071,1
21,8,2348,9593,84.0714,0.361738,1
22,8,2348,9792,85,0.424942,1
23,8,2348,10114,79.338,0.441358,1
24,8,2348,9792,78.6,0.397527,1
25,9,1148,5195,53.8188,0.621409,1
26,9,1148,5364,56.1915,0.655545,1
27,9,1148,5138,54.9068,0.550438,1
28,9,1148,5201,55.3016,0.661416,1
29,9,1148,5217,53.8905,0.554673,1
30,5,1626,7589,80.5385,0.104524,1
31,5,1626,7638,84.4324,0.104099,1
32,5,1626,7595,84.8485,0.10547,1
33,5,1626,7471,98.6538,0.11291,1
34,5,1626,7735,92.8571,0.115016,1
35,9,2485,9313,82.0519,0.497443,1
36,9,2485,9102,80.0667,0.485218,1
37,9,2485,9125,84.5395,0.567201,1
38,9,2485,9014,77.4444,0.474749,1
39,9,2485,9046,84.3158,0.478975,1
40,8,149,779,74.5632,0.0294304,1
41,8,149,795,53.2468,0.027251,1
42,8,149,817,59.6145,0.0332876,1
43,8,149,736,79.6829,0.0265788,1
44,8,149,825,78.7931,0.033124,1
45,9,1514,12144,41.0109,2.5565,1
46,9,1514,11935,42.6319,2.67964,1
47,9,1514,12069,39.6871,2.63289,1
48,9,1514,11952,41.6111,2.71094,1
49,9,1514,12106,40.9091,2.32773,1
50,7,571,2324,83.4286,0.0512508,1
51,7,571,2252,77.9,0.0523529,1
52,7,571,2121,72.2857,0.0504826,1
53,7,571,2166,86.3585,0.0451839,1
54,7,571,2120,78.4286,0.0396621,1
55,10,2172,13654,65.9348,1.34438,1
56,10,2172,13398,59.4341,1.47793,1
57,10,2172,13429,66.1456,1.38984,1
58,10,2172,13749,60.8963,1.57615,1
59,10,2172,13349,62.8347,1.47492,1
60,7,1600,11092,68.1831,0.57725,1
61,7,1600,11534,67.7083,0.576906,1
62,7,1600,10944,67.5128,0.652734,1
63,7,1600,11032,64.88,0.569709,1
64,7,1600,11544,60.8023,0.618778,1
65,7,850,2694,103.768,0.052817,1
66,7,850,2758,96.9298,0.0517084,1
67,7,850,2706,93.1818,0.0530329,1
68,7,850,2781,99.6333,0.0574568,1
69,7,850,2783,97.2917,0.0564232,1
70,3,1613,5244,171.143,0.0526501,1
71,3,1613,5209,134.056,0.0421868,1
72,3,1613,5574,120.429,0.0438027,1
73,3,1613,4964,125.368,0.0383549,1
74,3,1613,5237,126.45,0.0399946,1
75,9,1034,5280,97.65,0.262889,1
76,9,1034,5196,112.656,0.25444,1
77,9,1034,5355,99.3333,0.263434,1
78,9,1034,5239,106.9,0.247538,1
79,9,1034,5225,83.6557,0.268513,1
80,7,426,2700,74.2143,0.12437,1
81,7,426,2553,70.806,0.0849883,1
82,7,426,2559,68.6364,0.095217,1
83,7,426,2612,77.2297,0.106514,1
84,7,426,2621,66.9296,0.0954754,1
85,10,1218,7768,57.7183,0.953827,1
86,10,1218,7873,63.7603,1.02925,1
87,10,1218,8040,58.0746,1.042,1
88,10,1218,7960,57.0272,1.00732,1
89,10,1218,7766,58.9241,1.0327,1
90,7,2448,15741,59.5581,1.33214,1
91,7,2448,15619,54.9175,1.18098,1
92,7,2448,15930,63.134,1.18084,1
93,7,2448,15768,61.0842,1.23261,1
94,7,2448,15808,58.96,1.19022,1
95,9,1402,11033,45.3013,2.23144,1
96,9,1402,10937,47.3491,2.26283,1
97,9,1402,11281,45.0111,2.30291,1
98,9,1402,10868,45.0347,2.09003,1
99,9,1402,10899,47.7389,2.13908,1
100,8,2390,17694,61.5789,1.25438,1
101,8,2390,17411,56.7407,1.36702,1
102,8,2390,17610,60.7717,1.38437,1
103,8,2390,17087,59.2178,1.2468,1
104,8,2390,17234,55.8438,1.22867,1
105,4,1138,3051,152.5,0.02197,1
106,4,1138,3059,132.235,0.0218559,1
107,4,1138,3003,151.091,0.0208267,1
108,4,1138,2963,136.571,0.0206987,1
109,4,1138,3102,129.263,0.0228158,1
110,3,1765,4487,180.333,0.0408871,1
111,3,1765,4192,168.562,0.036915,1
112,3,1765,4224,161.273,0.0378932,1
113,3,1765,4519,150.875,0.0396445,1
114,3,1765,4600,161.353,0.0404677,1
115,5,195,415,118.526,0.00213568,1
116,5,195,452,153.737,0.00227172,1
117,5,195,437,141,0.00204818,1
118,5,195,433,146.36,0.00192479,1
119,5,195,436,102.667,0.00188106,1
120,5,1222,8290,57.8056,0.262933,1
121,5,1222,8332,51.6286,0.255345,1
122,5,1222,8382,57.322,0.24929,1
123,5,1222,8446,53,0.260722,1
124,5,1222,8264,54.3649,0.243868,1
125,10,1379,7465,52.2531,1.49326,1
126,10,1379,7309,49.7254,1.30148,1
127,10,1379,7442,50.8765,1.35077,1
128,10,1379,7299,51.8503,1.29694,1
129,10,1379,7363,53.9,1.4075,1
130,6,1635,6370,77.1818,0.19943,1
131,6,1635,6205,71.6667,0.185112,1
132,6,1635,6464,73.7857,0.200375,1
133,6,1635,6460,74.0323,0.222623,1
134,6,1635,6483,72.9815,0.182957,1
135,4,425,876,177.917,0.00565547,1
136,4,425,858,204.636,0.00386571,1
137,4,425,900,169.375,0.00421036,1
138,4,425,912,146.538,0.00411949,1
139,4,425,876,159.818,0.00415737,1
140,5,1204,6038,74.6207,0.115816,1
141,5,1204,5801,67.7581,0.121747,1
142,5,1204,5860,80.2787,0.119553,1
143,5,1204,6009,73.3208,0.125607,1
144,5,1204,6063,74.4068,0.107286,1
145,8,1616,8191,60.1919,0.56439,1
146,8,1616,8642,69.9551,0.525381,1
147,8,1616,8674,67.3958,0.539362,1
148,8,1616,8754,72.9432,0.573649,1
149,8,1616,8762,69.3704,0.530963,1
150,3,2359,8768,119.158,0.135746,1
151,3,2359,8255,117.071,0.0939367,1
152,3,2359,8765,144.182,0.110829,1
153,3,2359,8324,126.65,0.0974468,1
154,3,2359,8410,109.958,0.0969912,1
155,5,1535,11444,62.2174,0.351895,1
156,5,1535,11737,59.3288,0.362222,1
157,5,1535,11563,57.8281,0.344032,1
158,5,1535,11089,61.831,0.326133,1
159,5,1535,12084,61.0133,0.359363,1
160,10,1528,10008,53.1667,1.17136,1
161,10,1528,10014,56.6667,1.14823,1
162,10,1528,10080,58.5846,1.37704,1
163,10,1528,9865,56.3723,1.16931,1
164,10,1528,10107,55.4643,1.39085,1
165,9,145,838,64.4271,0.0406903,1
166,9,145,853,50.2991,0.0454834,1
167,9,145,860,51.5618,0.046152,1
168,9,145,870,67.2021,0.0427362,1
169,9,145,891,71.5926,0.0444735,1
170,6,2205,8758,77.1892,0.229185,1
171,6,2205,9080,76.7872,0.231667,1
172,6,2205,9017,90.7455,0.222035,1
173,6,2205,8810,91.66,0.206513,1
174,6,2205,8847,84.4615,0.218845,1
175,8,614,4423,49.0154,0.427985,1
176,8,614,4533,56.2713,0.377211,1
177,8,614,4552,47.6692,0.462152,1
178,8,614,4474,52,0.406907,1
179,8,614,4279,53.3966,0.443354,1
180,9,2484,16452,50.8099,2.58319,1
181,9,2484,16475,51.6259,2.51768,1
182,9,2484,16058,49.9079,2.4528,1
183,9,2484,16028,56.5378,2.47762,1
184,9,2484,16125,52.4336,2.61679,1
185,3,1007,3387,189.462,0.0197364,1
186,3,1007,3344,206,0.0196475,1
187,3,1007,3127,252.556,0.0197415,1
188,3,1007,3205,137.6,0.0200406,1
189,3,1007,3427,158.333,0.019962,1
190,7,1267,5412,75.6786,0.217023,1
191,7,1267,5415,80.2462,0.203586,1
192,7,1267,5544,74.2,0.210111,1
193,7,1267,5372,79.8475,0.197683,1
194,7,1267,5411,70.2203,0.222022,1
195,4,1842,10046,68.6471,0.132978,1
196,4,1842,9968,80.475,0.131604,1
197,4,1842,9819,73.9792,0.128095,1
198,4,1842,9014,71.9111,0.12963,1
199,4,1842,9971,76.3556,0.1373,1
200,5,556,3479,52.4603,0.115939,1
201,5,556,3509,56.4211,0.128279,1
202,5,556,3645,53.0455,0.122908,1
203,5,556,3288,60.451,0.108113,1
204,5,556,3544,53.5556,0.121525,1
205,9,1115,6301,84.7595,0.366086,1
206,9,1115,6211,73.5258,0.35352,1
207,9,1115,6208,75.3333,0.306033,1
208,9,1115,6174,78.3882,0.351499,1
209,9,1115,6305,78.3038,0.306335,1
210,10,1359,7572,58.7652,1.07749,1
211,10,1359,7540,51.5732,1.12191,1
212,10,1359,7556,48.2837,1.12922,1
213,10,1359,7436,51.1111,0.932043,1
214,10,1359,7621,46.6164,1.04824,1
215,9,1741,11507,54.5238,1.63776,1
216,9,1741,11338,54.4632,1.5592,1
217,9,1741,11368,53.5362,1.72595,1
218,9,1741,11310,58.5328,1.56226,1
219,9,1741,11257,56.259,1.74436,1
220,5,523,3344,59.44,0.0833606,1
221,5,523,3128,59.5,0.0917301,1
222,5,523,3408,55.5077,0.0896348,1
223,5,523,3354,62.2985,0.0844916,1
224,5,523,3510,61.3962,0.092455,1
225,8,529,2879,75.2165,0.192425,1
226,8,529,2871,63.1273,0.224454,1
227,8,529,3030,56.9888,0.217933,1
228,8,529,2966,63.6444,0.208121,1
229,8,529,2835,66.7342,0.188744,1
230,7,627,2125,96.3404,0.0312112,1
231,7,627,2159,87.75,0.0325736,1
232,7,627,2083,97.4167,0.0288832,1
233,7,627,2003,87.6341,0.0279036,1
234,7,627,1997,97.3077,0.0288053,1
235,9,448,2290,68.3271,0.131544,1
236,9,448,2249,67.3495,0.118749,1
237,9,448,2307,67.4196,0.127506,1
238,9,448,2245,71.3979,0.122606,1
239,9,448,2177,71.268,0.136327,1
240,8,2460,10911,89.6429,0.416646,1
241,8,2460,10966,86.988,0.396216,1
242,8,2460,11146,83.3182,0.430483,1
243,8,2460,10755,80.197,0.488669,1
244,8,2460,10728,91.3175,0.410422,1
245,10,2158,14951,55.5333,1.62009,1
246,10,2158,14930,65.6,1.38322,1
247,10,2158,14705,59.6435,1.3664,1
248,10,2158,14932,58.6186,1.4765,1
249,10,2158,14547,62.7596,1.3636,1
250,6,2365,12482,68.9014,0.493758,1
251,6,2365,12378,65.3636,0.494998,1
252,6,2365,12519,64.619,0.52819,1
253,6,2365,12108,63.7794,0.512175,1
254,6,2365,12327,69,0.512872,1
255,4,2042,7052,108.867,0.0684682,1
256,4,2042,7275,111.52,0.0676058,1
257,4,2042,6687,136.833,0.0653389,1
258,4,2042,6849,127.684,0.0668391,1
259,4,2042,6751,139.706,0.0641897,1
260,8,2117,9543,75.7101,0.510848,1
261,8,2117,9416,69.3538,0.561331,1
262,8,2117,9392,72.8889,0.485909,1
263,8,2117,9399,68.2,0.575789,1
264,8,2117,8884,71.8701,0.530111,1
265,4,569,2546,87.1429,0.0249797,1
266,4,569,2708,85.2195,0.0244227,1
267,4,569,2732,83.6286,0.0242699,1
268,4,569,2548,105.133,0.0245346,1
269,4,569,2545,80.8571,0.0238041,1
270,8,2268,11079,61.2178,0.984945,1
271,8,2268,11157,63.7642,0.967614,1
272,8,2268,10678,67.7283,0.996379,1
273,8,2268,11190,64.5385,1.0776,1
274,8,2268,11067,59.0091,0.963906,1
275,9,236,1394,72.4731,0.0674054,1
276,9,236,1442,68.2111,0.061651,1
277,9,236,1418,72.3889,0.0553655,1
278,9,236,1371,75.0114,0.0556208,1
279,9,236,1454,73.6136,0.0608862,1
280,3,664,2522,174.857,0.0125403,1
281,3,664,2425,120.583,0.0129935,1
282,3,664,2446,139.615,0.0129621,1
283,3,664,2436,143.429,0.0132808,1
284,3,664,2493,183.429,0.0133772,1
285,5,2131,6250,133.773,0.0705353,1
286,5,2131,6613,149.591,0.0760796,1
287,5,2131,6417,134.476,0.0714813,1
288,5,2131,6322,128.852,0.0687427,1
