index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,129.469,0.0363375,1
1,6,1749,10674,119.606,0.0338838,1
2,6,1749,11081,113.45,0.0453297,1
3,6,1749,10627,139.436,0.0367685,1
4,6,1749,10323,140.676,0.0359957,1
5,4,661,2555,220.778,0.00294375,1
6,4,661,2396,181.909,0.00271169,1
7,4,661,2610,240,0.00287697,1
8,4,661,2504,184.538,0.00275783,1
9,4,661,2542,186.111,0.00295862,1
10,5,1865,8216,190.5,0.0155052,1
11,5,1865,8474,196.05,0.0166681,1
12,5,1865,8161,176.647,0.0154874,1
13,5,1865,8544,172.682,0.0159166,1
14,5,1865,8463,178.706,0.016867,1
15,8,2261,13038,133.143,0.0901523,1
16,8,2261,12643,121.321,0.106221,1
17,8,2261,12968,127.844,0.104641,1
18,8,2261,12796,110.698,0.108122,1
19,8,2261,12867,116.644,0.105697,1
20,8,2348,9878,184.414,0.0472728,1
21,8,2348,9593,163.968,0.0406873,1
22,8,2348,9792,195.577,0.0438337,1
23,8,2348,10114,186.88,0.0446064,1
24,8,2348,9792,152.538,0.044547,1
25,9,1148,5195,101.95,0.0420705,1
26,9,1148,5364,109.714,0.0498866,1
27,9,1148,5138,110.25,0.043509,1
28,9,1148,5201,107.741,0.0524706,1
29,9,1148,5217,105.7,0.0419655,1
30,5,1626,7589,165.316,0.0129532,1
31,5,1626,7638,249.636,0.0123988,1
32,5,1626,7595,143.611,0.0127056,1
33,5,1626,7471,196.583,0.0134456,1
34,5,1626,7735,183.471,0.0127121,1
35,9,2485,9313,185.24,0.0540419,1
36,9,2485,9102,167.585,0.0541893,1
37,9,2485,9125,182.591,0.0611375,1
38,9,2485,9014,161.333,0.0531407,1
39,9,2485,9046,157.3,0.0541721,1
40,8,149,779,106.098,0.00403734,1
41,8,149,795,80.537,0.00319347,1
42,8,149,817,86.8,0.00355567,1
43,8,149,736,113.2,0.00342184,1
44,8,149,825,117.2,0.00370934,1
45,9,1514,12144,88.7143,0.132494,1
46,9,1514,11935,80.0114,0.134372,1
47,9,1514,12069,84.303,0.128151,1
48,9,1514,11952,82.6234,0.14245,1
49,9,1514,12106,81.4568,0.124105,1
50,7,571,2324,161.542,0.00696957,1
51,7,571,2252,144.583,0.00731269,1
52,7,571,2121,144.087,0.00655264,1
53,7,571,2166,171.13,0.00681128,1
54,7,571,2120,181.87,0.00675469,1
