index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,155.863,24.0896,1
1,6,1749,10674,152.573,22.6893,1
2,6,1749,11081,139.476,23.7358,1
3,6,1749,10627,152.451,23.3645,1
4,6,1749,10323,160.258,23.9693,1
5,4,661,2555,109.506,1.56242,1
6,4,661,2396,125.616,1.61002,1
7,4,661,2610,116.662,1.53364,1
8,4,661,2504,117.701,1.57927,1
9,4,661,2542,116.436,1.65169,1
10,5,1865,8216,152.908,21.7871,1
11,5,1865,8474,151.102,21.311,1
12,5,1865,8161,155.247,21.1184,1
13,5,1865,8544,154.049,21.2352,1
14,5,1865,8463,151.035,21.1996,1
15,8,2261,13038,149.18,49.2743,1
16,8,2261,12643,161.133,50.6872,1
17,8,2261,12968,164.871,49.4407,1
18,8,2261,12796,155.307,50.0958,1
19,8,2261,12867,155.489,50.0895,1
20,8,2348,9878,131.907,33.0446,1
21,8,2348,9593,133.122,34.0127,1
22,8,2348,9792,140.594,33.6664,1
23,8,2348,10114,128.652,33.965,1
24,8,2348,9792,126.391,34.0881,1
25,9,1148,5195,163.704,13.0801,1
26,9,1148,5364,167.959,13.153,1
27,9,1148,5138,154.86,11.9692,1
28,9,1148,5201,175.925,12.6287,1
29,9,1148,5217,154.971,12.487,1
30,5,1626,7589,104.176,12.7311,1
31,5,1626,7638,115.483,12.8066,1
32,5,1626,7595,96.493,12.6835,1
33,5,1626,7471,106.19,12.9626,1
34,5,1626,7735,114.992,12.8872,1
35,9,2485,9313,128.555,41.1799,1
36,9,2485,9102,130.084,40.9937,1
37,9,2485,9125,126.203,40.9042,1
38,9,2485,9014,131.79,41.6658,1
39,9,2485,9046,139.352,42.4589,1
40,8,149,779,123.314,0.147638,1
41,8,149,795,102.576,0.135749,1
42,8,149,817,110.861,0.155467,1
43,8,149,736,145.604,0.122968,1
44,8,149,825,122.667,0.127636,1
45,9,1514,12144,112.396,17.0215,1
46,9,1514,11935,114.13,17.8614,1
47,9,1514,12069,110.512,17.3987,1
48,9,1514,11952,119.892,18.4211,1
49,9,1514,12106,106.119,16.267,1
50,7,571,2324,128.636,1.39874,1
51,7,571,2252,132.418,1.4006,1
52,7,571,2121,103.721,1.45485,1
53,7,571,2166,121.773,1.39169,1
54,7,571,2120,119.92,1.32826,1
55,10,2172,13654,137.113,32.4025,1
56,10,2172,13398,124.712,33.0413,1
57,10,2172,13429,141.144,32.8037,1
58,10,2172,13749,134.947,32.9988,1
59,10,2172,13349,131.892,32.9976,1
60,7,1600,11092,124.999,14.5945,1
61,7,1600,11534,132.94,14.4859,1
62,7,1600,10944,129.761,15.9452,1
63,7,1600,11032,125.333,15.2935,1
64,7,1600,11544,124.311,14.5863,1
65,7,850,2694,151.372,3.35015,1
66,7,850,2758,144.296,3.16823,1
67,7,850,2706,147.024,3.33181,1
68,7,850,2781,142.114,3.34692,1
69,7,850,2783,151.533,3.29527,1
70,3,1613,5244,167.507,12.5176,1
71,3,1613,5209,162.573,12.3285,1
72,3,1613,5574,165.779,12.4977,1
