index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,203.943,19.8491,1
1,6,1749,10674,197.852,20.3293,1
2,6,1749,11081,178.622,20.5891,1
3,6,1749,10627,200.937,20.8947,1
4,6,1749,10323,221.541,20.4447,1
5,4,661,2555,157.444,1.66704,1
6,4,661,2396,172.069,1.6676,1
7,4,661,2610,163.933,1.56757,1
8,4,661,2504,157.318,1.64924,1
9,4,661,2542,161.684,1.68825,1
10,5,1865,8216,223.711,19.4748,1
11,5,1865,8474,216.22,19.9329,1
12,5,1865,8161,206.008,19.3978,1
13,5,1865,8544,198.19,19.1564,1
14,5,1865,8463,197.549,19.6555,1
15,8,2261,13038,191.795,40.446,1
16,8,2261,12643,206.457,42.4876,1
17,8,2261,12968,216.266,41.955,1
18,8,2261,12796,198.527,41.913,1
19,8,2261,12867,199.729,41.4565,1
20,8,2348,9878,172.514,30.3812,1
21,8,2348,9593,166.805,30.9763,1
22,8,2348,9792,199.581,31.0302,1
23,8,2348,10114,167.94,31.0358,1
24,8,2348,9792,164.369,31.3829,1
25,9,1148,5195,204.833,9.63371,1
26,9,1148,5364,212.408,9.7744,1
27,9,1148,5138,194.539,9.11462,1
28,9,1148,5201,215.088,9.39367,1
29,9,1148,5217,198.33,9.51927,1
30,5,1626,7589,136.28,12.571,1
31,5,1626,7638,151.41,12.5525,1
32,5,1626,7595,130.687,12.9461,1
33,5,1626,7471,151.042,12.7722,1
34,5,1626,7735,177.136,12.5426,1
35,9,2485,9313,167.716,36.5846,1
36,9,2485,9102,170.804,35.9638,1
37,9,2485,9125,167.561,36.5784,1
38,9,2485,9014,169.032,36.0075,1
39,9,2485,9046,178.54,36.8125,1
40,8,149,779,160.892,0.130424,1
41,8,149,795,135.598,0.130919,1
42,8,149,817,137.845,0.145466,1
43,8,149,736,190.618,0.124173,1
44,8,149,825,176,0.133405,1
45,9,1514,12144,133.138,16.8765,1
46,9,1514,11935,132.665,17.6723,1
47,9,1514,12069,128.04,16.8221,1
48,9,1514,11952,142.035,17.7342,1
49,9,1514,12106,127.803,16.2255,1
50,7,571,2324,167.667,1.35809,1
51,7,571,2252,169.054,1.27358,1
52,7,571,2121,150.154,1.271,1
53,7,571,2166,157.187,1.29698,1
54,7,571,2120,160.75,1.17855,1
55,10,2172,13654,172.135,30.1103,1
56,10,2172,13398,159.958,30.2191,1
57,10,2172,13429,177.87,29.9186,1
58,10,2172,13749,169.986,30.3925,1
59,10,2172,13349,171.004,30.7888,1
60,7,1600,11092,148.912,15.3982,1
61,7,1600,11534,156.549,15.5866,1
62,7,1600,10944,160.874,16.6248,1
63,7,1600,11032,179.304,15.515,1
64,7,1600,11544,146.629,16.3201,1
65,7,850,2694,207.074,2.84155,1
66,7,850,2758,199.561,2.88035,1
67,7,850,2706,193.691,2.87893,1
68,7,850,2781,195.549,2.90411,1
69,7,850,2783,201.761,2.82524,1
70,3,1613,5244,284.5,11.8178,1
71,3,1613,5209,322.714,11.5623,1
72,3,1613,5574,280.056,11.9887,1
73,3,1613,4964,389.677,11.6649,1
74,3,1613,5237,376.533,11.7499,1
75,9,1034,5280,177.25,4.84784,1
76,9,1034,5196,195.319,4.72874,1
77,9,1034,5355,186.333,4.78267,1
78,9,1034,5239,162.017,4.73616,1
79,9,1034,5225,163.248,4.888,1
80,7,426,2700,144.526,0.842654,1
81,7,426,2553,162.633,0.779336,1
82,7,426,2559,159.517,0.872904,1
83,7,426,2612,158.14,0.837022,1
84,7,426,2621,143.206,0.798044,1
