index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,1749,10082,221.345,10.3414,1
1,6,1749,10674,204.31,8.00188,1
2,6,1749,11081,233.438,8.8574,1
3,6,1749,10627,266.266,7.88324,1
4,6,1749,10323,221.586,8.9675,1
5,4,661,2555,220.778,0.262763,1
6,4,661,2396,195.404,0.27983,1
7,4,661,2610,261,0.255724,1
8,4,661,2504,188,0.279497,1
9,4,661,2542,198.241,0.285493,1
10,5,1865,8216,244.868,3.87119,1
11,5,1865,8474,232.273,3.76515,1
12,5,1865,8161,279.289,3.63184,1
13,5,1865,8544,268.638,3.75737,1
14,5,1865,8463,231.968,4.09055,1
15,8,2261,13038,228.846,21.3952,1
16,8,2261,12643,207.564,26.523,1
17,8,2261,12968,258.336,23.6479,1
18,8,2261,12796,185.717,24.7018,1
19,8,2261,12867,223.219,23.7476,1
20,8,2348,9878,205.111,14.6522,1
21,8,2348,9593,200.468,15.3971,1
22,8,2348,9792,245.714,15.7683,1
23,8,2348,10114,238.636,14.3128,1
24,8,2348,9792,203.872,14.8666,1
25,9,1148,5195,213.541,4.46257,1
26,9,1148,5364,227.473,4.70793,1
27,9,1148,5138,179.565,4.2661,1
28,9,1148,5201,208.214,4.7834,1
29,9,1148,5217,180.43,3.84705,1
30,5,1626,7589,226.719,3.38892,1
31,5,1626,7638,258.727,3.47051,1
32,5,1626,7595,190.163,3.45065,1
33,5,1626,7471,224.559,3.4923,1
34,5,1626,7735,229,3.36092,1
35,9,2485,9313,245.645,16.7506,1
36,9,2485,9102,203.927,17.9181,1
37,9,2485,9125,204.67,18.291,1
38,9,2485,9014,222.954,17.039,1
39,9,2485,9046,230.045,17.7459,1
40,8,149,779,157.186,0.0385158,1
41,8,149,795,134.832,0.0380515,1
42,8,149,817,136.796,0.0526606,1
43,8,149,736,190.618,0.0490852,1
44,8,149,825,179.311,0.0623183,1
45,9,1514,12144,156.049,26.0948,1
46,9,1514,11935,133.153,21.9869,1
47,9,1514,12069,144.078,24.7584,1
48,9,1514,11952,141.192,28.3603,1
49,9,1514,12106,152.268,24.2571,1
50,7,571,2324,212.466,0.584426,1
51,7,571,2252,182.914,0.58244,1
52,7,571,2121,166.4,0.591986,1
53,7,571,2166,215.383,0.628031,1
54,7,571,2120,203.397,0.63178,1
55,10,2172,13654,206.341,35.2373,1
56,10,2172,13398,191.678,36.7135,1
57,10,2172,13429,206.967,32.3314,1
58,10,2172,13749,204.282,37.0765,1
59,10,2172,13349,215.156,38.7846,1
60,7,1600,11092,172.218,11.483,1
61,7,1600,11534,175.151,9.95553,1
62,7,1600,10944,185.795,12.571,1
63,7,1600,11032,166.111,11.5184,1
64,7,1600,11544,178.827,11.3651,1
65,7,850,2694,246.956,1.2338,1
66,7,850,2758,212.39,1.26615,1
67,7,850,2706,220.105,1.01808,1
68,7,850,2781,227.154,1.05154,1
69,7,850,2783,226.347,0.93602,1
70,3,1613,5244,399.333,1.01944,1
71,3,1613,5209,570,0.948992,1
72,3,1613,5574,408.692,0.984051,1
73,3,1613,4964,400.214,0.972986,1
74,3,1613,5237,429.429,0.997238,1
75,9,1034,5280,226.978,4.77949,1
76,9,1034,5196,271.561,5.11438,1
77,9,1034,5355,216.25,5.17045,1
78,9,1034,5239,198.75,4.91052,1
79,9,1034,5225,204.133,4.52037,1
80,7,426,2700,185.375,0.594811,1
81,7,426,2553,170.721,0.583362,1
82,7,426,2559,184.627,0.662713,1
83,7,426,2612,180.065,0.627928,1
84,7,426,2621,166.861,0.607236,1
85,10,1218,7768,190.329,13.3668,1
86,10,1218,7873,224.087,13.874,1
87,10,1218,8040,176.73,11.169,1
88,10,1218,7960,204.99,12.9177,1
89,10,1218,7766,190.408,18.7007,1
90,7,2448,15741,213.387,27.8534,1
91,7,2448,15619,183.368,24.4262,1
92,7,2448,15930,185.644,24.5575,1
93,7,2448,15768,205.094,28.9646,1
94,7,2448,15808,226.103,25.7194,1
95,9,1402,11033,149.156,17.8175,1
96,9,1402,10937,179.794,20.6392,1
97,9,1402,11281,154.261,19.5033,1
98,9,1402,10868,158.307,21.1554,1
99,9,1402,10899,175.554,21.7749,1
100,8,2390,17694,193.494,32.6809,1
101,8,2390,17411,199.545,35.2089,1
102,8,2390,17610,189.817,39.5707,1
103,8,2390,17087,146.353,36.9307,1
104,8,2390,17234,158.158,34.9219,1
105,4,1138,3051,314.286,0.582327,1
106,4,1138,3059,304.4,0.51507,1
107,4,1138,3003,344.429,0.539442,1
108,4,1138,2963,325.692,0.542468,1
109,4,1138,3102,272.125,0.526876,1
110,3,1765,4487,395,0.851055,1
111,3,1765,4192,379.778,0.845345,1
112,3,1765,4224,317.796,0.874107,1
113,3,1765,4519,427.273,0.897122,1
114,3,1765,4600,346.727,0.893266,1
115,5,195,415,313.714,0.0188088,1
116,5,195,452,222.375,0.014256,1
117,5,195,437,322.4,0.014028,1
118,5,195,433,250.294,0.0160708,1
119,5,195,436,224.385,0.0135814,1
120,5,1222,8290,156.893,3.35332,1
121,5,1222,8332,179.236,3.56033,1
122,5,1222,8382,196.069,2.87076,1
123,5,1222,8446,158.973,3.23602,1
124,5,1222,8264,236.678,3.60018,1
125,10,1379,7465,172.819,10.3055,1
126,10,1379,7309,178.433,11.9662,1
127,10,1379,7442,153.113,14.0875,1
128,10,1379,7299,157.152,9.73057,1
129,10,1379,7363,188.403,10.5019,1
130,6,1635,6370,217.373,4.53591,1
131,6,1635,6205,215.943,4.97026,1
132,6,1635,6464,219.333,4.70991,1
133,6,1635,6460,236.038,4.66188,1
134,6,1635,6483,173.371,4.25347,1
135,4,425,876,302.5,0.0466479,1
136,4,425,858,532.375,0.0487814,1
137,4,425,900,310.7,0.0539747,1
138,4,425,912,362.6,0.0452176,1
139,4,425,876,305.214,0.0585166,1
140,5,1204,6038,224.453,2.43101,1
141,5,1204,5801,312.333,2.35495,1
142,5,1204,5860,283.118,2.01215,1
143,5,1204,6009,231.8,2.33725,1
144,5,1204,6063,256.949,1.91439,1
145,8,1616,8191,186.091,13.8064,1
146,8,1616,8642,198.725,12.2629,1
147,8,1616,8674,198.809,10.6104,1
148,8,1616,8754,193,10.8847,1
149,8,1616,8762,205.383,9.29984,1
150,3,2359,8768,284.692,2.33719,1
151,3,2359,8255,371.688,2.40873,1
152,3,2359,8765,306.167,2.27699,1
153,3,2359,8324,315.895,2.34796,1
154,3,2359,8410,303.368,2.22812,1
155,5,1535,11444,235.208,5.2118,1
156,5,1535,11737,203.736,5.85612,1
157,5,1535,11563,196.529,5.12347,1
158,5,1535,11089,207.102,5.70516,1
159,5,1535,12084,181.41,5.27712,1
160,10,1528,10008,164.629,19.1698,1
161,10,1528,10014,162.267,19.7651,1
162,10,1528,10080,173.068,19.9368,1
163,10,1528,9865,148.194,18.2451,1
164,10,1528,10107,188.978,17.8151,1
165,9,145,838,161.062,0.0236133,1
166,9,145,853,116.033,0.0993756,1
167,9,145,860,107.629,0.0953468,1
168,9,145,870,162.439,0.041816,1
169,9,145,891,159.616,0.11278,1
170,6,2205,8758,245.875,8.23772,1
171,6,2205,9080,220.289,6.43521,1
172,6,2205,9017,307.103,6.89599,1
173,6,2205,8810,225.984,7.47811,1
174,6,2205,8847,195.286,7.66682,1
175,8,614,4423,153.468,4.03427,1
176,8,614,4533,169.793,2.22398,1
177,8,614,4552,159.134,2.01746,1
178,8,614,4474,192.582,2.4618,1
179,8,614,4279,153.985,2.44839,1
180,9,2484,16452,167.441,46.9465,1
181,9,2484,16475,216.831,49.7786,1
182,9,2484,16058,189.874,50.2965,1
183,9,2484,16028,190.741,51.1319,1
184,9,2484,16125,205.08,53.7535,1
185,3,1007,3387,448.25,0.368902,1
186,3,1007,3344,389.143,0.380405,1
187,3,1007,3127,341.182,0.372759,1
188,3,1007,3205,284.4,0.366512,1
189,3,1007,3427,389.25,0.354456,1
190,7,1267,5412,213.167,3.84976,1
191,7,1267,5415,217.516,3.906,1
192,7,1267,5544,227.594,4.0072,1
193,7,1267,5372,185.724,4.14592,1
194,7,1267,5411,227.633,3.62295,1
195,4,1842,10046,338.714,2.86229,1
196,4,1842,9968,310.212,2.89016,1
197,4,1842,9819,333.323,2.91113,1
198,4,1842,9014,295.75,3.53198,1
199,4,1842,9971,251.956,3.29644,1
200,5,556,3479,172.585,0.546244,1
201,5,556,3509,213,0.588957,1
202,5,556,3645,258.097,0.562755,1
203,5,556,3288,181.755,0.70028,1
204,5,556,3544,204.917,0.56295,1
205,9,1115,6301,196.5,7.67342,1
206,9,1115,6211,206.354,7.29067,1
207,9,1115,6208,196.04,6.90321,1
208,9,1115,6174,213,7.69625,1
209,9,1115,6305,225.213,6.50413,1
210,10,1359,7572,162.378,11.9615,1
211,10,1359,7540,176.364,13.1025,1
212,10,1359,7556,128.437,12.6351,1
213,10,1359,7436,175.972,12.0685,1
214,10,1359,7621,128.375,11.6874,1
215,9,1741,11507,181.131,21.8588,1
216,9,1741,11338,190.139,20.7442,1
217,9,1741,11368,187.079,20.5846,1
218,9,1741,11310,200.94,20.7804,1
219,9,1741,11257,214.099,21.328,1
220,5,523,3344,171.688,0.556549,1
221,5,523,3128,197.966,0.828708,1
222,5,523,3408,165.791,0.498254,1
223,5,523,3354,177.014,0.50621,1
224,5,523,3510,228.695,0.524821,1
225,8,529,2879,177.462,1.83312,1
226,8,529,2871,210.612,1.42797,1
227,8,529,3030,159.288,1.28259,1
228,8,529,2966,173.095,1.04709,1
229,8,529,2835,206.5,1.0778,1
230,7,627,2125,198.103,0.65937,1
